,homeTeam,awayTeam,homeAbbrev,awayAbbrev,GamePK,Winner,F_home_assists,F_home_goals,F_home_pim,F_home_shots,F_home_blocked,F_home_pm,D_home_assists,D_home_goals,D_home_pim,D_home_shots,D_home_blocked,D_home_hits,D_home_pm,G_home_GAA,F_away_assists,F_away_goals,F_away_pim,F_away_shots,F_away_blocked,F_away_hits,F_away_pm,D_away_assists,D_away_goals,D_away_pim,D_away_shots,D_away_blocked,D_away_hits,D_away_pm,G_away_GAA,F_home_hits
0,Boston Bruins,Montréal Canadiens,BOS,MTL,2005020001,1,1.438769434,0.746632161,2.945873864,7.384458656,1.794742644,-0.147771998,0.649365749,0.259920865,3.537205621,4.470153577,3.844129689,3.616756117,-0.190911538,3.707022,1.149470805,0.775335033,3.476203431,7.209625312,1.978882259,3.818894919,-0.129234027,0.889725174,0.258303646,3.401216704,4.375994509,4.347356598,4.230275959,-0.122884293,3.410411,2.351876264
0,Buffalo Sabres,New York Islanders,BUF,NYI,2005020002,0,1.534844758,1.051698776,2.692684855,8.581792361,1.774229547,-0.00345767,0.815355856,0.212890614,2.287446415,2.888367042,5.059137205,2.436795127,-0.093245425,2.599732,1.129558019,0.886578007,2.070124692,8.049264288,1.518215479,3.085845709,-0.402074268,0.780465802,0.150441082,2.940759507,3.494659694,4.99965592,2.949037542,-0.312347427,3.023869,2.677170824
0,Philadelphia Flyers,New York Rangers,PHI,NYR,2005020003,1,1.313045655,0.879839764,3.203237902,8.067593776,1.624872132,0.177907702,0.900456928,0.239322886,2.529624569,4.006974174,4.605300578,2.729534405,0.207507652,2.96536,1.343704012,0.838221324,3.232985933,7.617139735,2.116344819,3.432996344,0.312894029,0.610640031,0.129597566,3.238639987,3.346503364,4.859283548,3.418710511,0.505778927,2.951165,3.525502867
0,Washington Capitals,Columbus Blue Jackets,WSH,CBJ,2005020004,0,1.072729202,0.806055928,3.551650352,7.680818457,1.624207304,-1.045312027,0.682064739,0.184410143,4.815316454,3.733682805,4.325458833,3.857961722,-0.225587447,3.525335,1.131039574,0.86168292,3.152580535,7.185512425,1.388073537,2.440036009,-0.343673165,0.662958565,0.240958037,2.605110431,3.847617796,3.546426968,2.731001899,-0.580968958,3.22679,3.7328204
0,Florida Panthers,Atlanta Thrashers,FLA,ATL,2005020005,0,1.254703542,0.912417995,2.730638076,8.139182995,1.354954822,0.13164617,0.722933836,0.133002643,3.604236833,4.39972077,2.95694626,3.435905261,0.236153397,2.985515733,1.324983828,0.868946307,3.688739094,7.459537282,1.619353464,4.254588727,-0.09299183,0.852312346,0.198244277,4.118549387,3.483856825,4.962646449,3.057148118,-0.026061679,2.863236848,2.213732594
0,New Jersey Devils,Pittsburgh Penguins,NJD,PIT,2005020007,0,1.057672905,0.830233656,2.503075966,7.738751456,1.234820496,-0.358045393,0.821504962,0.151725861,2.458830393,3.436902162,4.303366684,3.19293649,-0.361912996,2.570692,1.176540732,0.770100623,4.399945993,6.860648468,2.092341878,3.362163791,-0.797239815,0.703429652,0.205488121,3.538232126,3.471046765,4.515997335,3.877290809,-0.713988763,4.462626,2.806070339
0,Tampa Bay Lightning,Carolina Hurricanes,TBL,CAR,2005020008,0,1.23532187,0.879106531,2.112922256,8.44283284,1.420678081,-0.394185693,0.828663148,0.170558911,2.404485976,3.428027225,4.938274147,2.504491548,-0.405971878,3.06464,1.395009045,1.032971881,2.628663437,8.336255069,1.713867003,2.089899818,0.053627078,0.852964379,0.227746813,3.024084462,3.571822313,5.133954703,3.097581257,0.257487803,3.210062978,2.053375514
0,Detroit Red Wings,St. Louis Blues,DET,STL,2005020009,0,1.510962532,1.047226846,2.64652831,8.75252913,1.438742853,0.769147118,0.969969418,0.372812545,3.053499467,5.029398232,3.791804808,2.921562333,0.860865555,2.189216,1.184547753,0.650044417,3.130887509,7.228999868,1.941397794,3.031238767,-1.123758164,0.539146129,0.273160561,3.580165703,3.17128708,4.927691108,2.07458745,-0.902664609,4.070888081,3.066930277
0,Toronto Maple Leafs,Ottawa Senators,TOR,OTT,2005020006,1,1.145352771,0.916135316,4.58492079,7.182823088,1.760099758,-0.377700238,0.924633343,0.272897017,2.754677957,3.677094966,5.00076576,3.626996464,-0.429335674,3.293194,1.605463034,1.180888114,3.784497257,8.354466078,1.332411123,3.65810613,0.854679897,1.0087756,0.31202417,3.206920546,5.424452048,4.501694069,5.061005079,0.971460095,2.08981,5.320302436
0,Nashville Predators,San Jose Sharks,NSH,SJS,2005020010,0,1.203372694,0.89903307,4.060963502,7.574282435,1.383888493,0.08975065,0.861671633,0.211839829,3.545990891,3.753097889,4.381650833,3.077022813,0.100282203,2.666037,1.133515664,0.892712784,2.618420301,7.743023034,1.620373418,3.260960278,-0.007143805,0.734844224,0.191889964,2.128345243,3.887326343,3.397933395,3.078642083,0.04384881,3.09923,2.527622949
0,Minnesota Wild,Calgary Flames,MIN,CGY,2005020012,0,1.16483068,0.726477305,4.410596921,6.4245473,1.616712211,-0.379213489,0.516717603,0.168689212,3.457475956,3.060578437,4.339848567,2.492660909,-0.162034747,2.510135761,0.998638499,0.722821229,4.048650617,6.7712563,1.870041743,3.733891569,0.157720387,0.7293593,0.265386483,3.131641583,4.27866452,3.39724541,4.653443275,0.179161344,2.068651,3.206987555
0,Chicago Blackhawks,Anaheim Ducks,CHI,ANA,2005020011,1,0.978194825,0.641169603,4.318915487,7.021573205,1.428602893,-1.185806122,0.589333978,0.183668108,3.646721601,4.041712273,3.525488026,3.146327423,-0.321993814,3.346874,1.266125218,0.932232641,4.361514414,8.459809991,0.928836905,2.890452066,0.180185402,0.823362445,0.18450321,3.395106315,4.043140374,2.792553664,3.051802584,0.300469571,2.661606,3.614845952
0,Dallas Stars,Los Angeles Kings,DAL,LAK,2005020013,0,1.328099227,0.858668783,3.764402967,6.842158046,1.428328661,0.194314661,0.863165016,0.302519459,3.56698757,4.35626265,4.123890927,4.430772529,0.347924158,2.547184,1.256290539,0.875521499,4.607434234,7.551687413,1.202591821,3.489104213,0.0104008,0.903234489,0.237047603,1.972010099,3.819646839,4.457267731,3.044484951,0.064072585,3.220986,4.87129388
