,homeTeam,awayTeam,homeAbbrev,awayAbbrev,GamePK,Winner,F_home_assists,F_home_goals,F_home_pim,F_home_shots,F_home_blocked,F_home_pm,D_home_assists,D_home_goals,D_home_pim,D_home_shots,D_home_blocked,D_home_hits,D_home_pm,G_home_GAA,F_away_assists,F_away_goals,F_away_pim,F_away_shots,F_away_blocked,F_away_hits,F_away_pm,D_away_assists,D_away_goals,D_away_pim,D_away_shots,D_away_blocked,D_away_hits,D_away_pm,G_away_GAA,F_home_hits
0,Toronto Maple Leafs,Montréal Canadiens,TOR,MTL,2018020001,0,1.307560381,1.000014342,1.413211852,8.249401593,1.93551846,0.320007817,0.817919553,0.22984141,0.983407632,4.231086827,3.827609024,3.705803396,0.122938559,2.769034,1.119675932,0.920831062,1.781391026,8.603399317,1.799183358,5.281480332,0.085321826,0.648015309,0.148866776,1.10541895,4.43713935,4.595526826,5.095341319,0.257719042,2.48953,3.460092908
0,Washington Capitals,Boston Bruins,WSH,BOS,2018020002,0,1.303864407,0.918464282,2.00031245,7.19677954,1.941346619,0.268716031,0.919777958,0.211634464,1.565928477,4.156211133,4.44047384,4.637905678,0.314260619,2.818087,1.331761665,0.942691098,1.684368602,8.187064854,1.919411983,4.894618502,0.20850911,0.537164009,0.181735687,2.251912972,4.425678103,3.937922542,4.162772419,0.246399199,2.410443242,5.690467324
0,Vancouver Canucks,Calgary Flames,VAN,CGY,2018020003,0,0.940040213,0.768159181,1.144577334,6.779416706,1.926323098,-0.54368463,0.72690466,0.175822544,1.787575226,4.458863451,4.756126523,5.323715493,-0.166731037,2.767423,1.376539038,0.926246764,1.741538434,7.428193652,1.635340297,3.24101855,0.32538929,0.938010732,0.267272272,1.56092022,4.619277638,4.698149739,3.338143626,0.620122425,2.72464,4.002903756
0,San Jose Sharks,Anaheim Ducks,SJS,ANA,2018020004,1,1.241038083,1.041249382,1.953839213,7.730539952,1.974564954,0.011103163,1.192619249,0.162738185,1.178842542,5.303922199,3.658202403,3.696352401,0.250988455,2.935603,1.045809433,0.711573796,1.358190232,5.752452284,2.023032066,4.755048605,-0.164834456,0.645748035,0.144989793,2.244003926,4.466316465,4.528452647,4.961751914,-0.372929834,2.839439,3.888795481
0,Buffalo Sabres,Boston Bruins,BUF,BOS,2018020005,1,0.97890079,0.724823816,1.09113922,7.59614057,1.577868979,-0.687529902,0.725084753,0.194407379,1.591255734,4.757760238,3.844348739,5.341900215,-0.775900715,3.000405,1.331761665,0.942691098,1.684368602,8.187064854,1.919411983,4.894618502,0.20850911,0.537164009,0.181735687,2.251912972,4.425678103,3.937922542,4.162772419,0.246399199,2.33957,3.623512365
0,Pittsburgh Penguins,Washington Capitals,PIT,WSH,2018020007,0,1.340589596,0.893523876,1.581016341,7.971514463,1.700969033,-0.162449193,0.771109717,0.220813065,1.223589892,4.596330101,4.506793128,6.223203539,0.148189754,2.687282,1.303864407,0.918464282,2.00031245,7.19677954,1.941346619,5.690467324,0.268716031,0.919777958,0.211634464,1.565928477,4.156211133,4.44047384,4.637905678,0.314260619,2.818087,4.335850202
0,Carolina Hurricanes,New York Islanders,CAR,NYI,2018020008,1,1.123419788,0.769334388,1.651400154,7.716198582,1.480742914,0.138710263,0.682006292,0.272877965,1.037798099,5.677110917,4.354954405,4.440362025,0.342295733,2.388085,1.014693462,0.743786114,2.005129782,6.139220143,2.470975125,6.431825941,0.369185516,0.640826386,0.140414628,1.460504548,4.559048687,4.727427375,4.887164293,0.459128331,2.275799,5.959808905
0,New York Rangers,Nashville Predators,NYR,NSH,2018020006,1,1.062367912,0.735079127,1.847368285,6.909231765,2.01472264,-0.620749116,0.70018061,0.199411811,2.100199023,4.500079688,4.268222583,5.388540808,-0.194699179,3.06907,0.955173326,0.821589403,1.684905773,7.318166475,1.758761128,4.142917335,0.361145465,0.868151974,0.232054785,1.751882667,5.486041743,3.930389384,3.684583252,0.319588516,2.422561,5.443775063
0,Ottawa Senators,Chicago Blackhawks,OTT,CHI,2018020009,1,1.164966846,0.782103876,1.635124978,7.007692375,2.513824064,-0.837748342,0.718875459,0.269638329,2.271555896,4.765034669,4.944496581,5.465709448,-0.863434838,3.511439,1.206927214,0.823672721,1.33653843,7.348170323,1.605598551,4.009590935,-0.470307843,0.883396836,0.214789971,2.253481737,4.772144738,4.610903431,4.031471377,-0.400989568,3.666215,3.930825229
0,Detroit Red Wings,Columbus Blue Jackets,DET,CBJ,2018020010,1,1.059144751,0.769599928,1.612554043,7.186280389,2.029348782,-0.416791712,0.533500295,0.180113384,1.425662893,3.932809827,4.072934343,4.036866869,-0.907852497,3.066289,0.998673628,0.901054454,1.432203663,7.442895455,1.867403765,5.212987421,0.131533605,0.779734855,0.16247755,1.641799588,4.403248705,3.435757137,2.435057095,-0.015893708,2.954651,4.969256947
0,St. Louis Blues,Winnipeg Jets,STL,WPG,2018020011,1,1.265948842,0.808829826,1.386411704,7.307659641,1.505182098,0.051423458,0.63781745,0.264909694,1.462217251,4.834657397,4.826504729,3.825203294,0.238127235,2.827158,1.16901028,0.913250072,2.04332832,7.019194364,1.98279821,5.310803795,0.005100219,0.997425764,0.215085306,2.379567257,4.937324946,4.462488072,4.332811762,0.27344356,2.89949,4.10822393
0,Dallas Stars,Arizona Coyotes,DAL,ARI,2018020012,0,0.999227432,0.692252266,1.68234103,7.024639311,2.552990844,-0.100080188,0.677751044,0.220161648,1.407729788,4.371887246,4.015444078,3.571649184,-0.265290598,1.979297,0.861483825,0.69618721,1.400781914,7.666439597,2.315821035,4.711481689,-0.571154234,0.627980317,0.166046248,1.180164035,3.804159491,4.938423236,5.173834917,-0.105138942,2.881677,5.518128488
0,Colorado Avalanche,Minnesota Wild,COL,MIN,2018020013,0,1.294790764,0.881151748,1.635631579,7.680148681,2.329546615,0.007385825,0.675169117,0.245516594,2.156901685,4.667164375,4.757425152,4.838646429,-0.007213118,2.874049,1.052588771,0.69247367,1.731217442,7.50641101,2.05806429,4.472559977,-0.280970277,0.656177603,0.321608647,1.478560378,4.745508626,4.491095228,3.888187894,-0.257137747,2.53679,3.932882917
0,Vegas Golden Knights,Philadelphia Flyers,VGK,PHI,2018020014,1,1.096478645,0.768032655,1.776447951,7.961148475,1.579161782,0.05543737,0.725381245,0.228336184,1.458864089,5.227088812,4.186434909,4.745952219,0.165760622,2.719572273,1.156128559,0.808209856,1.959232421,7.130874809,1.681849012,3.642922578,-0.39912335,0.742347832,0.193643817,1.605108703,4.702706661,5.558614763,5.721884714,-0.19757479,2.964094,6.851815935
0,Columbus Blue Jackets,Carolina Hurricanes,CBJ,CAR,2018020015,1,0.998673628,0.901054454,1.432203663,7.442895455,1.867403765,0.131533605,0.779734855,0.16247755,1.641799588,4.403248705,3.435757137,2.435057095,-0.015893708,2.581068,1.123419788,0.769334388,1.651400154,7.716198582,1.480742914,5.959808905,0.138710263,0.682006292,0.272877965,1.037798099,5.677110917,4.354954405,4.440362025,0.342295733,2.578992,5.212987421
0,Los Angeles Kings,San Jose Sharks,LAK,SJS,2018020016,1,0.880785122,0.647944912,1.507358979,7.006147586,1.769383283,-0.698255841,0.617158135,0.183113465,1.489270488,4.114949526,4.582439723,5.247627576,-0.272599955,3.376686,1.241038083,1.041249382,1.953839213,7.730539952,1.974564954,3.888795481,0.011103163,1.192619249,0.162738185,1.178842542,5.303922199,3.658202403,3.696352401,0.250988455,2.935603,4.477657412
0,New Jersey Devils,Edmonton Oilers,NJD,EDM,2018020020,0,0.968346266,0.816770547,1.960049117,7.830292999,2.026501878,-0.673855475,0.613129358,0.158588496,1.519980851,4.291036823,4.610413336,4.098045448,-0.525107069,3.362342,1.074927156,0.80220319,2.03234022,6.357658145,1.744280451,5.579772321,-0.461294028,0.607408824,0.256588948,1.600041089,5.14882433,5.046705204,4.754808482,-0.467572091,3.401099,5.093606599
0,Buffalo Sabres,New York Rangers,BUF,NYR,2018020017,0,0.97890079,0.724823816,1.09113922,7.59614057,1.577868979,-0.687529902,0.725084753,0.194407379,1.591255734,4.757760238,3.844348739,5.341900215,-0.775900715,3.000405,1.062367912,0.735079127,1.847368285,6.909231765,2.01472264,5.443775063,-0.620749116,0.70018061,0.199411811,2.100199023,4.500079688,4.268222583,5.388540808,-0.194699179,3.06907,3.623512365
0,Toronto Maple Leafs,Ottawa Senators,TOR,OTT,2018020018,1,1.307560381,1.000014342,1.413211852,8.249401593,1.93551846,0.320007817,0.817919553,0.22984141,0.983407632,4.231086827,3.827609024,3.705803396,0.122938559,2.769034,1.146553044,0.748122173,1.522801544,6.810293817,2.473973756,3.544284231,-0.694789385,0.718875459,0.269638329,2.271555896,4.765034669,4.944496581,5.465709448,-0.863434838,3.511439,3.460092908
0,Tampa Bay Lightning,Florida Panthers,TBL,FLA,2018020019,0,1.473037234,1.018616034,2.773979941,7.346853432,1.605081585,0.708166284,1.035634799,0.264645986,1.213652253,4.950914944,4.612468618,4.537246254,0.677140443,2.397191,1.216962421,0.895139608,2.12253194,8.165941292,2.218419718,5.021260147,-0.433129168,0.709819138,0.431979328,1.762258304,4.689161467,3.927532321,4.765372102,-0.229007435,3.105828873,5.324698677
0,New York Islanders,Nashville Predators,NYI,NSH,2018020021,1,1.014693462,0.743786114,2.005129782,6.139220143,2.470975125,0.369185516,0.640826386,0.140414628,1.460504548,4.559048687,4.727427375,4.887164293,0.459128331,2.275799,0.955173326,0.821589403,1.684905773,7.318166475,1.758761128,4.142917335,0.361145465,0.868151974,0.232054785,1.751882667,5.486041743,3.930389384,3.684583252,0.319588516,2.61759,6.431825941
