,homeTeam,awayTeam,homeAbbrev,awayAbbrev,GamePK,Winner,F_home_assists,F_home_goals,F_home_pim,F_home_shots,F_home_blocked,F_home_pm,D_home_assists,D_home_goals,D_home_pim,D_home_shots,D_home_blocked,D_home_hits,D_home_pm,G_home_GAA,F_away_assists,F_away_goals,F_away_pim,F_away_shots,F_away_blocked,F_away_hits,F_away_pm,D_away_assists,D_away_goals,D_away_pim,D_away_shots,D_away_blocked,D_away_hits,D_away_pm,G_away_GAA,F_home_hits
0,Toronto Maple Leafs,Ottawa Senators,TOR,OTT,2019020001,0,1.310248545,0.957765825,1.081873083,7.816653545,1.727905732,0.064537086,0.873754966,0.151478359,1.458113981,4.549605571,4.326878758,3.783569373,-0.070559532,2.8537,0.935935718,0.836159757,2.189791251,7.654571451,2.00669494,6.093015744,-0.571449986,0.600610685,0.126148675,1.622627657,3.836277612,4.613632399,5.047514496,-0.242862017,3.2517,3.357600466
0,St. Louis Blues,Washington Capitals,STL,WSH,2019020002,1,1.371253881,0.875375775,1.44332644,6.66172362,1.714242891,0.041715303,0.682197842,0.314563044,1.196106189,5.569740185,3.723075104,3.120344785,0.475048063,2.5647,1.189608222,0.968497057,2.044621471,7.539570929,2.123573501,5.807254877,0.461664194,0.877886318,0.164748003,3.033128189,4.310266162,3.957913707,5.405125361,0.002131542,3.1059,5.100945592
0,Edmonton Oilers,Vancouver Canucks,EDM,VAN,2019020003,0,1.227810815,0.875208095,1.739677766,6.530866993,1.639969687,-0.452399416,0.690605949,0.171385908,2.156154169,4.64139217,5.16984286,4.773917026,-0.129275689,2.9487,1.305088419,0.878922223,1.687900195,7.343668359,1.845055012,4.157474046,-0.198987402,0.931942923,0.19953946,1.670812028,4.639297665,5.166558803,3.487774667,-0.11883436,2.7509,5.048440146
0,Vegas Golden Knights,San Jose Sharks,VGK,SJS,2019020004,0,1.178836278,0.84419785,1.639081419,8.277583836,1.553728498,0.163806107,0.699251416,0.229948839,1.596982102,4.92469448,4.22999562,4.829703268,0.293912909,2.7707,0.98654223,0.632211759,2.29958955,7.001005777,1.997249446,5.107091211,-0.958815478,0.759318391,0.193447137,2.952444155,4.770239612,3.955939307,3.982709615,-0.576837091,3.0002,5.960603021
0,Tampa Bay Lightning,Florida Panthers,TBL,FLA,2019020005,0,1.273471284,1.079895552,2.494639429,6.84842386,1.735816093,0.442176668,0.887991098,0.259650932,1.776829637,5.057023824,3.913085896,4.002806721,0.700824897,2.5561,1.229727127,0.834452621,1.805360454,7.539479295,2.066458944,4.429523911,-0.298789832,0.94271953,0.3371159,1.355473032,5.054486728,3.496199784,2.986680988,0.138420611,3.2288,5.321643747
0,New York Rangers,Winnipeg Jets,NYR,WPG,2019020006,0,1.249169692,0.938882305,2.740659975,6.918902074,2.261809639,-0.075863758,0.951731406,0.304878585,2.174569042,5.175308905,4.331184693,4.208404533,-0.033360344,3.1564,1.148658879,0.864934664,1.202061841,7.226417454,1.862289275,3.967380345,0.120029963,0.930199462,0.18046691,1.548205888,4.299266397,3.202033602,4.310890315,0.103701081,2.5699,5.162741646
0,Pittsburgh Penguins,Buffalo Sabres,PIT,BUF,2019020007,1,1.360890191,0.899449307,1.600180906,7.980476089,1.91342854,0.237072705,0.70772828,0.235753195,1.617895973,4.438501919,3.55050904,5.237409594,0.319182777,2.8693,0.945161964,0.796262163,1.089974648,6.961594308,1.39663501,3.003490446,-0.233583827,0.765512525,0.158469456,1.458126137,4.485271536,3.162693619,4.781139415,-0.394356391,3.1767,5.230951781
0,Carolina Hurricanes,Montréal Canadiens,CAR,MTL,2019020008,0,1.292025939,0.839308213,1.725435314,7.310550185,1.479159111,0.189025395,0.98761832,0.359148562,1.507409569,5.933934968,3.763981491,2.829149806,0.460296318,2.6885,1.1101635,0.807597879,1.620951229,7.799659218,1.746655632,5.036590782,-0.072889231,0.625388832,0.280312535,1.540145206,5.461031113,4.079003196,5.419657813,-0.06431594,2.7908,4.088646635
0,Nashville Predators,Minnesota Wild,NSH,MIN,2019020009,0,1.010807217,0.826020611,1.774894741,7.278880908,2.149242858,-0.139652537,0.913008046,0.274147789,1.50917733,5.898125269,4.291724196,3.336201593,0.08029906,3.1694,1.203809694,0.87759095,1.951268625,6.901522,2.110505388,3.719529622,-0.018593638,0.867661939,0.308295515,1.381568904,4.77043979,4.125737512,3.016239588,-0.215548187,3.3521,3.275846794
0,Dallas Stars,Boston Bruins,DAL,BOS,2019020010,1,0.914837753,0.73776691,1.936048301,7.118281367,2.310950399,-0.005583904,0.763107301,0.187431801,1.100964412,4.673668434,4.260322308,3.737408353,0.063756452,2.4982,1.306509172,0.907695438,2.147811817,8.017314756,1.710944595,5.363546068,0.412338049,0.852561442,0.218848127,1.652447742,4.745926036,3.75365564,4.936942768,0.668931539,2.1234,4.863953454
