,homeTeam,awayTeam,homeAbbrev,awayAbbrev,GamePK,Winner,F_home_assists,F_home_goals,F_home_pim,F_home_shots,F_home_blocked,F_home_pm,D_home_assists,D_home_goals,D_home_pim,D_home_shots,D_home_blocked,D_home_hits,D_home_pm,G_home_GAA,F_away_assists,F_away_goals,F_away_pim,F_away_shots,F_away_blocked,F_away_hits,F_away_pm,D_away_assists,D_away_goals,D_away_pim,D_away_shots,D_away_blocked,D_away_hits,D_away_pm,G_away_GAA,F_home_hits
0,Montréal Canadiens,Toronto Maple Leafs,MTL,TOR,2013020001,1,0.87218181,0.745461734,3.946365625,7.233314529,2.214263911,-0.137955017,0.739369167,0.131023695,2.134328303,3.436855813,5.439104777,3.635728734,0.144670391,2.320771,0.975450801,0.80347597,2.889779123,6.930930321,1.906052831,6.07932018,-0.274646005,0.708774485,0.217592057,2.439299885,3.665883307,5.115137948,7.158639493,-0.297377936,3.294764,4.189450549
0,Chicago Blackhawks,Washington Capitals,CHI,WSH,2013020002,0,1.136973022,0.929419978,1.712146837,8.041476716,1.677589304,0.365937396,0.948165542,0.21786356,1.519346427,4.685473947,3.937431839,3.268123795,0.611478433,2.262139,1.137296981,0.75093,2.65505377,6.537887421,1.712291501,5.728891677,-0.311141209,0.670998575,0.176957711,2.529516675,4.372978106,5.296264899,3.243658916,-0.382049561,2.846028,4.150697897
0,Edmonton Oilers,Winnipeg Jets,EDM,WPG,2013020003,1,1.112208519,0.697741568,3.098875359,7.125831676,2.113095794,-0.864053415,0.475349835,0.148318777,1.827856488,2.845036687,5.243996014,4.819466794,-0.624632124,3.430252,1.022379842,0.67953203,2.458813534,7.127490895,2.07194577,6.317167741,-0.095347896,0.637120159,0.282275693,2.466386028,4.945483713,4.594780372,5.069075403,0.011024631,3.011115,5.443836832
0,Philadelphia Flyers,Toronto Maple Leafs,PHI,TOR,2013020004,1,1.126891599,0.823888744,3.781438999,7.519700128,1.713290299,-0.173089007,0.704508167,0.21048675,1.791703759,3.854078069,4.695968394,4.554649208,0.109962539,2.495983,0.975450801,0.80347597,2.889779123,6.930930321,1.906052831,6.07932018,-0.274646005,0.708774485,0.217592057,2.439299885,3.665883307,5.115137948,7.158639493,-0.297377936,2.685202,5.862237655
0,Detroit Red Wings,Buffalo Sabres,DET,BUF,2013020005,0,1.012857341,0.690382895,1.517798023,7.556552125,1.480639855,-0.136051903,0.717451249,0.15059091,1.99985433,3.709718322,3.854816999,3.330679211,0.008313852,2.656635,0.760195495,0.482238818,2.741744396,5.795568806,1.838618055,5.914665349,-0.892475378,0.473703047,0.184636054,1.595839796,3.840719869,4.34214517,3.938600527,-1.01550101,2.639786,3.670315114
0,Colorado Avalanche,Anaheim Ducks,COL,ANA,2013020006,0,1.32634171,0.822188533,2.540245143,7.243018676,1.907884106,0.371838164,0.673202133,0.27149538,1.4377898,3.806945083,4.668669513,4.778391273,0.330648825,2.406748,1.310537875,0.926056433,2.305430384,7.800964969,1.96627705,4.413932748,0.693409061,0.733868116,0.193082757,1.807897532,3.861852284,4.82749151,5.782249024,0.869189938,2.825141,4.4096578
0,Boston Bruins,Tampa Bay Lightning,BOS,TBL,2013020007,0,1.208282366,0.84564937,2.397568852,7.242244186,1.604787514,0.939499067,0.798552887,0.273140667,2.358483156,5.141665061,4.024566909,5.152861777,1.019504046,2.037532,1.062220338,0.833015006,2.262884945,6.770107519,1.707386128,3.979934585,0.159302616,0.797837152,0.202915622,2.445419794,4.234594094,4.307547988,4.451799797,0.252096083,2.90252,5.15093743
0,Pittsburgh Penguins,New Jersey Devils,PIT,NJD,2013020008,0,1.300700125,0.827815195,2.092135415,7.68536565,1.809609235,0.193710575,0.689797054,0.203292571,1.871023856,3.659488955,4.617660986,4.898967403,0.023483832,2.373167,0.993922531,0.629756854,1.499479384,6.344033823,1.151948277,3.633884384,-0.231295391,0.511129901,0.158466762,1.527708067,3.270224474,3.86902377,4.012068941,-0.071864485,1.970223,5.411099792
0,Washington Capitals,Calgary Flames,WSH,CGY,2013020009,0,1.128082168,0.762384518,2.544197391,6.686009592,1.743421351,-0.323296396,0.624885896,0.179774348,2.665500564,4.26536035,5.03617868,3.430968985,-0.3238694,2.813420572,0.909510529,0.631983692,2.472285786,6.448544709,2.173990545,5.38371126,-0.523018107,0.815566461,0.212608557,1.6522803,4.468564474,5.131585979,2.786246196,-0.648543447,2.652971,5.702355951
0,Minnesota Wild,Los Angeles Kings,MIN,LAK,2013020011,1,1.092323487,0.665218989,2.027493222,6.62895421,1.901201538,-0.019195081,0.594402865,0.196893402,1.855667735,3.257501775,3.906776262,2.977377449,-0.023779831,3.016132,0.806177003,0.627420771,2.781645229,7.344516169,1.527966867,7.373499117,0.281916349,0.636313429,0.223717563,1.964935055,4.403791957,3.822160569,6.610842357,0.463018586,2.065807,3.744033233
