,homeTeam,awayTeam,homeAbbrev,awayAbbrev,GamePK,Winner,F_home_assists,F_home_goals,F_home_pim,F_home_shots,F_home_blocked,F_home_pm,D_home_assists,D_home_goals,D_home_pim,D_home_shots,D_home_blocked,D_home_hits,D_home_pm,G_home_GAA,F_away_assists,F_away_goals,F_away_pim,F_away_shots,F_away_blocked,F_away_hits,F_away_pm,D_away_assists,D_away_goals,D_away_pim,D_away_shots,D_away_blocked,D_away_hits,D_away_pm,G_away_GAA,F_home_hits
0,Philadelphia Flyers,Pittsburgh Penguins,PHI,PIT,2020020001,0,1.222892484,0.770795688,1.630281615,6.617564168,1.415141678,-0.351174671,0.701395763,0.307245357,1.395033898,4.874586232,3.684239336,4.295531291,-0.250517452,3.6668,1.385174404,0.934121347,1.621969585,7.114168047,2.006878484,5.599843075,0.307327648,0.768391671,0.209174082,1.279263144,4.134989774,3.176730072,4.851663791,0.720634582,2.7456,4.219785609
0,Toronto Maple Leafs,Montréal Canadiens,TOR,MTL,2020020003,0,1.381657904,1.00735947,1.331018568,7.887507167,1.871396745,0.523379513,0.885693497,0.134871233,1.52217797,3.726866342,3.781913476,3.893898369,0.744338913,3.470252665,1.122398334,0.806095528,1.525525313,7.323666448,1.688192394,6.54786325,0.107342784,0.664234477,0.228627605,1.68642776,4.898361785,3.900498462,4.716503497,0.225879186,2.6374,3.142605449
0,Tampa Bay Lightning,Chicago Blackhawks,TBL,CHI,2020020002,0,1.201426742,0.901795143,1.91694396,6.397836919,1.547858736,0.094730156,0.993241375,0.210881049,1.939637914,5.302919769,3.587165308,4.183000636,0.430667943,2.2111,0.985466312,0.714982072,1.086797963,7.288016972,1.334917811,3.330703153,-1.239879686,0.664553238,0.160677223,1.553215458,3.933360741,4.783521433,5.015774757,-0.531728019,3.1999,4.998480015
0,Edmonton Oilers,Vancouver Canucks,EDM,VAN,2020020004,1,1.321412593,0.888780814,1.836488022,6.730846333,1.483348026,0.088548882,0.761848854,0.281509616,1.167235377,5.148686897,4.856408603,3.914548291,-0.067113886,3.1718,0.857533377,0.765471202,2.148197147,6.582129264,1.902777112,5.053696679,-0.515635753,0.715797948,0.191561838,1.911664196,4.97777056,4.41556884,2.784139752,-0.723733966,3.6653,6.019098338
0,Colorado Avalanche,St. Louis Blues,COL,STL,2020020005,1,1.373852133,1.047760407,1.583603049,8.234168805,1.707685748,0.694404492,1.181074351,0.22860834,1.464917879,4.903407453,3.99124107,3.151437294,1.165040827,1.9519,1.176059705,0.832610759,1.527836429,6.152766047,1.857631737,4.602592556,0.082035189,0.854973379,0.199732941,1.825665465,4.509693242,4.291298773,4.104418838,0.091681943,2.6474,2.657506839
0,Buffalo Sabres,Washington Capitals,BUF,WSH,2020020006,1,0.970441573,0.594124906,0.901006141,7.061849518,1.520765073,-1.048603672,0.590215613,0.236307663,1.820668805,4.459587843,3.785107477,5.899630743,-0.893921479,3.4681,1.220369332,1.008325111,2.113835152,7.057933987,1.637086438,4.884093195,0.132296146,0.890840225,0.229842293,1.259544233,4.172456675,3.75904915,4.206850838,0.11254793,2.6903,2.630336888
0,New Jersey Devils,Boston Bruins,NJD,BOS,2020020007,1,0.873805352,0.756436847,1.184308397,6.834871862,1.357672279,-0.532822779,0.802639438,0.151357901,1.143876946,3.865046129,3.794154023,3.165180133,-0.389650774,3.0422,1.061803347,0.724549631,1.878162861,7.681472469,1.671377051,4.710341441,0.144570042,0.75199116,0.163754534,1.980894074,4.301309916,3.667692612,5.224754329,0.21174316,2.2772,3.688758909
0,New York Rangers,New York Islanders,NYR,NYI,2020020008,1,1.33796683,0.87740804,2.145844269,7.041394821,1.981734473,0.190148012,0.74312251,0.189088812,2.026315452,4.533429728,4.098212027,4.989382046,-0.144775198,2.6224,0.945866106,0.827153138,2.300313652,6.630962797,1.787861988,7.482707666,0.396020611,0.907969913,0.241172877,0.90546565,4.288933873,4.227809534,3.747176333,0.554713107,2.0407,5.224725978
0,Detroit Red Wings,Carolina Hurricanes,DET,CAR,2020020010,1,0.776789769,0.745411314,1.547308341,6.521216874,1.782014345,-0.460487325,0.663623674,0.145112387,1.11999798,3.533625656,3.845587839,3.855482096,-0.389981327,2.7006,1.311443178,0.948029325,1.615081263,7.250318965,1.526882989,5.339400487,0.354355384,0.824454391,0.215694648,1.098203692,5.487928663,3.613223987,2.542633027,0.429139163,2.634358589,3.442200032
0,Nashville Predators,Columbus Blue Jackets,NSH,CBJ,2020020011,0,0.933194729,0.714143172,1.400565691,7.299118337,1.610148825,0.047687579,0.718814653,0.219828458,1.915015978,5.19872139,4.376580254,3.755551343,-0.098338252,2.2809,0.934235844,0.614803233,1.479857343,6.732801123,2.046731341,4.028629609,-0.465016155,0.679427646,0.237960243,1.088006009,4.291153464,4.327001873,4.358065878,-0.783288935,3.2963,4.236509023
