,homeTeam,awayTeam,homeAbbrev,awayAbbrev,GamePK,Winner,F_home_assists,F_home_goals,F_home_pim,F_home_shots,F_home_blocked,F_home_pm,D_home_assists,D_home_goals,D_home_pim,D_home_shots,D_home_blocked,D_home_hits,D_home_pm,G_home_GAA,F_away_assists,F_away_goals,F_away_pim,F_away_shots,F_away_blocked,F_away_hits,F_away_pm,D_away_assists,D_away_goals,D_away_pim,D_away_shots,D_away_blocked,D_away_hits,D_away_pm,G_away_GAA,F_home_hits
0,Toronto Maple Leafs,Montréal Canadiens,TOR,MTL,2014020001,1,0.873744971,0.695382434,2.282661816,6.957789046,1.573161897,-0.638895121,0.694662098,0.14882431,1.856941324,4.08295677,4.598900103,6.554046247,-0.65763203,2.870497,0.97906456,0.737428882,2.042886189,7.308329516,2.158401805,4.361021216,0.340188926,0.782200868,0.19140701,2.275932366,3.157023245,5.574016473,4.107717029,0.203846335,1.961499,5.786074999
0,Boston Bruins,Philadelphia Flyers,BOS,PHI,2014020002,0,0.980602873,0.677844664,3.104573157,6.982495087,1.63702746,0.027855664,0.608414271,0.223588473,1.892631821,5.135868106,3.596251581,5.681184448,0.18941626,3.51344181,0.987369557,0.686351649,2.487423562,7.156567016,1.914522522,6.988926708,-0.512214017,0.761432906,0.205176009,1.567678989,3.63673557,4.837038482,5.14147634,-0.046801684,2.245802,6.314541088
0,Calgary Flames,Vancouver Canucks,CGY,VAN,2014020003,1,1.054006066,0.729360525,1.802784469,6.385699456,1.951221799,-0.084263222,0.885069419,0.265362476,1.254151192,4.331782296,6.446516567,3.039488384,0.021407864,2.361642,1.315761951,0.811654558,3.273340268,7.10112317,1.534060079,4.59781941,0.185854173,0.651993836,0.208589551,1.99941513,4.344866354,4.999643802,4.102001212,0.177748739,2.526051,5.653016105
0,Los Angeles Kings,San Jose Sharks,LAK,SJS,2014020004,1,0.950057031,0.783530797,2.137066406,7.28123748,1.127914498,0.196423416,0.831404889,0.177162184,1.449284361,4.267155225,4.168073782,6.486268884,0.188351557,2.240321339,1.043623694,0.650100431,3.005979528,7.703950718,2.603651414,6.413177917,-0.388228893,0.727974603,0.273834059,1.638387394,4.578263011,4.360636027,3.500587244,-0.004225221,2.592045,6.565927429
0,Buffalo Sabres,Columbus Blue Jackets,BUF,CBJ,2014020005,1,0.846635156,0.528971283,2.08095855,5.890408252,2.297464622,-0.798677043,0.465632372,0.150984884,2.101981467,3.061751551,6.09844616,4.599452194,-1.057666027,3.070299,1.042127399,0.714525597,2.433975721,7.001897187,1.943987056,6.918378269,-0.492058874,0.769247917,0.193766686,2.125218411,3.767528786,3.860926937,5.361713431,-0.126300049,2.684982,5.528857152
0,Philadelphia Flyers,New Jersey Devils,PHI,NJD,2014020006,1,0.987369557,0.686351649,2.487423562,7.156567016,1.914522522,-0.512214017,0.761432906,0.205176009,1.567678989,3.63673557,4.837038482,5.14147634,-0.046801684,2.245802,0.830346054,0.590274332,1.780950651,5.863757163,1.359931352,4.013820169,-0.263797069,0.690389405,0.165154413,1.7876565,3.869897952,3.848801065,3.209357439,-0.376493091,2.263045,6.988926708
0,Pittsburgh Penguins,Anaheim Ducks,PIT,ANA,2014020007,0,1.135004322,0.853658429,3.184728409,7.937303777,1.785674052,0.145071503,0.760288468,0.164454619,2.189943416,4.26556109,4.103992859,4.867466335,0.215817136,2.319803,0.995380511,0.786714789,2.419473157,7.539164297,2.081038374,6.759575056,0.224751043,0.669997047,0.223403912,1.654038892,3.519319817,4.847070453,5.322343018,0.038695139,2.597176,6.593905208
0,Washington Capitals,Montréal Canadiens,WSH,MTL,2014020008,1,1.03614741,0.866290276,2.483686187,7.192610871,1.589019436,0.439864073,0.899757795,0.190474246,1.356867344,4.24313355,5.314902535,5.000542047,0.264923693,2.217784,0.97906456,0.737428882,2.042886189,7.308329516,2.158401805,4.361021216,0.340188926,0.782200868,0.19140701,2.275932366,3.157023245,5.574016473,4.107717029,0.203846335,2.74636,6.340144787
0,Detroit Red Wings,Boston Bruins,DET,BOS,2014020009,0,1.0858219,0.730125466,1.609450469,7.266320385,1.780295637,-0.188492402,0.770303974,0.188214,2.292580958,3.641314211,3.254617702,3.294795956,0.255776537,2.443964,0.937254537,0.680661193,3.316863873,6.859898266,1.732447658,5.84648953,0.005816872,0.608414271,0.223588473,1.892631821,5.135868106,3.596251581,5.681184448,0.18941626,2.303707,4.639359102
0,Tampa Bay Lightning,Florida Panthers,TBL,FLA,2014020010,0,1.268790185,0.90339446,2.121258112,7.059157346,1.666103188,0.464205521,0.781863503,0.214871814,1.70093253,4.257873823,4.493192522,3.915037988,0.327534536,2.318841,0.938855745,0.695567465,1.989181459,7.633290396,1.491671719,5.958343036,-0.156913314,0.571707714,0.162417292,1.356178772,3.944653941,3.801998714,4.756698668,0.073437211,2.346817,4.783780976
