Rk▼,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
921,Zach Bogosian\bogosza01,31,TBL,D,48,3,5,8,2,53,1.8,3,0,0,1,5,0,0,60,5.0,737,15:22,34,114,0,0,
922,Brock Boeser\boesebr01,24,VAN,RW,71,23,23,46,-5,20,4.4,12,11,0,6,16,6,1,195,11.8,1321,18:36,26,35,27,26,50.9
923,Teddy Blueger\bluegte01,27,PIT,C,65,9,19,28,12,10,2.3,8,0,1,0,18,0,1,93,9.7,976,15:01,32,87,357,315,53.1
924,Anton Blidh\blidhan01,26,BOS,LW,32,2,7,9,-3,24,0.4,2,0,0,0,7,0,0,28,7.1,343,10:44,17,82,0,3,0.0
925,Nick Blankenburg\blankni01,23,CBJ,D,7,1,2,3,-3,4,0.3,0,1,0,1,2,0,0,13,7.7,123,17:34,12,19,0,0,
926,Sammy Blais\blaissa01,25,NYR,LW,14,0,4,4,3,17,0.2,0,0,0,0,4,0,0,17,0.0,188,13:28,8,37,1,4,20.0
927,Colin Blackwell\blackco01,28,TOT,C,58,10,10,20,0,14,1.8,8,0,2,1,10,0,0,77,13.0,692,11:56,24,91,83,86,49.1
928,Nick Bjugstad\bjugsni01,29,MIN,C,57,7,6,13,-2,20,0.6,6,1,0,0,6,0,0,81,8.6,585,10:16,14,99,141,114,55.3
929,Tobias Bjornfot\bjornto01,20,LAK,D,70,0,8,8,-12,6,1.2,0,0,0,0,8,0,0,53,0.0,1173,16:46,58,61,0,0,
930,Oliver Bjorkstrand\bjorkol01,26,CBJ,RW,80,28,29,57,-35,16,4.4,19,9,0,1,19,10,0,215,13.0,1436,17:57,31,85,10,13,43.5
931,Kasper Bjorkqvist\bjorkka01,24,PIT,RW,6,1,0,1,-1,2,0.1,1,0,0,0,0,0,0,8,12.5,50,8:22,2,9,0,0,
932,Anders Bjork\bjorkan01,25,BUF,LW,58,5,3,8,-14,10,-0.3,5,0,0,0,3,0,0,51,9.8,698,12:02,16,11,1,4,20.0
933,Clark Bishop\bishocl01,25,OTT,C,9,0,1,1,-3,6,-0.1,0,0,0,0,1,0,0,8,0.0,75,8:21,3,12,3,3,50.0
934,Brandon Biro\birobr01,23,BUF,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,14,13:30,0,1,0,0,
935,Alex Biega\biegaal01,33,TOR,D,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,26,13:07,1,5,0,0,
936,Tyler Bertuzzi\bertuty01,26,DET,LW,68,30,32,62,-11,47,6.3,23,6,1,5,23,8,1,180,16.7,1352,19:53,41,65,6,17,26.1
937,Jacob Bernard-Docker\bernaja01,21,OTT,D,8,0,1,1,1,4,0.3,0,0,0,0,1,0,0,6,0.0,118,14:46,3,4,0,0,
938,Patrice Bergeron\bergepa01,36,BOS,C,73,25,40,65,26,32,7.5,17,8,0,4,22,15,3,293,8.5,1326,18:10,45,78,991,609,61.9
939,Tyler Benson\bensoty01,23,EDM,LW,29,1,1,2,-5,18,-0.3,1,0,0,0,1,0,0,18,5.6,248,8:32,3,45,0,1,0.0
940,Simon Benoit\benoisi01,23,ANA,D,53,1,4,5,-5,22,1.2,1,0,0,0,4,0,0,45,2.2,747,14:06,39,168,0,0,
941,Matt Benning\bennima01,27,NSH,D,65,0,11,11,-24,39,0.2,0,0,0,0,11,0,0,61,0.0,1062,16:20,67,82,0,0,
942,Sam Bennett\bennesa01,25,FLA,C,71,28,21,49,27,74,5.8,23,5,0,7,16,4,1,241,11.6,1203,16:57,27,119,411,466,46.9
943,Jordie Benn\bennjo01,34,MIN,D,39,1,7,8,1,10,0.9,1,0,0,0,7,0,0,37,2.7,584,14:59,41,51,0,0,
944,Jamie Benn\bennja01,32,DAL,LW,82,18,28,46,-13,88,3.7,14,3,1,2,20,8,0,182,9.9,1373,16:45,60,143,492,399,55.2
945,Matthew Beniers\beniema01,19,SEA,C,10,3,6,9,-1,0,0.9,1,2,0,0,4,2,0,18,16.7,169,16:56,4,7,39,53,42.4
946,Emil Bemstrom\bemstem01,22,CBJ,C,41,6,5,11,-1,4,0.9,6,0,0,1,5,0,0,62,9.7,431,10:31,6,36,2,2,50.0
947,Alex Belzile\belzial01,30,MTL,F,11,0,0,0,0,4,-0.2,0,0,0,0,0,0,0,13,0.0,114,10:24,5,17,8,11,42.1
948,Kieffer Bellows\belloki01,23,NYI,LW,45,6,13,19,-1,19,1.7,6,0,0,2,9,4,0,79,7.6,534,11:52,14,103,0,1,0.0
949,Pierre-Edouard Bellemare\bellepi01,36,TBL,LW,80,9,11,20,24,19,1.7,8,0,1,1,11,0,0,72,12.5,1101,13:45,44,88,483,452,51.7
950,Adam Beckman\beckmad01,20,MIN,LW,3,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,4,0.0,31,10:25,1,1,0,0,
951,Anthony Beauvillier\beauvan01,24,NYI,LW,75,12,22,34,-10,12,2.4,7,5,0,1,16,6,0,154,7.8,1263,16:50,20,39,4,6,40.0
952,Nathan Beaulieu\beaulna01,29,WPG,D,24,0,4,4,-7,25,0.1,0,0,0,0,3,0,1,24,0.0,258,10:46,19,19,0,0,
953,Nicolas Beaudin\beaudni01,22,CHI,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,12,6:10,1,0,0,0,
954,Ethan Bear\bearet01,24,CAR,D,58,5,9,14,1,20,2.9,5,0,0,2,8,1,0,97,5.2,933,16:05,41,55,0,0,
955,Jake Bean\beanja01,23,CBJ,D,67,7,18,25,-5,26,3.6,7,0,0,2,13,4,1,90,7.8,1378,20:34,71,41,0,0,
956,Jay Beagle\beaglja01,36,ARI,RW,33,1,1,2,-20,27,-1.2,1,0,0,0,1,0,0,24,4.2,455,13:47,16,50,265,199,57.1
957,Gavin Bayreuther\bayrega01,27,CBJ,D,43,0,8,8,0,22,1.2,0,0,0,0,8,0,0,44,0.0,561,13:03,45,50,0,0,
958,Drake Batherson\bathedr01,23,OTT,C,46,17,27,44,4,32,4.8,14,3,0,3,16,11,0,110,15.5,871,18:56,15,89,18,25,41.9
959,Nathan Bastian\bastina01,24,TOT,RW,72,12,6,18,-12,65,1.1,9,3,0,1,5,1,0,97,12.4,857,11:54,40,210,23,25,47.9
960,Mathew Barzal\barzama01,24,NYI,C,73,15,44,59,-15,18,4.9,14,1,0,1,25,19,0,161,9.3,1315,18:01,17,36,234,271,46.3
961,Morgan Barron\barromo01,23,TOT,C,27,2,3,5,-4,8,0.1,2,0,0,0,3,0,0,33,6.1,265,9:48,8,49,30,24,55.6
962,Justin Barron\barroju01,20,TOT,D,7,1,1,2,-3,0,0.2,1,0,0,0,1,0,0,13,7.7,120,17:11,5,5,0,0,
963,Tyson Barrie\barrity01,30,EDM,D,73,7,34,41,3,18,5.6,4,3,0,0,15,18,1,149,4.7,1384,18:58,73,27,0,0,
964,Alex Barre-Boulet\barreal01,24,TOT,F,16,3,3,6,0,4,0.6,3,0,0,0,2,1,0,16,18.8,176,11:00,3,10,6,9,40.0
965,Aleksander Barkov\barkoal01,26,FLA,C,67,39,49,88,36,18,10.6,23,12,4,5,34,14,1,214,18.2,1360,20:18,42,50,713,539,56.9
966,Riley Barber\barberi01,27,DET,RW,4,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,4,0.0,34,8:27,1,3,0,0,
967,Ivan Barbashev\barbaiv01,26,STL,C,81,26,34,60,4,40,5.9,21,4,1,2,28,5,1,111,23.4,1332,16:26,28,160,131,197,39.9
968,Alexander Barabanov\barabal01,27,SJS,F,70,10,29,39,-5,14,3.0,8,2,0,1,23,6,0,103,9.7,1203,17:11,39,53,0,1,0.0
969,Rudolfs Balcers\balceru01,24,SJS,LW,61,11,12,23,-3,20,2.0,11,0,0,1,11,0,1,98,11.2,917,15:02,43,115,8,12,40.0
970,Justin Bailey\baileju01,26,VAN,RW,14,0,0,0,-5,6,-0.4,0,0,0,0,0,0,0,16,0.0,127,9:05,6,12,0,1,0.0
971,Josh Bailey\bailejo01,32,NYI,C,74,14,30,44,-7,6,3.7,12,2,0,1,21,9,0,87,16.1,1250,16:53,26,19,43,67,39.1
972,Kevin Bahl\bahlke01,21,NJD,D,17,1,3,4,-6,10,0.3,1,0,0,0,3,0,0,16,6.3,268,15:45,15,28,0,0,
973,Sven Baertschi\baertsv01,29,VEG,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,14,13:54,0,0,0,0,
974,Brandon Baddock\baddobr01,26,MTL,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,8,8:24,0,6,0,0,
975,Nicklas Backstrom\backsni02,34,WSH,C,47,6,25,31,-8,12,2.0,5,1,0,1,12,13,0,68,8.8,822,17:29,16,16,301,348,46.4
976,Mikael Backlund\backlmi01,32,CGY,C,82,12,27,39,16,30,3.0,12,0,0,1,20,7,0,214,5.6,1404,17:07,27,62,621,608,50.5
977,Nicolas Aube-Kubel\aubekni01,25,TOT,RW,74,11,12,23,11,47,2.3,11,0,0,2,12,0,0,87,12.6,726,9:49,18,140,3,9,25.0
978,Ronald Attard\attarro01,22,PHI,D,15,2,2,4,-2,8,0.7,2,0,0,0,2,0,0,16,12.5,249,16:36,17,24,0,0,
979,Cam Atkinson\atkinca01,32,PHI,RW,73,23,27,50,-2,10,5.1,18,2,3,6,24,3,0,215,10.7,1332,18:15,45,20,5,12,29.4
980,Andreas Athanasiou\athanan01,27,LAK,C,28,11,6,17,7,4,2.4,11,0,0,3,5,1,0,71,15.5,427,15:14,10,11,13,7,65.0
981,Zach Aston-Reese\astonza01,27,TOT,C,69,5,10,15,9,28,0.8,5,0,0,0,10,0,0,78,6.4,900,13:02,42,231,4,4,50.0
982,Rasmus Asplund\asplura01,24,BUF,F,80,8,19,27,-5,10,1.6,5,2,1,1,17,2,0,130,6.2,1142,14:17,14,30,26,35,42.6
983,Viktor Arvidsson\arvidvi01,28,LAK,LW,66,20,29,49,1,22,5.2,16,4,0,3,25,4,0,227,8.8,1121,16:59,45,23,12,21,36.4
984,Joel Armia\armiajo01,28,MTL,RW,60,6,8,14,-15,14,0.1,4,1,1,0,6,2,0,103,5.8,823,13:43,27,104,3,14,17.6
985,Josh Archibald\archijo01,29,EDM,RW,8,0,1,1,-2,7,-0.1,0,0,0,0,1,0,0,4,0.0,72,9:03,2,27,2,2,50.0
986,Mason Appleton\applema01,26,TOT,C,68,8,13,21,-1,30,1.2,8,0,0,3,13,0,0,98,8.2,1012,14:53,20,64,7,15,31.8
987,Anthony Angello\angelan01,25,PIT,C,4,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,27,6:38,0,13,0,1,0.0
988,Andy Andreoff\andrean01,30,NYI,LW,6,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,6,16.7,60,9:59,1,11,9,8,52.9
989,Rasmus Andersson\anderra01,25,CGY,D,82,4,46,50,30,28,8.6,2,2,0,1,28,17,1,152,2.6,1860,22:41,125,63,0,0,
990,Lias Andersson\anderli01,23,LAK,C,20,1,1,2,-7,12,-0.3,1,0,0,1,0,1,0,29,3.4,212,10:37,3,23,21,26,44.7
991,Jaret Anderson-Dolan\anderja01,22,LAK,C,7,0,0,0,-3,4,-0.3,0,0,0,0,0,0,0,5,0.0,97,13:47,3,12,9,7,56.3
992,Michael Anderson\andermi02,22,LAK,D,57,2,6,8,6,8,2.7,2,0,0,1,6,0,0,58,3.4,1147,20:07,69,133,0,0,
993,Josh Anderson\anderjo05,27,MTL,RW,69,19,13,32,-25,65,2.1,17,2,0,1,12,1,0,151,12.6,1189,17:14,35,153,20,22,47.6
994,Joey Anderson\anderjo08,23,TOR,RW,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,10,0.0,44,8:46,0,3,0,0,
995,Michael Amadio\amadimi01,25,TOT,C,56,11,7,18,1,15,1.7,11,0,0,2,7,0,0,64,17.2,681,12:10,16,42,30,42,41.7
996,Wade Allison\alliswa01,24,PHI,RW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,2,0.0,8,8:16,0,1,0,0,
997,Alexander Alexeyev\alexeal01,22,WSH,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,11,10:35,0,1,0,0,
998,Sebastian Aho\ahose02,25,NYI,D,36,2,10,12,-6,10,1.7,2,0,0,0,8,2,0,34,5.9,592,16:27,42,32,0,0,
999,Sebastian Aho\ahose01,24,CAR,F,79,37,44,81,18,38,9.4,23,13,1,9,27,15,2,221,16.7,1497,18:57,23,76,555,504,52.4
1000,Jack Ahcan\ahcanja01,24,BOS,D,6,1,0,1,-3,0,0.1,0,1,0,0,0,0,0,5,20.0,96,16:02,5,8,0,0,
1001,Andrew Agozzino\agozzan01,31,OTT,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,7,6:52,0,4,1,2,33.3
1002,Calen Addison\addisca01,21,MIN,D,15,2,2,4,-4,2,0.3,2,0,0,0,2,0,0,17,11.8,207,13:47,6,12,0,0,
1003,Noel Acciari\acciano01,30,FLA,C,20,3,5,8,2,11,0.6,3,0,0,1,5,0,0,32,9.4,240,11:59,16,48,84,82,50.6
1004,Nicholas Abruzzese\abruzni01,22,TOR,C,9,1,0,1,-1,2,0.0,1,0,0,1,0,0,0,8,12.5,92,10:13,3,7,2,5,28.6
