Rk▼,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
197,Dylan Samberg\sambedy01,23,WPG,D,15,0,5,5,3,4,0.9,0,0,0,0,5,0,0,14,0.0,223,14:51,19,21,0,0,
198,Robin Salo\saloro01,23,NYI,D,21,1,4,5,-6,4,0.6,1,0,0,0,2,2,0,24,4.2,351,16:41,23,7,0,0,
199,Scott Sabourin\sabousc01,29,OTT,F,7,0,2,2,-2,11,0.0,0,0,0,0,2,0,0,4,0.0,53,7:36,4,14,1,0,100.0
200,Brandon Saad\saadbr01,29,STL,LW,78,24,25,49,11,10,5.0,15,8,1,1,18,5,2,158,15.2,1269,16:16,20,20,8,11,42.1
201,Jonas Røndbjerg\rondbjo01,22,VEG,RW,30,2,4,6,0,4,0.3,2,0,0,0,4,0,0,30,6.7,300,10:01,11,13,0,2,0.0
202,Derek Ryan\ryande01,35,EDM,C,75,10,12,22,-4,8,1.4,10,0,0,2,11,0,1,72,13.9,857,11:26,38,38,286,226,55.9
203,Adam Ruzicka\ruzicad01,22,CGY,C,28,5,5,10,8,8,1.2,5,0,0,0,5,0,0,33,15.2,286,10:13,8,24,103,120,46.2
204,Jan Rutta\ruttaja02,31,TBL,D,76,3,15,18,25,47,4.8,3,0,0,0,15,0,0,86,3.5,1245,16:23,71,93,0,0,
205,Bryan Rust\rustbr01,29,PIT,RW,60,24,34,58,7,14,6.1,15,9,0,1,22,12,0,180,13.3,1126,18:46,24,43,1,5,16.7
206,Kris Russell\russekr01,34,EDM,D,31,2,7,9,7,4,1.8,2,0,0,1,7,0,0,34,5.9,479,15:26,68,33,0,0,
207,Arttu Ruotsalainen\ruotsar01,24,BUF,F,18,2,2,4,-1,6,0.2,2,0,0,0,2,0,0,23,8.7,214,11:53,6,14,51,69,42.5
208,Chad Ruhwedel\ruhwech01,31,PIT,D,78,4,9,13,2,14,2.8,4,0,0,0,9,0,0,82,4.9,1196,15:20,86,149,0,0,
209,Kristians Rubins\rubinkr01,24,TOR,D,3,0,0,0,-2,4,-0.1,0,0,0,0,0,0,0,5,0.0,35,11:45,2,12,0,0,
210,Nicolas Roy\royni01,24,VEG,C,78,15,24,39,12,51,3.5,13,2,0,3,20,3,1,145,10.3,1268,16:16,34,85,454,477,48.8
211,Matt Roy\royma04,26,LAK,D,67,2,19,21,23,28,5.4,2,0,0,0,15,2,2,153,1.3,1406,20:59,103,124,0,0,
212,Carter Rowney\rowneca01,32,DET,RW,26,4,2,6,-4,0,0.4,4,0,0,0,1,0,1,15,26.7,277,10:40,20,36,74,91,44.8
213,Antoine Roussel\roussan01,32,ARI,LW,53,4,4,8,-16,59,-0.5,4,0,0,1,4,0,0,59,6.8,644,12:09,34,74,17,22,43.6
214,Marco Rossi\rossima01,20,MIN,C,2,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,5,0.0,31,15:35,1,1,7,15,31.8
215,Jack Roslovic\rosloja01,25,CBJ,C,81,22,23,45,2,12,4.5,18,4,0,4,20,3,0,131,16.8,1157,14:17,25,60,372,483,43.5
216,Calle Rosen\rosenca01,27,STL,D,18,2,5,7,-2,4,0.8,2,0,0,0,5,0,0,18,11.1,258,14:20,16,6,0,0,
217,Kevin Rooney\rooneke01,28,NYR,C,61,6,6,12,-1,18,0.4,6,0,0,1,6,0,0,71,8.5,845,13:51,47,84,181,223,44.8
218,Alexander Romanov\romanal01,22,MTL,D,79,3,10,13,-9,53,2.2,3,0,0,0,10,0,0,107,2.8,1611,20:24,144,227,0,0,
219,Evan Rodrigues\rodriev01,28,PIT,C,82,19,24,43,3,14,3.8,12,7,0,2,23,1,0,243,7.8,1299,15:50,30,89,183,203,47.4
220,Eric Robinson\robiner01,26,CBJ,LW,67,10,17,27,-1,18,1.9,8,0,2,1,17,0,0,104,9.6,931,13:54,20,95,2,2,50.0
221,Buddy Robinson\robinbu01,30,ANA,RW,32,1,5,6,2,19,0.3,1,0,0,0,5,0,0,38,2.6,296,9:15,12,56,0,6,0.0
222,Nicholas Robertson\roberni01,20,TOR,LW,10,1,0,1,-4,4,-0.1,1,0,0,0,0,0,0,14,7.1,103,10:16,2,10,0,0,
223,Jason Robertson\roberja01,22,DAL,LW,74,41,38,79,16,22,10.0,28,13,0,11,30,8,0,220,18.6,1340,18:07,24,50,0,0,
224,Nick Ritchie\ritchni01,26,TOT,LW,57,12,11,23,-13,43,1.6,11,1,0,0,8,3,0,93,12.9,724,12:42,22,153,0,4,0.0
225,Brett Ritchie\ritchbr01,28,CGY,RW,41,3,1,4,-6,29,-0.2,3,0,0,0,1,0,0,55,5.5,399,9:43,5,78,1,3,25.0
226,Rasmus Ristolainen\ristora01,27,PHI,D,66,2,14,16,-9,38,2.6,2,0,0,0,13,1,0,97,2.1,1415,21:26,125,230,0,0,
227,Juuso Riikola\riikoju01,28,PIT,D,5,0,1,1,2,2,0.3,0,0,0,0,1,0,0,7,0.0,67,13:23,2,13,0,0,
228,Morgan Rielly\riellmo01,27,TOR,D,82,10,58,68,16,40,9.4,8,2,0,3,34,21,3,221,4.5,1947,23:44,87,92,0,0,
229,Brad Richardson\richabr02,36,TOT,C,44,4,4,8,-1,35,0.4,4,0,0,1,4,0,0,31,12.9,453,10:18,20,59,139,100,58.2
230,Dan Renouf\renouda01,27,DET,D,4,0,0,0,-2,7,-0.1,0,0,0,0,0,0,0,3,0.0,56,14:00,2,4,0,0,
231,Sheldon Rempal\rempash01,26,VAN,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,9,9:11,0,0,0,0,
232,Sam Reinhart\reinhsa01,26,FLA,C,78,33,49,82,25,13,9.0,17,16,0,6,32,15,2,186,17.7,1385,17:46,30,49,174,185,48.5
233,Cole Reinhardt\reinhco01,21,OTT,LW,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,1,0.0,9,8:35,0,2,0,0,
234,Mike Reilly\reillmi01,28,BOS,D,70,4,13,17,-1,32,3.5,3,0,1,0,10,3,0,135,3.0,1326,18:57,54,94,0,0,
235,Lukas Reichel\reichlu01,19,CHI,LW,11,0,1,1,-8,0,-0.4,0,0,0,0,1,0,0,15,0.0,145,13:12,3,0,16,30,34.8
236,Kristian Reichel\reichkr01,23,WPG,F,13,1,1,2,-2,7,0.0,1,0,0,0,1,0,0,18,5.6,135,10:24,10,14,1,0,100.0
237,Alec Regula\regulal01,21,CHI,D,15,1,0,1,-1,12,0.5,1,0,0,0,0,0,0,18,5.6,268,17:53,21,21,0,0,
238,Scott Reedy\reedysc01,22,SJS,C,35,7,2,9,-8,10,0.8,4,3,0,2,2,0,0,33,21.2,392,11:11,26,14,53,79,40.2
239,Ryan Reaves\reavery01,35,NYR,RW,69,5,8,13,-13,43,0.1,5,0,0,0,8,0,0,44,11.4,735,10:39,16,279,5,5,50.0
240,Lucas Raymond\raymolu01,19,DET,LW,82,23,34,57,-32,16,4.2,18,5,0,2,21,13,0,184,12.5,1489,18:09,24,62,12,19,38.7
241,Kyle Rau\rauky01,29,MIN,C,5,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,3,0.0,44,8:49,0,6,1,1,50.0
242,Jack Rathbone\rathbja01,22,VAN,D,9,0,0,0,-5,2,-0.2,0,0,0,0,0,0,0,10,0.0,124,13:49,8,5,0,0,
243,Isaac Ratcliffe\ratclis01,22,PHI,LW,10,1,3,4,-1,10,0.3,1,0,0,0,1,2,0,14,7.1,107,10:45,8,16,0,1,0.0
244,Michael Rasmussen\rasmumi01,22,DET,C,80,15,12,27,-25,66,1.3,15,0,0,2,10,2,0,128,11.7,1161,14:31,65,142,410,409,50.1
245,Adam Raska\raskaad01,20,SJS,RW,5,0,0,0,1,7,0.0,0,0,0,0,0,0,0,2,0.0,40,8:03,0,15,0,0,
246,Victor Rask\raskvi01,28,TOT,C,47,9,12,21,4,2,2.0,9,0,0,1,11,1,0,58,15.5,573,12:12,5,15,89,87,50.6
247,Mikko Rantanen\rantami01,25,COL,RW,75,36,56,92,35,56,10.5,20,16,0,2,37,19,0,254,14.2,1573,20:58,43,58,164,190,46.3
248,Sampo Ranta\rantasa01,21,COL,LW,10,0,0,0,-4,2,-0.3,0,0,0,0,0,0,0,9,0.0,109,10:54,6,9,2,2,50.0
249,Rickard Rakell\rakelri01,28,TOT,RW,70,20,21,41,0,12,4.0,15,5,0,2,16,5,0,184,10.9,1259,17:59,44,99,36,43,45.6
250,Michael Raffl\rafflmi01,33,DAL,LW,76,7,9,16,-19,16,0.0,6,0,1,2,7,0,2,94,7.4,1105,14:32,34,141,14,12,53.8
251,Alexander Radulov\radulal01,35,DAL,RW,71,4,18,22,-20,30,0.4,3,1,0,2,11,7,0,92,4.3,1001,14:06,48,43,10,12,45.5
252,Taylor Raddysh\raddyta01,23,TOT,RW,74,11,11,22,1,10,1.7,7,3,1,1,10,1,0,104,10.6,913,12:20,21,103,6,10,37.5
253,Darren Raddysh\raddyda01,25,TBL,D,4,0,0,0,1,0,0.1,0,0,0,0,0,0,0,2,0.0,43,10:40,6,4,0,0,
254,Jack Quinn\quinnja01,20,BUF,RW,2,1,1,2,0,0,0.2,0,1,0,0,1,0,0,6,16.7,30,14:53,1,0,0,0,
255,Mark Pysyk\pysykma01,30,BUF,D,68,3,9,12,-4,16,2.6,3,0,0,0,9,0,0,64,4.7,1212,17:49,85,41,0,0,
256,Valtteri Puustinen\puustva01,22,PIT,RW,1,0,1,1,2,0,0.2,0,0,0,0,1,0,0,1,0.0,10,10:14,0,1,0,0,
257,Ryan Pulock\pulocry01,27,NYI,D,56,5,16,21,0,2,4.2,3,2,0,0,11,4,1,122,4.1,1184,21:08,130,86,0,0,
258,Jesse Puljujarvi\puljuje01,23,EDM,RW,65,14,22,36,22,20,3.7,10,4,0,1,19,3,0,160,8.8,1055,16:14,15,81,0,0,
259,Ethan Prow\prowet01,29,BUF,D,4,1,0,1,-1,0,0.2,1,0,0,0,0,0,0,2,50.0,51,12:44,3,2,0,0,
260,Ivan Provorov\provoiv01,25,PHI,D,79,9,22,31,-20,34,4.5,8,1,0,1,14,6,2,170,5.3,1966,24:53,172,74,0,0,
261,Aliaksei Protas\protaal01,21,WSH,C,33,3,6,9,4,0,0.7,3,0,0,0,5,1,0,34,8.8,391,11:50,12,20,56,69,44.8
262,Chase Priskie\priskch02,25,FLA,D,4,0,0,0,2,2,0.1,0,0,0,0,0,0,0,4,0.0,56,14:00,3,3,0,0,
263,Owen Power\powerow01,19,BUF,D,8,2,1,3,3,2,0.9,2,0,0,0,1,0,0,10,20.0,177,22:05,9,1,0,0,
264,Derrick Pouliot\poulide01,28,TOT,D,11,0,4,4,6,4,1.0,0,0,0,0,4,0,0,8,0.0,171,15:30,14,10,0,0,
265,Andrew Poturalski\poturan01,28,CAR,C,2,0,2,2,-1,0,0.1,0,0,0,0,0,2,0,4,0.0,20,10:09,1,0,3,4,42.9
266,Tucker Poolman\poolmtu01,28,VAN,D,40,1,2,3,2,12,1.2,1,0,0,0,2,0,0,47,2.1,680,17:00,73,33,0,0,
267,Brayden Point\pointbr01,25,TBL,C,66,28,30,58,-5,33,5.8,18,10,0,4,18,12,0,176,15.9,1284,19:28,27,75,366,351,51.0
268,Austin Poganski\poganau01,25,WPG,RW,16,0,0,0,-3,7,-0.4,0,0,0,0,0,0,0,9,0.0,149,9:19,5,23,0,0,
269,Ryan Poehling\poehlry01,23,MTL,C,57,9,8,17,-21,6,0.6,7,2,0,1,8,0,0,91,9.9,695,12:12,28,40,227,262,46.4
270,Vasily Podkolzin\podkova01,20,VAN,RW,79,14,12,26,7,26,2.5,12,2,0,3,11,1,0,115,12.2,1010,12:47,33,84,8,11,42.1
271,Tyler Pitlick\pitlity01,30,TOT,C,39,1,4,5,-11,6,-0.5,1,0,0,0,4,0,0,36,2.8,427,10:56,26,70,4,6,40.0
272,Rem Pitlick\pitlire01,24,TOT,C,66,15,22,37,-8,24,3.0,14,0,1,1,21,1,0,65,23.1,989,14:59,28,25,53,65,44.9
273,Neal Pionk\pionkne01,26,WPG,D,77,3,31,34,5,46,5.1,2,1,0,1,20,11,0,140,2.1,1628,21:08,91,185,0,0,
274,Shane Pinto\pintosh01,21,OTT,C,5,0,1,1,0,2,0.0,0,0,0,0,0,1,0,5,0.0,65,12:57,1,0,17,35,32.7
275,Garrett Pilon\pilonga01,23,WSH,C,2,1,0,1,1,0,0.2,1,0,0,0,0,0,0,1,100.0,19,9:25,0,2,8,10,44.4
276,Alex Pietrangelo\pietral01,32,VEG,D,80,13,31,44,7,42,7.6,9,3,1,0,18,10,3,227,5.7,1972,24:39,164,66,0,0,
277,Isaak Phillips\phillis01,20,CHI,D,4,0,0,0,-1,4,0.0,0,0,0,0,0,0,0,4,0.0,49,12:20,1,3,0,0,
278,Michael Pezzetta\pezzemi01,23,MTL,C,51,5,6,11,-7,81,0.7,5,0,0,0,6,0,0,49,10.2,400,7:50,8,156,6,5,54.5
279,Marcus Pettersson\pettema01,25,PIT,D,72,2,17,19,8,38,3.6,2,0,0,0,17,0,0,83,2.4,1127,15:39,74,122,0,0,
280,Elias Pettersson\petteel01,23,VAN,C,80,32,36,68,1,12,7.4,20,10,2,3,19,17,0,192,16.7,1488,18:36,43,49,238,302,44.1
281,Jeff Petry\petryje01,34,MTL,D,68,6,21,27,-11,36,3.6,6,0,0,1,17,3,1,124,4.8,1504,22:07,117,140,0,0,
282,Jacob Peterson\peterja01,22,DAL,C,65,12,5,17,-1,12,1.7,12,0,0,5,4,1,0,85,14.1,719,11:04,23,22,59,56,51.3
