Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
15,Josh Anderson\anderjo05,26,MTL,RW,52,17,7,24,-10,38,2.5,15,1,1,5,6,1,0,125,13.6,854,16:25,25,139,7,5,58.3
16,Michael Anderson\andermi02,21,LAK,D,54,1,10,11,0,30,2.9,1,0,0,1,8,0,2,52,1.9,1144,21:11,74,66,0,0,
17,Jaret Anderson-Dolan\anderja01,21,LAK,C,34,7,4,11,-9,6,0.9,6,1,0,2,4,0,0,37,18.9,459,13:31,20,52,132,170,43.7
18,Lias Andersson\anderli01,22,LAK,C,23,3,3,6,-4,12,0.4,3,0,0,0,3,0,0,23,13.0,278,12:04,9,8,20,32,38.5
19,Rasmus Andersson\anderra01,24,CGY,D,56,5,16,21,-9,34,3.2,4,1,0,0,11,5,0,96,5.2,1189,21:13,68,49,0,0,
20,Andy Andreoff\andrean01,29,PHI,LW,6,0,0,0,-6,9,-0.3,0,0,0,0,0,0,0,2,0.0,52,8:37,1,14,15,9,62.5
21,Anthony Angello\angelan01,24,PIT,C,19,2,2,4,4,8,0.5,1,1,0,0,2,0,0,19,10.5,152,7:59,2,51,0,0,
22,Artem Anisimov\anisiar01,32,OTT,C,19,2,7,9,1,2,0.8,1,1,0,0,7,0,0,30,6.7,228,12:02,9,9,36,52,40.9
23,Mason Appleton\applema01,25,WPG,C,56,12,13,25,11,14,2.9,12,0,0,1,12,0,1,88,13.6,807,14:25,22,61,7,6,53.8
24,Josh Archibald\archijo01,28,EDM,RW,52,7,6,13,2,37,1.0,7,0,0,0,6,0,0,62,11.3,704,13:33,35,192,4,4,50.0
25,Joel Armia\armiajo01,27,MTL,RW,41,7,7,14,10,10,1.6,5,1,1,0,6,0,1,73,9.6,603,14:42,13,86,6,16,27.3
26,Viktor Arvidsson\arvidvi01,27,NSH,LW,50,10,15,25,9,21,2.7,8,2,0,2,14,1,0,151,6.6,830,16:36,33,15,9,18,33.3
27,Rasmus Asplund\asplura01,23,BUF,F,28,7,4,11,1,0,1.4,7,0,0,2,4,0,0,34,20.6,360,12:51,3,15,6,11,35.3
28,Zach Aston-Reese\astonza01,26,PIT,C,45,9,6,15,10,15,1.6,8,0,1,0,6,0,0,79,11.4,658,14:37,24,95,7,11,38.9
29,Andreas Athanasiou\athanan01,26,LAK,C,47,10,13,23,-6,27,2.3,10,0,0,1,12,1,0,85,11.8,703,14:57,16,11,4,0,100.0
30,Cam Atkinson\atkinca01,31,CBJ,RW,56,15,19,34,-16,4,2.7,10,1,4,2,11,8,0,158,9.5,1060,18:56,30,22,7,23,23.3
31,Nicolas Aube-Kubel\aubekni01,24,PHI,RW,50,3,9,12,-3,44,0.4,3,0,0,0,9,0,0,53,5.7,559,11:10,16,120,2,2,50.0
32,David Backes\backeda01,36,ANA,C,15,3,1,4,-4,4,0.3,3,0,0,1,1,0,0,30,10.0,191,12:44,16,31,81,79,50.6
33,Mikael Backlund\backlmi01,31,CGY,C,54,9,23,32,-7,30,2.4,8,0,1,1,16,6,1,144,6.3,950,17:36,21,43,387,358,51.9
34,Nicklas Backstrom\backsni02,33,WSH,C,55,15,38,53,0,14,5.3,10,5,0,0,21,17,0,91,16.5,1023,18:36,27,25,353,378,48.3
35,Kevin Bahl\bahlke01,20,NJD,D,7,0,2,2,0,0,0.3,0,0,0,0,2,0,0,5,0.0,118,16:55,6,18,0,0,
36,Josh Bailey\bailejo01,31,NYI,C,54,8,27,35,12,4,3.6,8,0,0,1,18,9,0,77,10.4,945,17:30,19,13,14,18,43.8
37,Justin Bailey\baileju01,25,VAN,RW,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,6,0.0,20,6:48,0,2,0,0,
38,Rudolfs Balcers\balceru01,23,SJS,LW,41,8,9,17,-6,16,1.4,8,0,0,2,8,1,0,66,12.1,603,14:43,29,81,0,3,0.0
39,Alexander Barabanov\barabal01,26,TOT,F,22,3,5,8,1,6,0.7,2,1,0,1,5,0,0,23,13.0,271,12:19,14,7,0,0,
40,Ivan Barbashev\barbaiv01,25,STL,C,38,5,7,12,5,6,1.0,4,1,0,1,7,0,0,43,11.6,507,13:21,15,49,82,107,43.4
41,Aleksander Barkov\barkoal01,25,FLA,C,50,26,32,58,12,14,7.3,18,7,1,6,20,12,0,176,14.8,1047,20:56,37,31,563,463,54.9
42,Alex Barre-Boulet\barreal01,23,TBL,F,15,3,0,3,0,0,0.2,1,2,0,0,0,0,0,26,11.5,229,15:15,5,8,1,3,25.0
43,Tyson Barrie\barrity01,29,EDM,D,56,8,40,48,5,10,7.3,4,4,0,2,21,19,0,146,5.5,1198,21:24,59,26,0,0,
44,Morgan Barron\barromo01,22,NYR,C,5,1,0,1,-1,2,0.1,1,0,0,0,0,0,0,3,33.3,68,13:41,2,12,9,9,50.0
45,Matt Bartkowski\bartkma01,32,MIN,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,13,13:02,1,1,0,0,
46,Mathew Barzal\barzama01,23,NYI,C,55,17,28,45,15,48,5.6,16,1,0,1,21,7,0,134,12.7,1030,18:44,13,22,152,198,43.4
47,Nathan Bastian\bastina01,23,NJD,RW,41,3,7,10,0,21,0.4,3,0,0,0,7,0,0,46,6.5,517,12:37,25,136,12,21,36.4
48,Drake Batherson\bathedr01,22,OTT,C,56,17,17,34,-17,8,3.2,12,5,0,3,7,10,0,111,15.3,923,16:28,29,102,5,8,38.5
49,Gavin Bayreuther\bayrega01,26,CBJ,D,9,1,0,1,-1,7,0.3,1,0,0,0,0,0,0,16,6.3,138,15:23,4,12,0,0,
50,Jay Beagle\beaglja01,35,VAN,RW,30,1,4,5,-2,8,0.0,1,0,0,0,4,0,0,21,4.8,376,12:31,8,34,173,135,56.2
51,Jake Bean\beanja01,22,CAR,D,42,1,11,12,-2,10,1.8,0,1,0,0,7,4,0,55,1.8,611,14:32,21,17,0,0,
52,Ethan Bear\bearet01,23,EDM,D,43,2,6,8,-1,14,1.7,2,0,0,1,6,0,0,53,3.8,772,17:58,55,31,0,0,
53,Nicolas Beaudin\beaudni01,21,CHI,D,19,2,4,6,1,2,1.2,2,0,0,0,3,1,0,7,28.6,262,13:47,21,14,0,0,
54,Nathan Beaulieu\beaulna01,28,WPG,D,25,0,1,1,-5,20,0.1,0,0,0,0,1,0,0,26,0.0,418,16:44,30,39,0,0,
55,Anthony Beauvillier\beauvan01,23,NYI,LW,47,15,13,28,15,12,4.0,12,3,0,5,12,1,0,109,13.8,771,16:24,13,39,2,5,28.6
56,Pierre-Edouard Bellemare\bellepi01,35,COL,LW,53,9,2,11,6,21,1.2,9,0,0,0,2,0,0,60,15.0,600,11:20,36,26,260,168,60.7
57,Kieffer Bellows\belloki01,22,NYI,LW,14,3,0,3,0,4,0.4,3,0,0,1,0,0,0,19,15.8,154,11:01,5,36,2,2,50.0
58,Louis Belpedio\belpelo01,24,MIN,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,14,13:58,1,3,0,0,
59,Alex Belzile\belzial01,29,MTL,F,2,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,3,0.0,21,10:39,0,2,4,1,80.0
60,Emil Bemstrom\bemstem01,21,CBJ,C,20,3,2,5,2,0,0.5,2,1,0,0,2,0,0,28,10.7,257,12:51,8,15,0,0,
61,Jamie Benn\bennja01,31,DAL,LW,52,11,24,35,13,33,3.8,8,3,0,2,18,6,0,124,8.9,925,17:47,27,73,268,210,56.1
62,Jordie Benn\bennjo01,33,TOT,D,39,1,9,10,7,9,2.3,1,0,0,0,9,0,0,45,2.2,575,14:45,51,19,0,0,
63,Sam Bennett\bennesa01,24,TOT,C,48,10,17,27,-2,52,2.6,9,1,0,4,15,2,0,106,9.4,692,14:25,18,108,124,137,47.5
64,Matt Benning\bennima01,26,NSH,D,53,1,3,4,-1,30,1.3,1,0,0,0,2,0,1,43,2.3,865,16:20,53,55,0,0,
65,Simon Benoit\benoisi01,22,ANA,D,6,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,3,0.0,103,17:12,9,20,0,0,
66,Patrice Bergeron\bergepa01,35,BOS,C,54,23,25,48,27,16,6.9,13,7,3,3,18,6,1,182,12.6,984,18:13,36,49,714,433,62.2
67,Lean Bergmann\bergmle01,22,SJS,F,1,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,1,0.0,10,10:19,1,3,0,0,
68,Jacob Bernard-Docker\bernaja01,20,OTT,D,5,0,0,0,2,0,0.2,0,0,0,0,0,0,0,6,0.0,68,13:40,5,3,0,0,
69,Tyler Bertuzzi\bertuty01,25,DET,LW,9,5,2,7,0,4,1.0,2,3,0,1,1,1,0,20,25.0,177,19:37,3,13,1,1,50.0
70,Alex Biega\biegaal01,32,DET,D,13,0,3,3,-1,4,0.4,0,0,0,0,3,0,0,4,0.0,139,10:40,11,22,0,0,
71,Clark Bishop\bishocl01,24,OTT,C,13,0,3,3,2,4,0.2,0,0,0,0,3,0,0,16,0.0,123,9:28,8,23,36,35,50.7
72,Anthony Bitetto\bitetan01,30,NYR,D,14,1,3,4,-8,20,0.0,1,0,0,0,2,1,0,12,8.3,202,14:26,10,21,0,0,
73,Anders Bjork\bjorkan01,24,TOT,LW,45,5,6,11,-13,14,0.2,5,0,0,0,5,0,1,41,12.2,625,13:53,13,48,0,1,0.0
74,Oliver Bjorkstrand\bjorkol01,25,CBJ,RW,56,18,26,44,-15,23,4.2,16,2,0,0,22,4,0,143,12.6,986,17:37,30,42,3,4,42.9
75,Tobias Bjornfot\bjornto01,19,LAK,D,33,1,5,6,-3,14,1.3,1,0,0,0,5,0,0,30,3.3,556,16:51,34,28,0,0,
76,Nick Bjugstad\bjugsni01,28,MIN,C,44,6,11,17,7,17,1.7,6,0,0,3,10,1,0,78,7.7,520,11:49,22,48,125,145,46.3
77,Colin Blackwell\blackco01,27,NYR,C,47,12,10,22,2,15,2.4,9,3,0,2,8,2,0,64,18.8,658,14:00,19,45,30,32,48.4
78,Sammy Blais\blaissa01,24,STL,LW,36,8,7,15,0,12,1.6,8,0,0,2,7,0,0,31,25.8,434,12:04,10,103,3,1,75.0
79,Joachim Blichfeld\blichjo01,22,SJS,W,5,1,0,1,-2,12,0.1,1,0,0,0,0,0,0,3,33.3,43,8:41,2,2,0,0,
80,Anton Blidh\blidhan01,25,BOS,LW,10,1,0,1,-5,6,-0.2,1,0,0,0,0,0,0,10,10.0,108,10:46,4,25,0,2,0.0
81,Teddy Blueger\bluegte01,26,PIT,C,43,7,15,22,10,16,2.1,4,0,3,1,15,0,0,49,14.3,639,14:51,25,53,201,212,48.7
82,Brock Boeser\boesebr01,23,VAN,RW,56,23,26,49,-3,16,5.9,14,8,1,1,20,6,0,141,16.3,1082,19:19,20,32,8,14,36.4
83,Zach Bogosian\bogosza01,30,TOR,D,45,0,4,4,7,49,1.2,0,0,0,0,4,0,0,36,0.0,654,14:32,31,67,0,0,
84,Nick Bonino\boninni01,32,MIN,C,55,10,16,26,0,26,2.2,7,3,0,2,14,2,0,66,15.2,817,14:51,50,11,365,326,52.8
85,Adam Boqvist\boqviad01,20,CHI,D,35,2,14,16,-7,14,1.9,1,1,0,0,7,7,0,39,5.1,595,16:59,29,29,0,0,
86,Jesper Boqvist\boqvije01,22,NJD,C,28,4,3,7,-5,2,0.4,4,0,0,1,3,0,0,34,11.8,312,11:09,10,15,28,45,38.4
87,William Borgen\borgewi01,24,BUF,D,10,0,0,0,-4,4,-0.1,0,0,0,0,0,0,0,7,0.0,163,16:16,14,30,0,0,
88,Andreas Borgman\borgman01,25,TBL,D,7,0,2,2,-2,4,0.1,0,0,0,0,2,0,0,7,0.0,84,11:58,3,10,0,0,
89,Mark Borowiecki\borowma01,31,NSH,D,22,0,1,1,-2,38,0.2,0,0,0,0,1,0,0,18,0.0,301,13:41,37,54,0,0,
90,Robert Bortuzzo\borturo01,31,STL,D,40,1,4,5,-3,47,0.8,1,0,0,1,4,0,0,31,3.2,567,14:10,49,85,0,0,
91,Evan Bouchard\bouchev01,21,EDM,D,14,2,3,5,-2,2,0.8,1,1,0,0,3,0,0,38,5.3,208,14:50,11,11,0,0,
92,Madison Bowey\boweyma01,25,CHI,D,2,0,1,1,1,0,0.2,0,0,0,0,1,0,0,0,,22,11:09,1,4,0,0,
93,Travis Boyd\boydtr01,27,TOT,C,39,5,5,10,-5,2,0.6,4,1,0,0,5,0,0,23,21.7,418,10:44,15,18,75,85,46.9
94,Tyler Bozak\bozakty01,34,STL,C,31,5,12,17,-3,10,1.3,2,1,2,0,8,3,1,35,14.3,462,14:55,20,17,217,165,56.8
95,Erik Brannstrom\branner01,21,OTT,D,30,2,11,13,3,25,2.2,1,1,0,0,9,2,0,42,4.8,491,16:21,18,26,0,0,
96,Derick Brassard\brassde01,33,ARI,C,53,8,12,20,-10,12,1.4,4,4,0,1,10,2,0,67,11.9,784,14:48,5,80,229,206,52.6
97,Jesper Bratt\brattje01,22,NJD,W,46,7,23,30,4,8,2.7,5,2,0,1,16,6,1,101,6.9,740,16:05,18,31,3,6,33.3
98,Justin Braun\braunju01,33,PHI,D,53,1,5,6,0,18,1.4,1,0,0,0,5,0,0,59,1.7,982,18:32,73,78,0,0,
99,Guillaume Brisebois\brisegu01,23,VAN,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,12,11:31,3,0,0,0,
100,T.J. Brodie\broditj01,30,TOR,D,56,1,13,14,23,12,3.8,1,0,0,0,10,3,0,48,2.1,1207,21:33,84,34,0,0,
101,Jonas Brodin\brodijo01,27,MIN,D,53,9,14,23,2,18,4.2,8,1,0,2,13,1,0,79,11.4,1189,22:26,99,35,0,0,
102,Jonny Brodzinski\brodzjo01,27,NYR,C,5,1,0,1,0,4,0.1,1,0,0,0,0,0,0,7,14.3,57,11:20,2,4,0,1,0.0
103,Mathias Brome\bromema01,26,DET,F,26,1,1,2,-9,8,-0.6,1,0,0,1,1,0,0,22,4.5,355,13:39,7,19,1,2,33.3
104,Adam Brooks\brookad01,24,TOR,C,11,4,1,5,4,0,0.8,2,1,1,0,1,0,0,10,40.0,117,10:41,2,14,7,10,41.2
105,Connor Brown\brownco02,27,OTT,RW,56,21,14,35,1,12,4.3,15,1,5,1,11,3,0,123,17.1,1022,18:15,30,22,12,15,44.4
106,Dustin Brown\browndu01,36,LAK,RW,49,17,14,31,-3,18,3.7,8,9,0,1,12,2,0,129,13.2,863,17:37,10,85,2,2,50.0
107,Josh Brown\brownjo01,27,OTT,D,26,0,1,1,-1,30,0.3,0,0,0,0,1,0,0,8,0.0,368,14:08,40,71,0,0,
108,Logan Brown\brownlo01,22,OTT,C,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,10,9:40,0,0,0,4,0.0
109,Patrick Brown\brownpa02,28,VEG,C,4,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,5,0.0,36,9:06,2,7,16,7,69.6
110,Jacob Bryson\brysoja01,23,BUF,D,38,1,8,9,-1,12,2.1,1,0,0,0,5,1,2,24,4.2,724,19:03,43,32,0,0,
111,Pavel Buchnevich\buchnpa01,25,NYR,LW,54,20,28,48,12,42,5.7,16,1,3,2,20,7,1,120,16.7,1012,18:44,29,49,4,14,22.2
112,Connor Bunnaman\bunnaco01,22,PHI,F,18,0,1,1,-6,2,-0.5,0,0,0,0,1,0,0,15,0.0,208,11:34,6,31,56,48,53.8
113,Michael Bunting\buntimi01,25,ARI,LW,21,10,3,13,-1,12,1.8,7,3,0,1,3,0,0,38,26.3,351,16:42,1,28,7,5,58.3
114,Andre Burakovsky\burakan01,25,COL,LW,53,19,25,44,4,10,5.1,15,4,0,3,15,10,0,102,18.6,800,15:06,16,22,2,2,50.0
115,Brent Burns\burnsbr01,35,SJS,D,56,7,22,29,-12,36,4.2,5,2,0,1,17,4,1,138,5.1,1463,26:08,94,31,0,0,
116,Kyle Burroughs\burroky01,25,COL,D,5,0,1,1,1,5,0.2,0,0,0,0,1,0,0,3,0.0,50,10:05,2,10,0,0,
117,Will Butcher\butchwi01,26,NJD,D,23,1,10,11,-3,2,1.3,1,0,0,0,8,2,0,37,2.7,438,19:02,28,7,0,0,
118,Quinton Byfield\byfiequ01,18,LAK,C,6,0,1,1,1,2,0.0,0,0,0,0,1,0,0,9,0.0,90,15:01,3,3,26,40,39.4
119,Bowen Byram\byrambo01,19,COL,D,19,0,2,2,1,23,0.5,0,0,0,0,2,0,0,21,0.0,333,17:31,13,33,0,0,
120,Paul Byron\byronpa01,31,MTL,LW,46,5,11,16,5,12,1.4,4,0,1,1,11,0,0,44,11.4,591,12:51,22,116,11,15,42.3
121,Nicholas Caamano\caamani01,22,DAL,RW,24,0,1,1,-7,17,-0.5,0,0,0,0,1,0,0,33,0.0,224,9:21,8,41,1,0,100.0
122,Drake Caggiula\caggidr01,26,TOT,LW,38,3,7,10,-6,19,0.4,3,0,0,0,7,0,0,46,6.5,471,12:24,9,64,5,8,38.5
123,Matt Calvert\calvema01,31,COL,LW,18,0,3,3,-2,6,-0.2,0,0,0,0,3,0,0,26,0.0,249,13:49,8,12,0,1,0.0
124,Kyle Capobianco\capobky01,23,ARI,D,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,29,14:28,2,1,0,0,
125,Brandon Carlo\carlobr01,24,BOS,D,27,3,1,4,1,12,1.4,3,0,0,1,1,0,0,43,7.0,505,18:43,35,38,0,0,
126,John Carlson\carlsjo01,31,WSH,D,52,10,34,44,-5,12,5.9,7,3,0,1,22,12,0,128,7.8,1237,23:47,69,52,0,0,
127,Gabriel Carlsson\carlsga01,24,CBJ,D,14,1,3,4,-6,4,0.3,1,0,0,0,2,1,0,14,7.1,207,14:47,12,11,0,0,
128,Lucas Carlsson\carlslu01,23,CHI,D,12,0,1,1,1,2,0.3,0,0,0,0,1,0,0,10,0.0,157,13:04,3,6,0,0,
129,Ryan Carpenter\carpery01,30,CHI,C,40,4,1,5,-10,19,-0.3,2,1,1,0,1,0,0,51,7.8,508,12:41,17,78,61,65,48.4
130,Daniel Carr\carrda01,29,WSH,LW,6,0,1,1,-2,2,-0.1,0,0,0,0,1,0,0,5,0.0,61,10:14,4,10,0,0,
131,Connor Carrick\carrico01,26,NJD,D,11,1,1,2,-2,5,0.3,1,0,0,0,1,0,0,8,12.5,205,18:40,24,11,0,0,
132,Sam Carrick\carrisa01,28,ANA,C,13,2,4,6,4,28,0.8,2,0,0,0,3,1,0,23,8.7,168,12:55,3,29,33,30,52.4
133,Alexandre Carrier\carrial01,24,NSH,D,19,1,2,3,3,8,1.0,1,0,0,0,2,0,0,31,3.2,381,20:03,31,22,0,0,
134,William Carrier\carriwi01,26,VEG,LW,52,6,9,15,0,16,1.2,6,0,0,0,9,0,0,65,9.2,541,10:25,13,131,3,5,37.5
135,Jeff Carter\carteje01,36,TOT,C,54,17,13,30,3,22,3.6,15,2,0,1,10,3,0,154,11.0,895,16:34,30,41,153,161,48.7
136,Jackson Cates\catesja01,23,PHI,C,4,0,1,1,-3,0,-0.1,0,0,0,0,1,0,0,7,0.0,42,10:36,0,0,13,11,54.2
137,Cole Caufield\caufico01,20,MTL,RW,10,4,1,5,-1,2,0.7,4,0,0,2,1,0,0,30,13.3,140,13:58,0,3,0,0,
138,Cody Ceci\cecico01,27,PIT,D,53,4,13,17,18,10,3.8,4,0,0,1,13,0,0,58,6.9,981,18:31,70,74,0,0,
139,Erik Cernak\cernaer01,23,TBL,D,46,5,13,18,8,38,3.9,5,0,0,0,13,0,0,85,5.9,910,19:47,46,98,0,0,
140,Thomas Chabot\chaboth01,24,OTT,D,49,6,25,31,-15,36,3.8,5,1,0,1,19,6,0,120,5.0,1288,26:17,72,68,0,0,
141,Michael Chaput\chapumi01,28,ARI,C,13,0,0,0,-7,10,-0.5,0,0,0,0,0,0,0,3,0.0,122,9:24,8,19,35,34,50.7
142,Zdeno Chara\charazd01,43,WSH,D,55,2,8,10,5,44,2.2,2,0,0,0,8,0,0,67,3.0,1008,18:19,67,88,0,0,
143,Jalen Chatfield\chatfja01,24,VAN,D,18,0,1,1,-11,12,-0.5,0,0,0,0,1,0,0,14,0.0,242,13:26,10,11,0,0,
144,Ivan Chekhovich\chekhiv01,22,SJS,LW,4,0,1,1,-3,0,-0.1,0,0,0,0,1,0,0,5,0.0,42,10:29,2,0,0,0,
145,Ben Chiarot\chiarbe01,29,MTL,D,41,1,6,7,-16,50,0.3,0,1,0,0,6,0,0,81,1.2,893,21:47,60,77,0,0,
146,Alex Chiasson\chiasal01,30,EDM,RW,45,9,7,16,-10,33,1.2,4,5,0,1,5,2,0,65,13.8,562,12:29,7,40,2,3,40.0
147,Filip Chlapik\chlapfi01,23,OTT,C,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,7,7:11,0,1,0,0,
148,Sasha Chmelevski\chmelal01,21,SJS,C,5,0,2,2,-2,2,0.1,0,0,0,0,2,0,0,8,0.0,49,9:45,1,7,4,8,33.3
149,Dennis Cholowski\cholode01,22,DET,D,16,1,2,3,-1,4,0.7,1,0,0,0,2,0,0,10,10.0,254,15:54,18,5,0,0,
150,Jakob Chychrun\chychja01,22,ARI,D,56,18,23,41,-6,42,7.4,13,5,0,3,14,9,0,176,10.2,1310,23:23,89,59,0,0,
151,Filip Chytil\chytifi01,21,NYR,C,42,8,14,22,9,10,2.5,8,0,0,0,14,0,0,76,10.5,555,13:14,19,15,130,174,42.8
152,Anthony Cirelli\cirelan01,23,TBL,C,50,9,13,22,0,10,1.8,6,1,2,3,10,3,0,75,12.0,887,17:45,32,64,227,235,49.1
153,Casey Cizikas\cizikca01,29,NYI,C,56,7,7,14,-2,27,1.0,7,0,0,3,7,0,0,72,9.7,775,13:50,25,112,340,299,53.2
154,Fredrik Claesson\claesfr01,28,TOT,D,6,0,0,0,0,12,0.1,0,0,0,0,0,0,0,4,0.0,74,12:23,7,10,0,0,
155,Kale Clague\claguka01,22,LAK,D,18,0,6,6,-6,4,0.6,0,0,0,0,6,0,0,24,0.0,310,17:12,13,9,0,0,
156,Kyle Clifford\cliffky01,30,STL,LW,50,4,3,7,-5,30,0.0,4,0,0,0,2,0,1,65,6.2,497,9:56,17,69,6,6,50.0
157,Connor Clifton\cliftco01,25,BOS,D,44,1,6,7,10,38,2.6,1,0,0,0,5,0,1,48,2.1,802,18:13,52,108,0,0,
158,Cal Clutterbuck\cluttca01,33,NYI,RW,50,4,7,11,-5,10,0.4,3,0,1,1,7,0,0,50,8.0,672,13:26,23,191,0,1,0.0
159,Braydon Coburn\coburbr01,35,TOT,D,19,0,2,2,-3,14,0.2,0,0,0,0,1,0,1,18,0.0,305,16:03,20,27,0,0,
160,Dylan Coghlan\coghldy01,22,VEG,D,29,3,3,6,-3,2,1.0,3,0,0,0,3,0,0,31,9.7,391,13:29,16,29,0,1,0.0
161,Andrew Cogliano\coglian01,33,DAL,LW,54,5,6,11,-8,24,0.1,4,0,1,0,6,0,0,88,5.7,752,13:56,24,79,4,11,26.7
162,Ian Cole\coleia01,31,TOT,D,54,1,7,8,21,32,3.1,1,0,0,1,7,0,0,30,3.3,857,15:53,94,38,0,0,
163,Blake Coleman\colembl01,29,TBL,C,55,14,17,31,15,37,3.9,12,1,1,3,17,0,0,122,11.5,851,15:28,20,109,2,7,22.2
164,Ross Colton\coltoro01,24,TBL,C,30,9,3,12,3,16,1.8,9,0,0,4,3,0,0,46,19.6,317,10:34,6,36,101,107,48.6
165,Blake Comeau\comeabl01,34,DAL,RW,51,4,10,14,-13,37,0.1,4,0,0,0,8,0,2,76,5.3,803,15:44,18,106,53,57,48.2
166,J.T. Compher\comphj.01,25,COL,LW,48,10,8,18,10,19,2.0,9,1,0,2,7,1,0,47,21.3,682,14:13,38,32,216,255,45.9
167,Max Comtois\comtoma01,22,ANA,LW,55,16,17,33,3,40,4.0,15,1,0,3,14,3,0,94,17.0,851,15:28,34,93,12,22,35.3
168,Kevin Connauton\connake01,30,FLA,D,7,0,1,1,4,7,0.5,0,0,0,0,1,0,0,5,0.0,100,14:13,3,12,0,0,
169,Brett Connolly\connobr01,28,TOT,RW,31,3,3,6,3,4,0.4,3,0,0,0,2,1,0,26,11.5,376,12:09,8,44,4,9,30.8
170,Kyle Connor\connoky01,24,WPG,LW,56,26,24,50,-4,12,5.9,16,10,0,5,21,3,0,166,15.7,1049,18:44,18,18,6,4,60.0
171,Andrew Copp\coppan01,26,WPG,C,55,15,24,39,2,20,4.0,9,6,0,1,17,6,1,115,13.0,1004,18:15,41,67,123,109,53.0
172,Nick Cousins\cousini01,27,NSH,C,52,5,13,18,4,41,1.5,5,0,0,1,9,4,0,60,8.3,695,13:22,16,48,19,17,52.8
173,Logan Couture\coutulo01,31,SJS,C,53,17,14,31,-10,25,3.0,14,2,1,2,10,4,0,114,14.9,1021,19:16,39,58,444,456,49.3
174,Sean Couturier\coutuse01,28,PHI,C,45,18,23,41,-4,8,4.3,15,3,0,4,16,7,0,120,15.0,870,19:20,22,34,427,323,56.9
175,Charlie Coyle\coylech01,28,BOS,C,51,6,10,16,-4,20,0.9,5,0,1,2,8,2,0,79,7.6,831,16:17,24,57,245,262,48.3
176,Dylan Cozens\cozendy01,19,BUF,C,41,4,9,13,-15,16,0.4,3,1,0,0,9,0,0,62,6.5,589,14:21,11,30,96,106,47.5
