Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,Boston Bruins*,29.1,70,44,14,12,100,0.714,227,167,0,7,0.74,-0.02,3.24,2.39,57,226,25.22,34,215,84.19,5,7,9.7,10.5,2247,10.1,2103,0.921,8,47:19,50.8,"1,649",23.22,891,12.55,672,9.46,526,7.41,13,821
2,St. Louis Blues*,28.4,71,42,19,10,94,0.662,223,190,2,3,0.47,0.02,3.14,2.68,49,202,24.26,42,203,79.31,5,6,7.2,7.4,2179,10.2,2100,0.91,5,48:21,50.8,"1,471",20.42,844,11.72,518,7.19,545,7.57,14,716
3,Tampa Bay Lightning*,27.7,70,43,21,6,92,0.657,243,194,2,1,0.71,0,3.47,2.77,49,211,23.22,43,231,81.39,6,7,10.3,9.9,2176,11.2,2165,0.91,4,47:36,52.2,"1,676",23.7,897,12.68,487,6.88,514,7.26,12,856
4,Colorado Avalanche*,26.8,70,42,20,8,92,0.657,236,190,1,1,0.64,-0.02,3.37,2.71,46,241,19.09,39,210,81.43,8,6,8.5,10,2257,10.5,2193,0.913,4,47:56,51.6,"1,296",18.34,"1,030",14.58,524,7.41,564,7.98,13,806
5,Washington Capitals*,29,69,41,20,8,90,0.652,236,212,4,3,0.41,0.04,3.42,3.07,42,216,19.44,42,241,82.57,6,9,10.1,9.5,2206,10.7,2084,0.898,1,46:49,51.6,"1,716",24.52,951,13.59,719,10.27,522,7.46,16,882
6,Philadelphia Flyers*,27.2,69,41,21,7,89,0.645,227,191,5,5,0.52,0,3.29,2.77,47,226,20.8,38,209,81.82,8,6,7.6,9,2166,10.5,1977,0.903,3,47:23,50.9,"1,501",21.41,843,12.02,626,8.93,448,6.39,8,751
7,Vegas Golden Knights*,29.2,71,39,24,8,86,0.606,224,209,3,2,0.21,-0.02,3.15,2.94,42,191,21.99,50,214,76.64,9,3,8,7.3,2450,9.1,2082,0.9,6,49:28,54.8,"1,906",26.51,955,13.28,589,8.19,682,9.48,8,929
8,Pittsburgh Penguins*,27.7,69,40,23,6,86,0.623,221,196,3,0,0.39,-0.02,3.2,2.84,42,211,19.91,34,190,82.11,6,5,7.5,8.2,2204,10,2051,0.904,4,49:05,51,"1,884",26.95,892,12.76,602,8.61,520,7.44,12,740
9,Edmonton Oilers*,28,71,37,25,9,83,0.585,223,215,2,2,0.09,-0.02,3.14,3.03,59,200,29.5,31,199,84.42,3,10,8.1,7.6,2100,10.6,2274,0.905,2,48:57,47.9,"1,589",22.17,"1,064",14.84,797,11.12,584,8.15,12,759
10,Dallas Stars*,29.4,69,37,24,8,82,0.594,178,174,2,3,0.09,0.05,2.58,2.52,42,199,21.11,44,217,79.72,5,4,8.2,7.4,2113,8.4,2177,0.92,2,47:33,49.5,"1,538",22.01,"1,031",14.76,775,11.09,533,7.63,9,767
11,Columbus Blue Jackets*,26.2,70,33,22,15,81,0.579,180,183,0,4,-0.12,-0.02,2.57,2.61,31,189,16.4,31,169,81.66,3,5,6.5,6.6,2272,7.9,2092,0.913,7,49:54,49.2,"1,436",20.21,"1,060",14.92,564,7.94,437,6.15,10,696
12,Toronto Maple Leafs*,26.8,70,36,25,9,81,0.579,237,222,1,5,0.15,-0.01,3.39,3.17,45,195,23.08,43,193,77.72,5,7,6.7,6.7,2302,10.3,2233,0.901,4,49:39,52,"1,188",16.72,903,12.71,776,10.92,554,7.8,15,922
13,Carolina Hurricanes*,26.7,68,38,25,5,81,0.596,217,193,5,0,0.41,-0.02,3.19,2.84,46,206,22.33,39,243,83.95,10,4,8.6,8.4,2261,9.6,1994,0.903,6,47:16,54.3,"1,188",17.26,783,11.38,690,10.03,620,9.01,14,871
14,Winnipeg Jets*,26.5,71,37,28,6,80,0.563,213,201,3,2,0.17,-0.01,3,2.83,42,205,20.49,39,174,77.59,6,3,7.4,8.6,2222,9.6,2315,0.913,6,49:16,48.5,"1,550",21.62,874,12.19,693,9.67,484,6.75,16,830
15,New York Islanders*,28.8,68,35,23,10,80,0.588,189,190,3,3,0.01,0.02,2.78,2.79,29,168,17.26,34,176,80.68,6,5,8.5,7.8,2016,9.4,2123,0.911,3,49:45,46.5,"1,915",27.71,"1,153",16.69,896,12.96,485,7.02,9,696
16,Calgary Flames*,27.7,70,36,27,7,79,0.564,204,214,6,1,-0.08,-0.01,2.91,3.06,41,193,21.24,35,196,82.14,6,9,8.8,8.5,2212,9.2,2271,0.906,4,48:48,50.3,"1,279",17.97,936,13.15,767,10.78,606,8.52,9,884
17,New York Rangers*,26.2,70,37,28,5,79,0.564,233,220,1,2,0.15,-0.03,3.33,3.14,52,227,22.91,52,230,77.39,8,6,11.2,10.2,2175,10.7,2381,0.908,3,47:09,46.7,"1,527",21.68,"1,050",14.91,827,11.74,567,8.05,12,785
18,Vancouver Canucks*,27.5,69,36,27,6,78,0.565,224,214,4,3,0.13,-0.03,3.25,3.1,57,236,24.15,42,215,80.47,5,4,9.3,9.5,2153,10.4,2297,0.907,2,47:27,48.4,"1,360",19.48,"1,088",15.58,526,7.53,475,6.8,13,832
19,Florida Panthers*,28.2,69,35,26,8,78,0.565,228,224,3,4,0.05,0.01,3.3,3.25,45,211,21.33,40,186,78.49,4,5,7.2,8.6,2253,10.1,2227,0.899,2,48:41,49.8,"1,247",17.87,978,14.02,775,11.11,614,8.8,12,751
20,Nashville Predators*,29.1,69,35,26,8,78,0.565,212,214,3,3,-0.03,-0.01,3.07,3.1,39,226,17.26,51,213,76.06,6,8,9,9.5,2287,9.3,2157,0.901,7,48:13,50.9,"1,157",16.54,"1,020",14.58,598,8.55,517,7.39,7,899
21,Minnesota Wild*,29.4,69,35,27,7,77,0.558,218,217,2,3,0.01,0.01,3.16,3.14,46,216,21.3,47,206,77.18,3,6,8.1,8.5,2077,10.5,2115,0.897,6,47:58,49.6,"1,121",16.09,968,13.89,414,5.94,442,6.34,9,784
22,Arizona Coyotes*,28.2,70,33,29,8,74,0.529,190,183,5,4,0.11,0,2.71,2.61,41,214,19.16,34,197,82.74,5,5,6.5,7.4,2220,8.6,2270,0.919,4,47:56,48.4,"1,378",19.41,958,13.49,584,8.22,466,6.56,16,775
23,Chicago Blackhawks*,28.1,70,32,30,8,72,0.514,208,214,4,4,-0.05,0.04,2.97,3.06,33,217,15.21,37,207,82.13,6,8,7.8,8.2,2227,9.3,2458,0.913,1,48:52,48.5,"1,537",21.67,"1,015",14.31,672,9.47,574,8.09,10,726
24,Montreal Canadiens*,28.4,71,31,31,9,71,0.5,208,220,4,1,-0.12,0.01,2.93,3.1,33,186,17.74,45,211,78.67,6,5,7.7,6.7,2422,8.6,2208,0.9,4,48:59,54.4,"1,882",26.2,925,12.88,807,11.23,490,6.82,7,881
25,New Jersey Devils,26.9,69,28,29,12,68,0.493,185,224,4,6,-0.57,0.02,2.68,3.25,42,234,17.95,39,221,82.35,9,10,9.7,9.2,2117,8.7,2256,0.901,4,47:47,46.1,"1,381",19.71,"1,033",14.74,634,9.05,487,6.95,8,775
26,Buffalo Sabres,26.5,69,30,31,8,68,0.493,193,215,2,2,-0.34,-0.03,2.8,3.12,37,196,18.88,47,185,74.59,5,11,6.9,6.9,2021,9.5,2148,0.9,3,48:54,49.1,"1,317",18.88,759,10.88,510,7.31,362,5.19,8,764
27,Anaheim Ducks,27.8,71,29,33,9,67,0.472,182,225,5,1,-0.53,0.02,2.56,3.17,27,184,14.67,49,213,77,10,5,10.2,8.5,2106,8.6,2282,0.901,1,48:52,48.3,"1,596",22.16,943,13.09,704,9.77,448,6.22,6,903
