Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,Buffalo Sabres*,27.2,82,53,22,7,113,0.689,298,238,10,4,0.64,-0.16,3.63,2.9,71,407,17.44,72,386,81.35,8,13,14.6,15.2,2417,12.3,2541,0.906,2,"1,272",15.24,"1,248",14.95,988,11.83,506,6.06,9,947
2,Detroit Red Wings*,32.3,82,50,19,13,113,0.689,252,191,2,8,0.72,0.05,3.07,2.33,68,401,16.96,63,408,84.56,12,11,12,12.4,2771,9.1,2020,0.905,8,"1,272",15.29,836,10.05,985,11.84,652,7.84,9,"1,114"
3,Nashville Predators*,27.4,82,51,23,8,110,0.671,266,207,6,5,0.78,0.05,3.24,2.52,71,408,17.4,55,390,85.9,8,2,14.4,15.7,2261,11.8,2561,0.919,11,"1,241",14.93,"1,010",12.15,641,7.71,597,7.18,7,909
4,Anaheim Ducks*,28.5,82,48,20,14,110,0.671,254,198,4,10,0.67,0.06,3.1,2.41,89,398,22.36,61,410,85.12,4,4,17.8,17.8,2582,9.8,2248,0.912,5,"1,533",18.36,728,8.72,730,8.74,570,6.83,7,963
5,New Jersey Devils*,29.4,82,49,24,9,107,0.652,206,193,10,8,0.03,-0.15,2.51,2.35,65,367,17.71,40,271,85.24,4,11,10.1,12.3,2354,8.8,2332,0.917,12,"1,348",16.1,"1,127",13.46,819,9.78,637,7.6,4,"1,018"
6,San Jose Sharks*,26.4,82,51,26,5,107,0.652,256,197,2,2,0.77,0.05,3.12,2.4,92,410,22.44,55,330,83.33,7,4,11.6,14.2,2346,10.9,2148,0.908,11,"1,463",17.74,"1,054",12.78,818,9.92,477,5.79,7,977
7,Dallas Stars*,30,82,50,25,7,107,0.652,217,195,9,4,0.44,0.08,2.65,2.38,79,427,18.5,59,377,84.35,3,6,13.8,14.9,2295,9.5,2114,0.908,9,"1,670",20.01,"1,039",12.45,814,9.75,684,8.19,6,"1,036"
8,Vancouver Canucks*,28,82,49,26,7,105,0.64,217,197,5,4,0.39,0.13,2.65,2.4,70,407,17.2,57,436,86.93,5,8,14.7,14.2,2405,9,2398,0.918,5,"1,205",14.44,870,10.43,563,6.75,483,5.79,8,"1,036"
9,Ottawa Senators*,26.6,82,48,25,9,105,0.64,286,216,2,6,0.64,-0.16,3.49,2.63,72,403,17.87,61,394,84.52,17,12,14.2,14.6,2651,10.8,2479,0.913,6,"1,843",22.23,"1,242",14.98,809,9.76,680,8.2,12,936
10,Pittsburgh Penguins*,26,82,47,24,11,105,0.64,267,240,10,6,0.21,-0.17,3.26,2.93,94,463,20.3,75,419,82.1,14,13,15.2,16.9,2366,11.3,2529,0.905,6,"1,379",16.44,"1,238",14.76,600,7.15,434,5.17,5,918
11,Minnesota Wild*,28.2,82,48,26,8,104,0.634,225,184,10,7,0.65,0.11,2.74,2.24,72,380,18.95,48,342,85.96,9,8,10.5,11.6,2431,9.3,2361,0.922,8,"1,004",11.98,"1,006",12.01,673,8.03,551,6.58,6,965
12,Atlanta Thrashers*,29.4,82,43,28,11,97,0.591,239,241,7,4,-0.15,-0.16,2.91,2.94,67,407,16.46,79,391,79.8,9,10,13.4,14,2438,9.8,2582,0.907,4,"1,501",17.96,"1,293",15.47,888,10.62,822,9.83,7,907
13,Calgary Flames*,28.4,82,43,29,10,96,0.585,255,221,3,5,0.51,0.12,3.11,2.7,73,401,18.2,81,414,80.43,15,5,14.7,14.3,2242,11.4,2502,0.912,7,"1,490",17.96,"1,029",12.41,914,11.02,670,8.07,11,868
14,Colorado Avalanche,28.4,82,44,31,7,95,0.579,267,247,5,4,0.39,0.13,3.26,3.01,79,374,21.12,70,353,80.17,7,9,10.8,11.6,2603,10.3,2378,0.896,3,964,11.62,"1,251",15.08,648,7.81,682,8.22,5,784
15,New York Rangers*,28.6,82,42,30,10,94,0.573,233,211,9,5,0.16,-0.16,2.84,2.57,75,406,18.47,65,400,83.75,11,6,13.5,14.3,2586,9,2329,0.909,5,"1,782",21.32,"1,386",16.58,788,9.43,622,7.44,6,"1,024"
16,Tampa Bay Lightning*,28.2,82,44,33,5,93,0.567,243,259,10,2,-0.25,-0.15,2.96,3.16,69,374,18.45,66,305,78.36,14,11,10.9,12.9,2418,10,2234,0.884,2,"1,275",15.31,"1,006",12.08,778,9.34,729,8.76,6,976
17,New York Islanders*,29.7,82,40,30,12,92,0.561,240,235,8,5,-0.04,-0.14,2.93,2.87,63,348,18.1,79,433,81.76,7,9,12.9,11.1,2457,9.8,2671,0.912,5,"1,808",21.66,"1,307",15.66,774,9.27,763,9.14,8,964
18,Toronto Maple Leafs,27.8,82,40,31,11,91,0.555,254,262,4,7,-0.21,-0.08,3.1,3.2,71,401,17.71,90,418,78.47,3,11,13.9,13.2,2681,9.5,2330,0.888,2,"1,863",22.37,"1,035",12.43,922,11.07,537,6.45,5,"1,127"
19,Montreal Canadiens,28,82,42,34,6,90,0.549,239,251,6,5,-0.21,-0.08,2.91,3.06,86,378,22.75,69,419,83.53,17,6,13.8,13.1,2426,9.9,2685,0.907,4,"1,771",21.3,"1,253",15.07,844,10.15,762,9.17,10,976
20,Carolina Hurricanes,28.2,82,40,34,8,88,0.537,241,248,0,5,-0.29,-0.15,2.94,3.02,67,447,14.99,61,395,84.56,12,8,12.5,14.1,2559,9.4,2336,0.894,2,"1,949",23.57,"1,078",13.04,734,8.87,544,6.58,12,"1,073"
21,Florida Panthers,29.1,82,35,31,16,86,0.524,245,249,2,8,-0.27,-0.15,2.99,3.04,61,337,18.1,78,443,82.39,5,6,14.4,11.4,2730,9,2402,0.896,2,"1,776",21.34,"1,021",12.27,754,9.06,559,6.72,8,"1,104"
22,St. Louis Blues,28.9,82,34,35,13,81,0.494,208,248,6,6,-0.33,0.15,2.54,3.02,46,381,12.07,83,414,79.95,7,10,14.9,13.4,2202,9.4,2369,0.895,6,"1,356",16.27,"1,211",14.53,818,9.81,470,5.64,8,"1,002"
23,Boston Bruins,27.8,82,35,41,6,76,0.463,210,285,9,4,-0.87,-0.01,2.56,3.48,71,412,17.23,81,442,81.67,8,18,15.3,14.5,2370,8.9,2748,0.896,3,"1,379",16.55,"1,035",12.42,633,7.6,487,5.85,6,840
24,Columbus Blue Jackets,27.8,82,33,42,7,73,0.445,196,244,5,5,-0.42,0.16,2.39,2.98,65,438,14.84,85,453,81.24,6,10,16.5,16,2273,8.6,2345,0.896,4,"1,405",16.92,995,11.98,442,5.32,498,5.99,2,826
25,Edmonton Oilers,28.2,82,32,43,7,71,0.433,192,245,3,3,-0.43,0.22,2.34,2.99,53,373,14.21,59,382,84.55,6,4,15.7,14.6,2193,8.8,2439,0.9,4,"1,297",15.69,"1,283",15.52,"1,278",15.47,766,9.27,1,986
