Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Washington Capitals*,27.2,82,54,15,13,121,.738,313,227,5,6,0.90,-0.14,3.82,2.77,79,313,25.24,67,316,78.80,4,8,11.6,11.2,2693,11.6,2535,.910,3
2,San Jose Sharks*,29.3,82,51,20,11,113,.689,257,209,7,6,0.65,0.05,3.13,2.55,65,309,21.04,49,324,84.88,8,9,14.1,13.1,2602,9.9,2571,.919,3
3,Chicago Blackhawks*,26.6,82,52,22,8,112,.683,262,203,9,6,0.77,0.02,3.20,2.48,52,294,17.69,40,266,84.96,13,4,11.3,11.7,2798,9.4,2058,.901,11
4,Phoenix Coyotes*,28.2,82,50,25,7,107,.652,211,196,14,6,0.34,0.06,2.57,2.39,46,314,14.65,49,317,84.54,3,6,11.3,10.8,2502,8.4,2427,.919,8
5,Vancouver Canucks*,28.1,82,49,28,5,103,.628,268,218,4,4,0.60,-0.01,3.27,2.66,68,323,21.05,59,320,81.56,8,6,15.5,15.1,2534,10.6,2419,.910,5
6,New Jersey Devils*,30.5,82,48,27,7,103,.628,216,186,6,5,0.31,-0.07,2.63,2.27,51,272,18.75,41,240,82.92,7,5,10.5,11.4,2459,8.8,2213,.916,9
7,Detroit Red Wings*,30.3,82,44,24,14,102,.622,223,207,6,9,0.23,0.07,2.72,2.52,59,307,19.22,43,267,83.90,8,1,8.8,9.9,2737,8.1,2413,.914,4
8,Los Angeles Kings*,26.2,82,46,27,9,101,.616,231,211,10,8,0.32,0.05,2.82,2.57,64,307,20.85,60,304,80.26,4,6,11.9,12.5,2389,9.7,2260,.907,5
9,Pittsburgh Penguins*,27.8,82,47,28,7,101,.616,249,235,8,2,0.17,-0.07,3.04,2.87,56,326,17.18,52,327,84.10,7,8,14.6,14.7,2688,9.3,2350,.900,1
10,Buffalo Sabres*,27.8,82,45,27,10,100,.610,231,201,4,6,0.26,-0.08,2.82,2.45,55,313,17.57,38,284,86.62,4,3,11.2,11.7,2588,8.9,2573,.922,5
11,Nashville Predators*,27.6,82,47,29,6,100,.610,217,221,8,4,0.06,0.06,2.65,2.70,47,286,16.43,59,258,77.13,5,5,8.7,9.9,2508,8.7,2396,.908,8
