Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,New York Rangers*,29.4,82,53,22,7,113,0.689,248,187,4,5,0.69,-0.04,3.02,2.28,39,232,16.81,37,235,84.26,9,6,8.7,8.2,2582,9.6,2418,0.923,11,48:45,49.5,"1,913",23.03,"1,159",13.95,736,8.86,667,8.03,12,896
2,Montreal Canadiens*,28.4,82,50,22,10,110,0.671,214,184,7,5,0.36,-0.03,2.61,2.24,40,242,16.53,42,257,83.66,7,4,10.2,9.3,2334,9.2,2470,0.926,9,47:49,48.5,"1,696",20.32,"1,406",16.84,750,8.99,456,5.46,13,905
3,Anaheim Ducks*,27,82,51,24,7,109,0.665,228,221,8,5,0.1,-0.03,2.78,2.7,37,236,15.68,52,274,81.02,9,6,10.8,9.8,2458,9.3,2367,0.907,4,48:02,51.3,"2,300",27.58,"1,162",13.94,713,8.55,479,5.74,12,"1,120"
4,St. Louis Blues*,28.3,82,51,24,7,109,0.665,239,197,9,4,0.59,0.02,2.91,2.4,56,251,22.31,42,257,83.66,2,5,11,10.6,2535,9.4,2233,0.912,10,47:54,51.7,"1,847",22.15,"1,173",14.07,391,4.69,532,6.38,10,993
5,Tampa Bay Lightning*,26.9,82,50,24,8,108,0.659,259,206,3,5,0.57,-0.06,3.16,2.51,53,282,18.79,42,257,83.66,7,6,9.9,10.5,2428,10.7,2287,0.91,5,46:58,53,"1,759",21.2,"1,098",13.23,632,7.62,529,6.38,12,928
6,Nashville Predators*,28.4,82,47,25,10,104,0.634,226,202,6,6,0.33,0.03,2.76,2.46,42,259,16.22,45,234,80.77,4,5,8.5,9.3,2614,8.6,2317,0.913,5,48:01,52.8,"1,691",20.25,"1,180",14.13,605,7.24,529,6.33,5,"1,018"
7,Chicago Blackhawks*,29.3,82,48,28,6,102,0.622,220,186,9,3,0.51,0.02,2.68,2.27,46,260,17.69,35,211,83.41,3,7,7.3,8.8,2777,7.9,2477,0.925,5,48:33,53.6,"1,357",16.3,"1,040",12.49,612,7.35,593,7.12,12,936
8,Washington Capitals*,28.1,82,45,26,11,101,0.616,237,199,5,4,0.44,-0.03,2.89,2.43,60,237,25.32,50,266,81.2,4,4,10.5,10.4,2419,9.8,2368,0.916,9,47:46,51.4,"2,335",28.01,"1,271",15.25,653,7.83,589,7.06,11,"1,060"
9,Vancouver Canucks*,29.4,82,48,29,5,101,0.616,236,220,6,2,0.2,-0.05,2.88,2.68,46,238,19.33,38,266,85.71,6,2,10.9,9.8,2453,9.6,2446,0.91,9,47:43,49.6,"1,582",19.06,"1,216",14.65,647,7.79,501,6.03,21,900
10,New York Islanders*,27.3,82,47,28,7,101,0.616,245,224,7,6,0.26,-0.01,2.99,2.73,50,267,18.73,48,217,77.88,10,3,8.5,9.4,2771,8.8,2321,0.903,6,48:46,52.8,"2,685",32.17,"1,323",15.85,841,10.07,774,9.27,9,"1,043"
11,Detroit Red Wings*,28.9,82,43,25,14,100,0.61,231,211,4,10,0.14,-0.03,2.82,2.57,70,294,23.81,55,288,80.9,3,8,8.8,9.7,2429,9.5,2322,0.909,6,46:28,53.5,"1,569",18.76,908,10.86,567,6.78,415,4.96,12,921
12,Minnesota Wild*,27.7,82,46,28,8,100,0.61,227,198,4,3,0.39,0.03,2.77,2.41,39,246,15.85,32,234,86.32,4,3,8.9,9.7,2522,9,2265,0.913,8,47:51,51,"1,323",15.96,"1,233",14.87,473,5.71,585,7.06,9,955
13,Winnipeg Jets*,27.3,82,43,26,13,99,0.604,223,204,7,6,0.29,0.04,2.72,2.49,48,269,17.84,56,308,81.82,10,5,13,11.6,2439,9.1,2350,0.913,7,46:15,52.5,"2,409",28.85,"1,120",13.41,714,8.55,536,6.42,9,962
14,Ottawa Senators*,26.9,82,43,26,13,99,0.604,232,208,6,7,0.25,-0.04,2.83,2.54,47,280,16.79,44,257,82.88,6,8,10.3,11.1,2539,9.1,2635,0.921,6,47:02,50.3,"2,279",27.2,"1,045",12.47,675,8.06,648,7.73,12,973
15,Pittsburgh Penguins*,29.5,82,43,27,12,98,0.598,217,204,4,6,0.12,-0.01,2.65,2.49,49,254,19.29,42,277,84.84,6,11,13.7,12.1,2594,8.4,2401,0.915,10,46:54,52.8,"2,495",29.93,"1,094",13.12,557,6.68,441,5.29,6,917
16,Calgary Flames*,28.2,82,45,30,7,97,0.591,237,213,4,3,0.26,-0.05,2.89,2.6,48,255,18.82,36,186,80.65,6,3,7.6,9,2252,10.5,2391,0.911,5,48:55,44.4,"1,782",21.42,"1,557",18.72,864,10.39,814,9.78,12,890
17,Boston Bruins,28.3,82,41,27,14,96,0.585,209,201,4,10,0.01,-0.01,2.55,2.45,38,213,17.84,44,244,81.97,8,3,9.5,8.5,2546,8.2,2449,0.918,5,48:55,51.7,"2,112",25.21,"1,047",12.5,573,6.84,487,5.81,8,"1,004"
18,Los Angeles Kings,28.5,82,40,27,15,95,0.579,218,197,2,8,0.16,-0.03,2.66,2.4,47,247,19.03,45,236,80.93,7,2,9.1,9.1,2536,8.6,2214,0.911,9,48:20,55.4,"2,630",31.62,992,11.92,748,8.99,375,4.51,6,"1,109"
19,Dallas Stars,28.5,82,41,31,10,92,0.561,257,257,4,3,0.06,0.05,3.13,3.13,55,290,18.97,49,254,80.71,9,7,9.6,11,2558,10,2454,0.895,6,46:59,52.2,"1,657",19.97,"1,247",15.03,787,9.49,645,7.77,9,"1,191"
20,Florida Panthers,29.2,82,38,29,15,91,0.555,198,213,8,10,-0.23,-0.02,2.41,2.6,40,246,16.26,50,250,80,1,6,8.9,9,2516,7.9,2424,0.912,4,47:54,51.3,"2,268",27.09,"1,001",11.96,451,5.39,487,5.81,7,880
21,Colorado Avalanche,28.6,82,39,31,12,90,0.549,209,223,10,4,-0.04,0.06,2.55,2.72,37,247,14.98,37,241,84.65,4,2,9.4,9.6,2286,9.1,2719,0.918,6,48:07,43.2,"2,018",24.14,"1,391",16.64,510,6.1,664,7.94,6,767
22,Columbus Blue Jackets,27,82,42,35,5,89,0.543,227,248,9,2,-0.16,0.01,2.77,3.02,53,244,21.72,60,303,80.2,5,5,11.9,11,2366,9.6,2742,0.91,2,47:05,47.3,"2,510",30.13,"1,080",12.96,453,5.44,485,5.82,11,823
23,San Jose Sharks,28.5,82,40,33,9,89,0.543,224,226,4,6,-0.08,-0.03,2.73,2.76,55,254,21.65,48,223,78.48,4,5,9.3,10.4,2591,8.6,2436,0.907,8,48:36,51.3,"1,930",23.25,"1,292",15.56,891,10.73,624,7.51,19,"1,099"
24,Philadelphia Flyers,28.6,82,33,31,18,84,0.512,212,223,3,11,-0.23,0,2.59,2.72,60,256,23.44,61,266,77.07,3,6,10.2,9.2,2413,8.8,2481,0.91,3,47:47,49.3,"2,511",30,"1,248",14.91,540,6.45,413,4.93,8,940
