Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,Vancouver Canucks*,28.1,82,54,19,9,117,0.713,258,180,4,5,0.87,-0.07,3.15,2.2,72,296,24.32,45,312,85.58,6,2,11.5,11.2,2624,9.8,2470,0.927,5,46:18,52.2,"1,791",21.56,"1,071",12.89,508,6.11,595,7.16,11,"1,022"
2,Washington Capitals*,25.9,82,48,23,11,107,0.652,219,191,5,6,0.27,-0.06,2.67,2.33,46,263,17.49,43,299,85.62,7,5,11.3,10.6,2566,8.5,2375,0.92,8,46:31,51.2,"1,885",22.57,"1,257",15.05,654,7.83,657,7.87,12,991
3,Pittsburgh Penguins*,27.4,82,49,25,8,106,0.646,228,196,10,3,0.43,-0.05,2.78,2.39,49,311,15.76,45,324,86.11,13,6,16.9,16.5,2581,8.8,2352,0.917,5,44:31,52.8,"2,280",27.27,"1,082",12.94,470,5.62,444,5.31,10,971
4,Philadelphia Flyers*,27.6,82,47,23,12,106,0.646,256,216,3,7,0.4,-0.04,3.12,2.63,49,295,16.61,54,313,82.75,13,5,13.6,13.3,2605,9.8,2471,0.913,0,45:28,49.3,"1,905",22.91,"1,317",15.84,600,7.21,568,6.83,11,951
5,San Jose Sharks*,27.9,82,48,25,9,105,0.64,243,208,5,5,0.44,0.02,2.96,2.54,68,290,23.45,56,273,79.49,6,7,11.3,12,2832,8.6,2368,0.912,6,47:04,53.6,"1,800",21.6,"1,141",13.69,789,9.47,680,8.16,9,"1,095"
6,Detroit Red Wings*,30.7,82,47,25,10,104,0.634,257,237,4,4,0.27,0.03,3.13,2.89,67,301,22.26,53,300,82.33,5,7,9.1,9.5,2757,9.3,2514,0.906,3,46:28,53.2,"1,794",21.51,917,10.99,690,8.27,569,6.82,7,"1,115"
7,Boston Bruins*,28.3,82,46,25,11,103,0.628,244,189,2,6,0.56,-0.07,2.98,2.3,43,266,16.17,46,265,82.64,11,5,13.6,13.8,2696,9.1,2682,0.93,11,47:27,50.7,"1,736",20.91,"1,172",14.12,522,6.29,424,5.1,12,948
8,Tampa Bay Lightning*,29,82,46,25,11,103,0.628,241,234,6,6,0.04,-0.05,2.94,2.85,69,336,20.54,49,302,83.77,1,16,11,11.6,2605,9.3,2354,0.901,7,45:23,51.9,"1,647",19.71,"1,249",14.95,627,7.5,573,6.85,9,988
9,Phoenix Coyotes*,29,82,43,26,13,99,0.604,226,220,5,6,0.11,0.05,2.76,2.68,46,289,15.92,64,296,78.38,5,6,10.5,10.1,2486,9.1,2673,0.918,9,46:39,50.3,"1,881",22.59,"1,056",12.68,518,6.22,472,5.67,14,"1,032"
10,Nashville Predators*,26.7,82,44,27,11,99,0.604,213,190,6,4,0.31,0.01,2.6,2.32,41,269,15.24,41,272,84.93,5,2,8.8,8.5,2361,9,2510,0.924,8,47:12,49.1,"1,684",20.23,"1,007",12.1,679,8.15,716,8.6,12,840
11,Anaheim Ducks*,28.9,82,47,30,5,99,0.604,235,233,4,2,0.09,0.05,2.87,2.84,67,285,23.51,57,305,81.31,7,7,14.4,13.4,2334,10.1,2648,0.912,7,46:13,44.3,"1,936",23.26,"1,248",15,613,7.37,446,5.36,4,885
12,Los Angeles Kings*,26.3,82,46,30,6,98,0.598,209,196,10,2,0.29,0.03,2.55,2.39,47,291,16.15,40,276,85.51,4,6,11.7,11.8,2363,8.8,2288,0.914,9,46:15,51.7,"2,127",25.55,"1,032",12.4,793,9.53,451,5.42,7,"1,081"
13,Chicago Blackhawks*,26.7,82,44,29,9,97,0.591,252,220,6,5,0.41,0.01,3.07,2.68,64,277,23.1,53,255,79.22,6,4,9,9.5,2637,9.6,2354,0.907,5,47:54,52.8,"1,823",21.87,"1,144",13.73,589,7.07,763,9.15,10,928
14,Montreal Canadiens*,27.6,82,44,30,8,96,0.585,213,206,3,3,0.05,-0.04,2.6,2.51,57,290,19.66,51,327,84.4,5,6,13.3,12.9,2602,8.2,2537,0.919,8,45:20,51.6,"1,658",20,"1,272",15.34,648,7.82,518,6.25,4,"1,012"
15,Buffalo Sabres*,27.5,82,43,29,10,96,0.585,240,228,5,1,0.15,-0.04,2.93,2.78,54,279,19.35,51,300,83,2,13,11.7,11.4,2690,8.9,2514,0.909,6,46:43,50.4,"1,505",18.06,"1,168",14.02,659,7.91,564,6.77,6,877
16,Dallas Stars,28,82,42,29,11,95,0.579,222,226,5,7,-0.02,0.05,2.71,2.76,55,306,17.97,55,277,80.14,10,15,13,13.8,2269,9.8,2504,0.91,5,46:12,48.1,"2,212",26.53,"1,204",14.44,664,7.96,638,7.65,5,"1,064"
17,Calgary Flames,30,82,41,29,12,94,0.573,241,230,9,7,0.14,-0.02,2.94,2.8,62,318,19.5,53,282,81.21,7,9,10.2,11.2,2501,9.6,2338,0.902,6,46:38,51.7,"1,664",19.89,"1,209",14.45,753,9,578,6.91,6,"1,047"
18,New York Rangers*,26.2,82,44,33,5,93,0.567,224,195,9,3,0.37,-0.06,2.73,2.38,49,290,16.9,42,257,83.66,11,5,13.1,14.6,2453,9.1,2410,0.919,11,46:41,49,"2,333",28.04,"1,301",15.63,418,5.02,604,7.26,7,940
19,Carolina Hurricanes,26.6,82,40,31,11,91,0.555,231,234,5,5,-0.08,-0.04,2.82,2.85,55,346,15.9,51,272,81.25,7,6,10.2,12.8,2517,9.2,2725,0.914,4,45:32,49,"2,128",25.55,"1,203",14.44,554,6.65,703,8.44,5,"1,045"
20,St. Louis Blues,25.7,82,38,33,11,87,0.53,236,228,4,6,0.11,0.04,2.88,2.78,52,279,18.64,51,279,81.72,7,1,14.9,15.5,2475,9.5,2274,0.9,10,46:56,52.2,"1,958",23.55,"1,099",13.22,374,4.5,477,5.73,8,"1,043"
21,Minnesota Wild,28.9,82,39,35,8,86,0.524,203,228,3,5,-0.3,0.03,2.48,2.78,53,292,18.15,53,309,82.85,7,7,12,12.1,2148,9.5,2625,0.913,5,46:17,45.3,"1,865",22.45,"1,129",13.59,566,6.81,536,6.45,8,863
22,Toronto Maple Leafs,25.7,82,37,34,11,85,0.518,213,245,5,6,-0.41,0,2.6,2.99,52,326,15.95,62,275,77.45,5,8,12,13.7,2360,9,2540,0.904,3,45:46,47.8,"2,048",24.6,"1,323",15.89,835,10.03,584,7.01,3,"1,007"
23,New Jersey Devils,29.9,82,38,39,5,81,0.494,171,207,3,2,-0.41,0.02,2.09,2.52,34,237,14.35,40,241,83.4,3,8,9.3,9.6,2344,7.3,2152,0.904,9,48:01,52.2,"1,539",18.55,875,10.55,647,7.8,513,6.18,9,835
24,Columbus Blue Jackets,26.8,82,34,35,13,81,0.494,210,250,5,8,-0.45,0.08,2.56,3.05,42,301,13.95,62,314,80.25,6,11,13.6,13.8,2506,8.4,2447,0.898,6,45:38,50.9,"2,315",27.71,"1,114",13.33,357,4.27,521,6.24,9,954
25,Atlanta Thrashers,26.1,82,34,36,12,80,0.488,218,262,5,7,-0.57,-0.01,2.66,3.2,53,289,18.34,64,285,77.54,6,10,11.3,10.7,2581,8.4,2638,0.901,5,47:17,48.7,"1,512",18.1,"1,292",15.46,582,6.97,825,9.87,2,951
26,Ottawa Senators,28.1,82,32,40,10,74,0.451,190,245,2,5,-0.69,0.02,2.32,2.99,45,257,17.51,48,295,83.73,6,4,14,11.8,2381,8,2559,0.904,5,46:54,49.9,"1,658",20.01,"1,115",13.45,704,8.49,642,7.75,7,892
27,New York Islanders,26.2,82,30,39,13,73,0.445,225,258,4,6,-0.42,0.01,2.74,3.15,52,302,17.22,52,310,83.23,15,7,18.5,16.2,2408,9.3,2620,0.902,2,45:34,46.1,"1,808",21.64,"1,387",16.6,691,8.27,876,10.48,8,901
28,Florida Panthers,28.3,82,30,40,12,72,0.439,191,222,4,7,-0.43,-0.01,2.33,2.71,35,267,13.11,41,267,84.64,4,5,8.7,9.1,2493,7.7,2609,0.915,7,47:08,50.3,"1,895",22.72,"1,125",13.49,436,5.23,563,6.75,3,948
29,Colorado Avalanche,25.9,82,30,44,8,68,0.415,221,287,6,1,-0.7,0.05,2.7,3.5,49,265,18.49,75,314,76.11,8,11,13.1,11.6,2394,9.2,2609,0.89,1,46:28,47.3,"1,726",20.75,"1,176",14.14,515,6.19,684,8.22,3,851
30,Edmonton Oilers,26.2,82,25,45,12,62,0.378,191,260,2,9,-0.87,0.06,2.33,3.17,44,304,14.47,74,321,76.95,8,2,15.5,14.5,2188,8.7,2597,0.9,4,45:36,46.4,"1,794",21.57,"1,219",14.66,896,10.77,621,7.47,7,840
