Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
15,St. Louis Blues*,27.1,82,41,31,10,92,0.561,227,227,6,6,0.05,0.05,2.77,2.77,72,351,20.51,58,357,83.75,10,8,15.2,15.4,2271,10,2341,0.903,7,"1,611",19.35,"1,128",13.55,474,5.69,491,5.9,7,964
16,Columbus Blue Jackets*,25.8,82,41,31,10,92,0.561,220,223,6,7,-0.01,0.04,2.68,2.72,41,322,12.73,62,346,82.08,8,12,15,14.1,2370,9.3,2281,0.902,11,"1,919",22.98,"1,022",12.24,357,4.27,507,6.07,7,858
17,Anaheim Ducks*,29.2,82,42,33,7,91,0.555,238,235,7,3,0.09,0,2.9,2.87,73,309,23.62,78,385,79.74,6,8,17.4,15.4,2481,9.6,2499,0.906,6,"1,758",21.15,801,9.63,653,7.86,476,5.72,4,984
18,Buffalo Sabres,28.1,82,41,32,9,91,0.555,242,229,8,5,0.18,-0.02,2.95,2.79,75,358,20.95,61,336,81.85,7,5,13.7,14.6,2505,9.7,2575,0.911,5,"1,458",17.5,"1,083",13,826,9.91,454,5.45,3,873
19,Minnesota Wild,27.7,82,40,33,9,89,0.543,214,197,5,3,0.22,-0.02,2.61,2.4,66,328,20.12,36,291,87.63,9,6,10.8,11.7,2257,9.5,2518,0.922,8,"1,468",17.66,"1,033",12.43,590,7.1,439,5.28,8,907
20,Nashville Predators,27.6,82,40,34,8,88,0.537,207,228,6,5,-0.19,0.06,2.52,2.78,50,318,15.72,59,338,82.54,9,8,12.1,11.8,2375,8.7,2411,0.905,10,"1,671",20.07,"1,035",12.43,619,7.43,698,8.38,7,914
21,Edmonton Oilers,28.8,82,38,35,9,85,0.518,228,244,6,4,-0.16,0.01,2.78,2.98,60,354,16.95,76,338,77.51,3,8,15.2,15.4,2303,9.9,2668,0.909,1,"1,393",16.77,"1,074",12.92,970,11.67,556,6.69,9,912
22,Dallas Stars,28.5,82,36,35,11,83,0.506,224,251,6,6,-0.3,0.03,2.73,3.06,54,351,15.38,70,327,78.59,2,4,14,15,2369,9.5,2303,0.891,3,"2,076",24.89,982,11.77,714,8.56,663,7.95,6,"1,012"
23,Ottawa Senators,27.9,82,36,35,11,83,0.506,213,231,4,6,-0.23,0.01,2.6,2.82,66,339,19.47,64,346,81.5,8,5,13.4,13.1,2405,8.9,2336,0.901,3,"1,923",23.1,"1,147",13.78,706,8.48,646,7.76,4,853
24,Toronto Maple Leafs,28,82,34,35,13,81,0.494,244,286,6,7,-0.49,0.03,2.98,3.49,62,330,18.79,78,308,74.68,6,7,13.7,14.4,2603,9.4,2480,0.885,1,"1,764",21.14,"1,252",15,780,9.35,594,7.12,6,"1,084"
25,Phoenix Coyotes,26.6,82,36,39,7,79,0.482,205,249,3,3,-0.5,0.04,2.5,3.04,50,341,14.66,68,293,76.79,5,4,13.3,15,2302,8.9,2591,0.904,4,"1,809",21.87,"1,209",14.62,392,4.74,383,4.63,9,892
26,Los Angeles Kings,25.5,82,34,37,11,79,0.482,202,226,5,8,-0.29,0.04,2.46,2.76,69,360,19.17,62,361,82.83,4,8,14.7,13.7,2383,8.5,2301,0.902,6,"2,128",25.52,"1,040",12.47,868,10.41,463,5.55,9,"1,114"
27,Atlanta Thrashers,27.9,82,35,41,6,76,0.463,250,279,7,1,-0.3,-0.02,3.05,3.4,69,357,19.33,88,366,75.96,13,10,15.3,14.6,2306,10.8,2683,0.896,3,"1,380",16.62,"1,122",13.51,606,7.3,737,8.87,8,849
28,Colorado Avalanche,28.6,82,32,45,5,69,0.421,190,253,9,4,-0.66,0.05,2.32,3.09,50,318,15.72,64,318,79.87,4,8,13,12.6,2359,8.1,2376,0.894,2,"1,461",17.57,"1,317",15.84,651,7.83,661,7.95,0,828
29,Tampa Bay Lightning,27.4,82,24,40,18,66,0.402,207,269,3,10,-0.81,0.03,2.52,3.28,61,343,17.78,89,405,78.02,4,9,15.9,13.4,2337,8.9,2701,0.9,3,"1,853",22.2,"1,104",13.22,642,7.69,565,6.77,2,852
30,New York Islanders,27.7,82,26,47,9,61,0.372,198,274,3,5,-0.91,0.05,2.41,3.34,54,320,16.88,73,361,79.78,12,5,14.8,13.1,2372,8.3,2751,0.9,3,"1,828",22.04,"1,391",16.77,671,8.09,857,10.33,5,857
