Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,San Jose Sharks*,28.7,82,53,18,11,117,0.713,251,199,6,5,0.61,-0.04,3.06,2.43,87,360,24.17,51,304,83.22,12,11,12.8,14.1,2720,9.2,2228,0.911,9,"2,042",24.5,968,11.61,790,9.48,573,6.88,7,"1,011"
2,Boston Bruins*,28.4,82,53,19,10,116,0.707,270,190,4,6,0.89,-0.06,3.29,2.32,74,313,23.64,54,306,82.35,8,7,12.5,12.8,2482,10.9,2524,0.925,7,"1,825",21.96,"1,072",12.9,463,5.57,498,5.99,12,916
3,Detroit Red Wings*,31.2,82,51,21,10,112,0.683,289,240,6,4,0.62,0,3.52,2.93,90,353,25.5,71,327,78.29,6,4,10,10.9,2965,9.7,2274,0.894,8,"1,480",17.79,741,8.91,548,6.58,445,5.35,9,"1,068"
4,Washington Capitals*,27.2,82,50,24,8,108,0.659,268,240,4,5,0.27,-0.06,3.27,2.93,85,337,25.22,75,387,80.62,7,11,12.7,11.4,2747,9.8,2418,0.901,2,"1,662",20,"1,111",13.37,947,11.39,766,9.22,16,"1,059"
5,New Jersey Devils*,30.3,82,51,27,4,106,0.646,238,207,6,2,0.38,-0.05,2.9,2.52,58,307,18.89,65,324,79.94,12,4,12.9,13.1,2698,8.8,2415,0.914,7,"1,448",17.4,970,11.66,447,5.37,431,5.18,6,928
6,Chicago Blackhawks*,25.9,82,46,24,12,104,0.634,260,209,4,7,0.6,0.01,3.17,2.55,70,363,19.28,64,330,80.61,10,6,14.1,15.2,2683,9.7,2344,0.911,6,"1,519",18.24,846,10.16,395,4.74,488,5.86,16,863
7,Vancouver Canucks*,27.9,82,45,27,10,100,0.61,243,213,3,7,0.3,-0.02,2.96,2.6,67,357,18.77,69,371,81.4,7,5,16.5,16.3,2335,10.4,2392,0.911,10,"1,315",15.81,993,11.94,626,7.52,577,6.94,8,949
8,Pittsburgh Penguins*,26.6,82,45,28,9,99,0.604,258,233,6,6,0.28,-0.02,3.15,2.84,62,360,17.22,60,347,82.71,7,13,13.6,14.2,2381,10.8,2484,0.906,4,"1,939",23.22,"1,280",15.33,607,7.27,466,5.58,9,923
9,Philadelphia Flyers*,27,82,44,27,11,99,0.604,260,232,4,6,0.28,-0.04,3.17,2.83,71,316,22.47,67,393,82.95,16,1,17.5,14.8,2441,10.7,2668,0.913,3,"1,712",20.52,"1,243",14.9,851,10.2,642,7.69,11,922
10,Calgary Flames*,28.9,82,46,30,6,98,0.598,251,246,3,2,0.07,0,3.06,3,61,358,17.04,58,349,83.38,6,15,15.8,15.6,2643,9.5,2441,0.899,4,"1,552",18.76,788,9.52,668,8.07,531,6.42,9,"1,048"
11,Carolina Hurricanes*,27.9,82,45,30,7,97,0.591,236,221,3,5,0.11,-0.05,2.88,2.7,70,374,18.72,59,301,80.4,8,9,9.8,12.5,2675,8.8,2419,0.909,6,"1,716",20.65,"1,194",14.37,468,5.63,665,8,7,"1,083"
12,New York Rangers*,27,82,43,30,9,95,0.579,200,212,10,6,-0.1,-0.01,2.44,2.59,48,346,13.87,40,329,87.84,9,14,14.6,14.9,2658,7.5,2433,0.913,4,"2,312",27.68,957,11.46,445,5.33,598,7.16,7,"1,050"
13,Montreal Canadiens*,27.6,82,41,30,11,93,0.567,242,240,7,7,0.02,-0.01,2.95,2.93,72,374,19.25,65,370,82.43,10,11,15,15.8,2461,9.8,2600,0.908,2,"1,974",23.66,"1,316",15.77,871,10.44,645,7.73,7,935
14,Florida Panthers,28.6,82,41,30,11,93,0.567,231,223,3,8,0,-0.04,2.82,2.72,51,308,16.56,54,311,82.64,7,9,11,11.3,2411,9.6,2843,0.922,9,"1,562",18.75,"1,105",13.26,560,6.72,493,5.91,9,910
