Rk,Team,AvAge,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Detroit Red Wings*,31.9,82,48,21,11,2,109,.665,255,189,0.72,-0.09,3.11,2.30,63,314,20.06,42,317,86.75,15,5,11.5,11.2,2484,10.3,2151,.912,7
2,Tampa Bay Lightning*,28.1,82,46,22,8,6,106,.646,245,192,0.56,-0.09,2.99,2.34,55,339,16.22,42,278,84.89,15,4,11.6,13.1,2460,10.0,2085,.908,4
3,Boston Bruins*,27.9,82,41,19,15,7,104,.634,209,188,0.29,0.03,2.55,2.29,48,300,16.00,55,335,83.58,7,13,14.5,12.8,2500,8.4,2280,.918,7
4,San Jose Sharks*,26.8,82,43,21,12,6,104,.634,219,183,0.40,-0.04,2.67,2.23,56,337,16.62,47,319,85.27,9,9,13.1,13.6,2300,9.5,2373,.923,11
5,Toronto Maple Leafs*,30.7,82,45,24,10,3,103,.628,242,204,0.48,0.02,2.95,2.49,75,373,20.11,64,386,83.42,8,8,17.5,16.3,2253,10.7,2166,.906,11
6,Ottawa Senators*,27.0,82,43,23,10,6,102,.622,262,189,0.88,-0.01,3.20,2.30,80,370,21.62,57,347,83.57,6,8,15.3,16.4,2421,10.8,2040,.907,8
7,Vancouver Canucks*,27.5,82,43,24,10,5,101,.616,235,194,0.52,0.02,2.87,2.37,56,376,14.89,50,360,86.11,5,8,15.2,15.4,2379,9.9,2183,.911,8
8,Philadelphia Flyers*,29.7,82,40,21,15,6,101,.616,229,186,0.47,-0.05,2.79,2.27,65,314,20.70,58,348,83.33,7,3,16.3,15.7,2410,9.5,2092,.911,7
9,Colorado Avalanche*,27.9,82,40,22,13,7,100,.610,236,198,0.48,0.02,2.88,2.41,74,363,20.39,58,357,83.75,7,14,15.4,15.4,2410,9.8,2325,.915,4
10,New Jersey Devils*,28.8,82,43,25,12,2,100,.610,213,164,0.54,-0.06,2.60,2.00,51,312,16.35,39,266,85.34,8,5,10.7,11.2,2433,8.8,2001,.918,14
11,Dallas Stars*,30.6,82,41,26,13,2,97,.591,194,175,0.22,-0.01,2.37,2.13,52,328,15.85,44,311,85.85,5,11,13.7,13.4,2196,8.8,1902,.908,10
12,Calgary Flames*,26.9,82,42,30,7,3,94,.573,200,176,0.33,0.04,2.44,2.15,54,357,15.13,53,346,84.68,11,2,17.0,17.1,2248,8.9,2090,.916,11
13,Montreal Canadiens*,28.0,82,41,30,7,4,93,.567,208,192,0.23,0.04,2.54,2.34,55,319,17.24,55,314,82.48,5,6,12.5,13.0,2270,9.2,2342,.918,6
14,St. Louis Blues*,30.0,82,39,30,11,2,91,.555,191,198,-0.09,-0.01,2.33,2.41,61,341,17.89,57,369,84.55,7,11,15.2,13.9,2223,8.6,2103,.906,4
15,Nashville Predators*,26.5,82,38,29,11,4,91,.555,216,217,-0.05,-0.04,2.63,2.65,72,428,16.82,64,351,81.77,14,8,16.3,19.4,2227,9.7,2335,.907,4
16,New York Islanders*,27.7,82,38,29,11,4,91,.555,237,210,0.29,-0.04,2.89,2.56,54,325,16.62,52,359,85.52,11,5,14.0,13.1,2341,10.1,2244,.906,6
17,Edmonton Oilers,27.5,82,36,29,12,5,89,.543,221,208,0.21,0.05,2.70,2.54,44,338,13.02,66,350,81.14,13,8,14.6,14.5,2332,9.5,2175,.904,4
18,Buffalo Sabres,26.4,82,37,34,7,4,85,.518,220,221,0.02,0.04,2.68,2.70,58,367,15.80,53,348,84.77,7,9,15.4,17.2,2301,9.6,2340,.906,4
19,Minnesota Wild,27.4,82,30,29,20,3,83,.506,188,183,0.08,0.02,2.29,2.23,46,339,13.57,44,285,84.56,7,7,12.1,14.3,1982,9.5,2383,.923,7
20,Los Angeles Kings,28.7,82,28,29,16,9,81,.494,205,217,-0.15,0.00,2.50,2.65,50,356,14.04,65,336,80.65,9,4,14.1,14.0,2349,8.7,2213,.902,8
21,Atlanta Thrashers,27.1,82,33,37,8,4,78,.476,214,243,-0.38,-0.03,2.61,2.96,60,410,14.63,58,391,85.17,11,7,18.0,17.3,2141,10.0,2411,.899,4
22,Carolina Hurricanes,28.4,82,28,34,14,6,76,.463,172,209,-0.46,-0.01,2.10,2.55,41,384,10.68,66,359,81.62,9,9,13.2,15.0,2394,7.2,2150,.903,6
23,Mighty Ducks of Anaheim,27.7,82,29,35,10,8,76,.463,184,213,-0.34,0.01,2.24,2.60,56,310,18.06,54,353,84.70,5,4,13.6,12.7,2438,7.5,2443,.913,5
24,Florida Panthers,25.3,82,28,35,15,4,75,.457,188,221,-0.42,-0.02,2.29,2.70,52,310,16.77,51,373,86.33,7,12,14.4,12.4,2273,8.3,2828,.922,7
25,New York Rangers,30.2,82,27,40,7,8,69,.421,206,250,-0.51,0.03,2.51,3.05,46,322,14.29,80,388,79.38,6,8,17.4,15.6,2416,8.5,2396,.896,4
26,Phoenix Coyotes,26.7,82,22,36,18,6,68,.415,188,245,-0.66,0.04,2.29,2.99,51,358,14.25,71,398,82.16,9,8,15.6,14.5,2171,8.7,2506,.902,6
27,Columbus Blue Jackets,27.5,82,25,45,8,4,62,.378,177,238,-0.72,0.03,2.16,2.90,58,401,14.46,50,337,85.16,5,14,14.5,16.0,2280,7.8,2623,.909,5
28,Chicago Blackhawks,25.8,82,20,43,11,8,59,.360,188,259,-0.84,0.02,2.29,3.16,55,349,15.76,63,383,83.55,5,14,15.9,15.7,2401,7.8,2521,.897,4
29,Washington Capitals,28.0,82,23,46,10,3,59,.360,186,253,-0.80,0.02,2.27,3.09,64,334,19.16,75,401,81.30,4,5,15.5,14.1,1946,9.6,2586,.902,3
30,Pittsburgh Penguins,26.5,82,23,47,8,4,58,.354,190,303,-1.31,0.07,2.32,3.70,65,360,18.06,84,369,77.24,7,15,15.1,15.0,2029,9.4,2720,.889,3
