Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,Washington Capitals*,27.9,82,56,18,8,120,0.732,248,191,4,2,0.7,-0.02,3.02,2.33,55,251,21.91,38,256,85.16,2,5,9.2,8.9,2510,9.9,2332,0.918,3,47:56,51,"1,993",24,"1,266",15.24,682,8.21,565,6.8,14,986
2,Dallas Stars*,28.9,82,50,23,9,109,0.665,265,228,2,2,0.45,-0.01,3.23,2.78,58,262,22.14,44,248,82.26,10,15,8.8,9,2624,10.1,2371,0.904,5,47:54,52.6,"1,556",18.79,"1,224",14.78,845,10.2,575,6.94,24,"1,121"
3,St. Louis Blues*,28,82,49,24,9,107,0.652,219,197,5,4,0.28,0,2.67,2.4,51,237,21.52,41,276,85.14,4,5,10.5,9.2,2474,8.9,2439,0.919,10,47:28,52,"1,937",23.22,"1,127",13.51,414,4.96,504,6.04,11,918
4,Pittsburgh Penguins*,29,82,48,26,8,104,0.634,241,199,4,4,0.5,-0.01,2.94,2.43,48,261,18.39,40,257,84.44,11,5,8.5,8.9,2722,8.9,2436,0.918,6,47:30,52.7,"1,946",23.42,"1,091",13.13,593,7.14,500,6.02,12,916
5,Chicago Blackhawks*,28.6,82,47,26,9,103,0.628,234,207,1,2,0.32,0,2.85,2.52,57,252,22.62,46,233,80.26,10,3,7.5,8.6,2498,9.4,2526,0.918,8,48:29,50.7,"1,389",16.76,"1,133",13.67,592,7.14,477,5.75,17,849
6,Florida Panthers*,29.2,82,47,26,9,103,0.628,232,200,7,3,0.42,-0.02,2.83,2.44,47,278,16.91,55,268,79.48,5,5,10.4,10.4,2358,9.8,2419,0.917,4,46:58,48.7,"1,910",22.98,942,11.33,588,7.07,506,6.09,15,855
7,Anaheim Ducks*,27.4,82,46,25,11,103,0.628,215,188,3,4,0.27,-0.05,2.62,2.29,56,245,22.86,37,290,87.24,7,3,12.5,11.1,2483,8.7,2258,0.917,8,47:10,52.4,"2,234",26.93,"1,178",14.2,767,9.24,428,5.16,12,"1,083"
8,Los Angeles Kings*,28.3,82,48,28,6,102,0.622,223,192,2,3,0.32,-0.04,2.72,2.34,47,235,20,53,285,81.4,5,3,10.6,9.1,2625,8.5,2254,0.915,7,47:52,56.4,"2,495",30.03,"1,027",12.36,692,8.33,347,4.18,9,"1,222"
9,New York Rangers*,29.6,82,46,27,9,101,0.616,233,215,3,2,0.24,0.01,2.84,2.62,42,226,18.58,53,243,78.19,3,5,8.6,8.3,2336,10,2494,0.914,5,48:40,47.4,"2,164",26.1,"1,314",15.85,790,9.53,603,7.27,16,936
10,New York Islanders*,27.9,82,45,27,10,100,0.61,227,211,5,5,0.19,0,2.77,2.57,43,229,18.78,36,232,84.48,7,6,8.8,9.2,2412,9.4,2495,0.915,4,48:47,49.5,"2,311",27.7,"1,322",15.85,764,9.16,623,7.47,14,942
11,San Jose Sharks*,29.1,82,46,30,6,98,0.598,237,207,4,3,0.33,-0.05,2.89,2.52,62,275,22.55,46,236,80.51,6,7,8.9,11,2491,9.5,2245,0.908,9,48:03,51.7,"1,686",20.33,"1,292",15.58,901,10.86,593,7.15,18,"1,016"
12,Tampa Bay Lightning*,27.3,82,46,31,5,97,0.591,224,198,3,3,0.3,-0.02,2.73,2.41,44,279,15.77,41,257,84.05,7,7,9.9,10.6,2402,9.3,2366,0.916,7,46:29,52.2,"1,681",20.3,"1,027",12.41,642,7.75,470,5.68,13,994
13,Nashville Predators*,28.4,82,41,27,14,96,0.585,224,213,4,2,0.17,0.01,2.73,2.6,51,259,19.69,46,245,81.22,7,2,9.9,9.8,2507,8.9,2242,0.905,6,47:46,52.5,"1,884",22.69,"1,232",14.84,571,6.88,472,5.68,14,962
14,Philadelphia Flyers*,28.1,82,41,27,14,96,0.585,211,210,3,8,-0.03,0.02,2.57,2.56,53,280,18.93,51,262,80.53,3,8,11.8,11.9,2540,8.3,2519,0.917,7,46:44,50.6,"2,196",26.28,"1,309",15.67,654,7.83,455,5.44,11,"1,013"
15,Detroit Red Wings*,28.7,82,41,30,11,93,0.567,209,219,2,5,-0.16,0,2.55,2.67,50,266,18.8,50,271,81.55,2,4,8.8,9.1,2432,8.6,2439,0.91,6,47:00,51.7,"1,651",19.84,909,10.92,568,6.83,415,4.99,9,938
16,Boston Bruins,28.8,82,42,31,9,93,0.567,236,228,4,2,0.11,-0.02,2.88,2.78,48,234,20.51,48,270,82.22,9,4,11.4,10.4,2620,9,2490,0.908,5,47:56,49.6,"2,164",26.08,"1,184",14.27,685,8.25,501,6.04,13,936
17,Minnesota Wild*,28,82,38,33,11,87,0.53,213,204,3,2,0.13,0.01,2.6,2.49,48,259,18.53,45,204,77.94,7,6,6.6,8.6,2374,9,2347,0.913,8,48:35,47.9,"1,405",16.93,"1,209",14.57,516,6.22,503,6.06,15,902
18,Carolina Hurricanes,27,82,35,31,16,86,0.524,196,221,2,5,-0.31,0.03,2.39,2.7,40,238,16.81,32,204,84.31,3,5,6.9,7.7,2451,8,2261,0.902,3,49:08,51.5,"1,550",18.58,980,11.75,630,7.55,756,9.06,7,"1,030"
19,Ottawa Senators,27,82,38,35,9,85,0.518,230,241,6,6,-0.13,0.01,2.8,2.94,38,239,15.9,61,253,75.89,17,3,10.9,11,2325,9.9,2688,0.91,5,48:13,47.5,"2,262",27.12,"1,196",14.34,712,8.54,583,6.99,16,927
20,New Jersey Devils,27.9,82,38,36,8,84,0.512,182,202,2,6,-0.28,0.02,2.22,2.46,51,256,19.92,45,264,82.95,5,8,9.9,9.2,2003,9.1,2349,0.914,7,47:03,46.2,"1,840",22.12,"1,054",12.67,474,5.7,463,5.57,7,778
21,Montreal Canadiens,28,82,38,38,6,82,0.5,216,233,5,3,-0.18,0,2.63,2.84,42,259,16.22,46,254,81.89,8,11,9.4,9.9,2504,8.6,2408,0.903,3,47:36,51.5,"1,932",23.3,"1,144",13.8,805,9.71,495,5.97,10,928
22,Colorado Avalanche,28.3,82,39,39,4,82,0.5,212,240,4,0,-0.26,0.03,2.59,2.93,48,266,18.05,51,258,80.23,7,9,9.4,9.4,2348,9,2649,0.909,5,47:23,44.2,"1,848",22.36,"1,401",16.95,486,5.88,456,5.52,10,820
23,Buffalo Sabres,26.2,82,35,36,11,81,0.494,199,215,2,7,-0.25,0.01,2.43,2.62,48,254,18.9,38,218,82.57,6,6,9.1,10.2,2418,8.2,2511,0.914,2,48:38,47.5,"1,916",23.03,"1,095",13.16,488,5.86,431,5.18,13,866
24,Winnipeg Jets,26.8,82,35,39,8,78,0.476,212,236,3,3,-0.26,0.03,2.59,2.88,38,257,14.79,61,282,78.37,10,4,11.2,10.4,2427,8.7,2423,0.903,3,46:57,51.4,"2,103",25.38,"1,133",13.67,716,8.64,550,6.63,13,937
25,Arizona Coyotes,27.6,82,35,39,8,78,0.476,208,244,1,1,-0.43,0.01,2.54,2.98,53,300,17.67,69,304,77.3,4,14,12.3,11.5,2265,9.2,2539,0.904,5,45:55,46.8,"1,815",21.97,"1,150",13.92,425,5.14,482,5.83,9,934
26,Calgary Flames,27.7,82,35,40,7,77,0.47,229,257,2,3,-0.36,-0.01,2.79,3.13,46,270,17.04,57,234,75.64,10,7,9.2,9.5,2398,9.5,2377,0.892,3,48:16,48,"1,700",20.51,"1,320",15.92,752,9.07,572,6.9,7,896
27,Columbus Blue Jackets,26.5,82,34,40,8,76,0.463,213,248,6,4,-0.38,0.03,2.6,3.02,43,248,17.34,53,279,81,3,8,12.1,10.7,2387,8.9,2550,0.903,1,47:40,48,"2,145",25.82,"1,260",15.16,463,5.57,490,5.9,11,872
28,Vancouver Canucks,28.9,82,31,38,13,75,0.457,186,239,5,4,-0.62,0.02,2.27,2.91,39,247,15.79,47,249,81.12,4,8,10,10,2311,8,2668,0.91,1,47:59,47.2,"1,533",18.38,"1,058",12.68,612,7.34,440,5.27,10,858
29,Edmonton Oilers,26.4,82,31,43,8,70,0.427,199,242,4,3,-0.51,0,2.43,2.95,43,237,18.14,49,254,80.71,5,6,9.7,9.2,2386,8.3,2548,0.905,3,48:00,48.9,"1,818",21.9,"1,233",14.85,837,10.08,564,6.79,6,896
30,Toronto Maple Leafs,27.4,82,29,42,11,69,0.421,192,240,6,6,-0.56,0.03,2.34,2.93,40,259,15.44,50,272,81.62,3,8,9.2,9,2515,7.6,2503,0.904,4,47:00,51.3,"2,119",25.44,"1,035",12.43,592,7.11,669,8.03,12,"1,188"
