Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,Washington Capitals*,28.4,82,55,19,8,118,0.72,261,177,2,5,0.99,0,3.18,2.16,57,248,22.98,44,272,83.82,5,3,9.1,8.7,2495,10.5,2282,0.922,12,47:33,51.8,"1,727",20.83,"1,102",13.29,819,9.88,643,7.75,11,992
2,Pittsburgh Penguins*,28.7,82,50,21,11,111,0.677,278,229,4,5,0.59,0.01,3.39,2.79,60,260,23.08,52,257,79.77,5,7,8.6,9,2745,10.1,2671,0.914,5,48:05,50.1,"2,059",24.76,"1,307",15.71,641,7.71,532,6.39,10,901
3,Chicago Blackhawks*,29.4,82,50,23,9,109,0.665,240,212,4,1,0.32,-0.06,2.93,2.59,42,233,18.03,47,211,77.73,1,7,7.1,7.9,2508,9.6,2574,0.918,4,49:29,50.4,"1,177",14.18,"1,225",14.76,743,8.95,601,7.24,19,839
4,Columbus Blue Jackets*,26.2,82,50,24,8,108,0.659,247,193,2,2,0.68,0.02,3.01,2.35,42,211,19.91,39,223,82.51,10,2,8.7,8.6,2540,9.7,2489,0.922,8,48:40,50.3,"1,654",19.97,"1,179",14.23,516,6.23,517,6.24,9,879
5,Minnesota Wild*,28.3,82,49,25,8,106,0.646,263,206,3,2,0.63,-0.08,3.21,2.51,47,224,20.98,37,217,82.95,5,3,8.2,8.4,2527,10.4,2465,0.916,5,49:17,49.3,"1,284",15.51,"1,161",14.02,457,5.52,523,6.31,16,918
6,Anaheim Ducks*,27.6,82,46,23,13,105,0.64,220,197,3,3,0.24,-0.04,2.68,2.4,47,251,18.73,43,281,84.7,9,7,11.4,11.2,2425,9.1,2429,0.919,8,47:10,49.7,"2,144",25.83,"1,148",13.83,733,8.83,411,4.95,8,"1,031"
7,Montreal Canadiens*,28.8,82,47,26,9,103,0.628,223,198,3,2,0.31,-0.01,2.72,2.41,45,230,19.57,47,249,81.12,5,6,9.3,7.9,2459,9.1,2429,0.918,5,48:59,52.5,"1,864",22.42,"1,213",14.59,869,10.45,529,6.36,7,988
8,Edmonton Oilers*,26.7,82,47,26,9,103,0.628,243,207,4,5,0.37,-0.06,2.96,2.52,56,245,22.86,43,223,80.72,4,5,9,9.5,2547,9.5,2416,0.914,7,48:48,50,"2,073",24.92,"1,294",15.56,911,10.95,625,7.51,10,955
9,New York Rangers*,28.3,82,48,28,6,102,0.622,253,216,3,4,0.47,0.03,3.09,2.63,47,232,20.26,45,224,79.91,9,5,7.2,8.3,2438,10.4,2465,0.912,7,48:49,48,"1,715",20.69,"1,244",15,818,9.86,647,7.8,14,"1,000"
10,St. Louis Blues*,28,82,46,29,7,99,0.604,233,216,2,2,0.17,-0.04,2.84,2.63,50,235,21.28,40,263,84.79,3,5,9,8.4,2330,10,2327,0.907,8,47:59,50.2,"1,688",20.4,"1,135",13.72,386,4.66,519,6.27,18,877
