Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
11,San Jose Sharks*,29.6,82,46,29,7,99,0.604,219,200,2,1,0.21,-0.03,2.67,2.44,41,246,16.67,41,212,80.66,7,6,7.8,8.5,2453,8.9,2269,0.912,3,48:52,51.1,"1,539",18.63,"1,359",16.45,"1,041",12.6,658,7.96,12,"1,087"
12,Ottawa Senators*,28.8,82,44,28,10,98,0.598,206,210,6,4,-0.01,0.01,2.51,2.56,43,254,16.93,50,247,79.76,7,3,10.3,10.5,2463,8.4,2467,0.915,10,47:53,48.6,"2,114",25.4,"1,352",16.24,736,8.84,537,6.45,16,916
13,Toronto Maple Leafs*,26.2,82,40,27,15,95,0.579,250,234,1,8,0.11,0,3.05,2.85,57,244,23.36,44,251,82.47,6,7,9.7,10,2617,9.6,2673,0.912,5,48:16,50.4,"1,936",23.27,"1,166",14.01,769,9.24,732,8.8,8,"1,141"
14,Boston Bruins*,28.8,82,44,31,7,95,0.579,232,209,2,3,0.27,0,2.83,2.55,53,244,21.72,38,266,85.71,10,6,10.1,9.8,2721,8.5,2194,0.905,8,47:28,54.7,"1,776",21.46,"1,094",13.22,696,8.41,616,7.44,15,"1,072"
15,Calgary Flames*,28.3,82,45,33,4,94,0.573,222,219,4,2,0.02,-0.04,2.71,2.67,52,258,20.16,51,277,81.59,8,5,11.7,10.7,2388,9.3,2354,0.907,5,47:16,50.5,"1,550",18.69,"1,111",13.4,757,9.13,644,7.77,9,913
16,Tampa Bay Lightning,26.8,82,42,30,10,94,0.573,230,224,4,3,0.09,0.01,2.8,2.73,62,272,22.79,48,258,81.4,4,8,10.7,11.4,2452,9.4,2492,0.91,3,47:32,51.3,"1,842",22.15,"1,014",12.2,677,8.14,502,6.04,11,"1,016"
17,Nashville Predators*,27.9,82,41,29,12,94,0.573,238,220,2,4,0.16,-0.04,2.9,2.68,49,259,18.92,46,241,80.91,12,6,10.2,10.7,2557,9.3,2472,0.911,4,48:04,51.4,"1,659",19.96,"1,110",13.36,655,7.88,556,6.69,11,988
18,New York Islanders,28.4,82,41,29,12,94,0.573,239,238,2,4,0.03,0.05,2.91,2.9,35,234,14.96,40,227,82.38,5,7,7.9,7.9,2480,9.6,2616,0.909,5,49:01,47.8,"2,126",25.62,"1,363",16.42,763,9.19,569,6.85,10,917
19,Philadelphia Flyers,27.6,82,39,33,10,88,0.537,212,231,7,5,-0.17,0.04,2.59,2.82,54,277,19.49,50,247,79.76,4,9,10.3,11.1,2585,8.2,2334,0.901,5,47:36,51.1,"2,063",24.72,"1,309",15.68,689,8.25,425,5.09,7,"1,051"
20,Winnipeg Jets,26.1,82,40,35,7,87,0.53,246,255,3,1,-0.11,-0.03,3,3.11,48,264,18.18,62,275,77.45,10,9,10.2,9.7,2448,10,2546,0.9,5,47:25,49.3,"1,906",23.03,"1,177",14.22,723,8.74,591,7.14,13,913
21,Carolina Hurricanes,26.8,82,36,31,15,87,0.53,212,230,3,6,-0.21,0.05,2.59,2.8,41,231,17.75,32,202,84.16,10,6,5.8,6.6,2493,8.5,2320,0.901,3,49:32,51.3,"1,611",19.36,"1,062",12.76,752,9.04,842,10.12,8,"1,022"
22,Los Angeles Kings,29.1,82,39,35,8,86,0.524,199,201,2,4,-0.07,-0.02,2.43,2.45,46,241,19.09,38,245,84.49,5,3,9.2,9.3,2553,7.8,2120,0.905,9,48:24,55,"2,323",27.99,"1,077",12.98,694,8.36,317,3.82,7,"1,136"
23,Florida Panthers,28.6,82,35,36,11,81,0.494,205,231,5,6,-0.3,0.03,2.5,2.82,45,265,16.98,36,245,85.31,8,8,9.9,9.9,2644,7.8,2595,0.911,4,47:26,50.5,"1,665",19.95,919,11.01,750,8.99,643,7.7,8,974
24,Dallas Stars,28.5,82,34,37,11,79,0.482,222,260,1,2,-0.48,-0.01,2.71,3.17,46,257,17.9,65,249,73.9,5,11,9.9,9.8,2505,8.9,2439,0.893,3,48:22,50.1,"1,552",18.77,"1,330",16.08,757,9.15,531,6.42,12,"1,107"
25,Detroit Red Wings,28.4,82,33,36,13,79,0.482,198,244,9,0,-0.41,0.04,2.41,2.98,38,252,15.08,45,235,80.85,3,9,8.8,9.2,2335,8.5,2507,0.903,4,48:23,48.2,"1,644",19.65,"1,066",12.74,634,7.58,432,5.16,3,935
26,Buffalo Sabres,26.4,82,33,37,12,78,0.476,199,231,2,6,-0.41,0.03,2.43,2.82,57,233,24.46,53,237,77.64,3,4,9,8.6,2491,8,2813,0.918,3,49:04,47.2,"1,872",22.53,"1,121",13.49,591,7.11,475,5.72,6,892
27,New Jersey Devils,28.1,82,28,40,14,70,0.427,180,241,3,3,-0.67,0.08,2.2,2.94,44,251,17.53,53,261,79.69,6,12,10,9.7,2279,7.9,2572,0.906,3,47:51,47.8,"1,661",19.98,"1,030",12.39,590,7.1,466,5.61,6,850
28,Arizona Coyotes,27.3,82,30,42,10,70,0.427,191,258,6,2,-0.76,0.01,2.33,3.15,38,235,16.17,59,260,77.31,8,7,9.9,8.6,2281,8.4,2797,0.908,3,48:29,45,"2,097",25.23,"1,215",14.62,555,6.68,403,4.85,4,946
29,Vancouver Canucks,28.8,82,30,43,9,69,0.421,178,241,4,2,-0.73,0.01,2.17,2.94,32,227,14.1,52,223,76.68,2,6,7.9,7.9,2273,7.8,2605,0.907,3,49:15,47.9,"1,471",17.72,"1,034",12.46,549,6.61,502,6.05,3,843
30,Colorado Avalanche,27.6,82,22,56,4,48,0.293,165,276,1,2,-1.32,0.05,2.01,3.37,30,239,12.55,64,274,76.64,5,2,9.4,8.2,2303,7.2,2603,0.894,3,47:56,48.5,"1,687",20.43,"1,076",13.03,543,6.57,598,7.24,5,911
