Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,Boston Bruins*,27.6,82,54,19,9,117,0.713,258,171,3,6,0.92,-0.11,3.15,2.09,50,230,21.74,43,263,83.65,9,6,10.8,10.1,2612,9.9,2385,0.928,9,48:30,53.9,"2,008",24.2,"1,051",12.66,587,7.07,552,6.65,14,987
2,Anaheim Ducks*,27.7,82,54,20,8,116,0.707,263,203,3,6,0.68,-0.01,3.21,2.48,44,275,16,48,270,82.22,10,8,10.9,12.6,2569,10.2,2353,0.914,6,46:57,50,"2,024",24.33,"1,242",14.93,648,7.79,447,5.37,8,"1,019"
3,Colorado Avalanche*,26.9,82,52,22,8,112,0.683,245,216,5,4,0.4,0.04,2.99,2.63,50,252,19.84,48,249,80.72,3,1,10.9,10.5,2420,10.1,2678,0.919,4,48:09,46.9,"2,034",24.39,"1,202",14.41,481,5.77,633,7.59,13,828
4,St. Louis Blues*,27.4,82,52,23,7,111,0.677,239,188,9,3,0.71,0.01,2.91,2.29,56,283,19.79,42,293,85.67,6,6,14.2,14.2,2402,10,2163,0.913,9,46:36,53.1,"1,839",22.06,"1,121",13.45,325,3.9,544,6.52,9,"1,026"
5,San Jose Sharks*,28.7,82,51,22,9,111,0.677,239,193,10,7,0.6,0,2.91,2.35,50,291,17.18,33,219,84.93,8,6,9,11.2,2851,8.4,2281,0.915,6,47:59,53.5,"1,632",19.5,"1,286",15.36,799,9.55,641,7.66,7,"1,148"
6,Pittsburgh Penguins*,28.3,82,51,24,7,109,0.665,242,204,7,3,0.47,-0.04,2.95,2.49,65,278,23.38,38,254,85.04,4,6,10.1,10.9,2454,9.9,2358,0.913,6,47:25,48.6,"2,162",26.01,"1,187",14.28,583,7.01,386,4.64,8,865
7,Chicago Blackhawks*,27.5,82,46,21,15,107,0.652,261,212,6,8,0.6,0.02,3.18,2.59,50,257,19.46,46,248,81.45,9,6,8.5,8.7,2715,9.6,2229,0.905,3,48:35,55.5,"1,373",16.45,"1,023",12.25,598,7.16,583,6.98,8,921
8,Tampa Bay Lightning*,27.1,82,46,27,9,101,0.616,232,209,8,6,0.25,-0.06,2.83,2.55,50,270,18.52,52,270,80.74,10,8,10.3,10.2,2446,9.5,2397,0.913,7,47:13,51,"1,641",19.64,"1,121",13.41,598,7.16,511,6.11,9,996
9,Montreal Canadiens*,28.3,82,46,28,8,100,0.61,209,201,6,3,0.08,-0.05,2.55,2.45,48,279,17.2,43,289,85.12,6,8,13,12.8,2330,9,2541,0.921,8,46:22,46.7,"1,722",20.7,"1,491",17.92,581,6.98,445,5.35,10,942
10,Los Angeles Kings*,27.4,82,46,28,8,100,0.61,198,168,8,6,0.4,0.01,2.41,2.05,43,284,15.14,50,296,83.11,5,6,10.7,11.1,2595,7.6,2148,0.922,13,46:16,56.8,"2,609",31.3,927,11.12,839,10.06,344,4.13,9,"1,188"
