Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,Chicago Blackhawks*,26.8,48,36,7,5,77,0.802,149,97,6,5,1.04,-0.07,3.1,2.02,25,150,16.67,18,141,87.23,5,5,9.2,10,1494,10,1258,0.923,7,47:54,54.1,840,17.11,652,13.28,331,6.74,466,9.49,4,500
2,Pittsburgh Penguins*,29,48,36,12,0,72,0.75,162,119,3,0,0.91,-0.05,3.38,2.48,42,170,24.71,34,167,79.64,2,3,11.7,12.1,1438,11.3,1403,0.915,5,46:58,49,"1,229",25.44,735,15.21,278,5.75,227,4.7,10,547
3,Anaheim Ducks*,28.8,48,30,12,6,66,0.688,134,115,6,3,0.43,-0.02,2.79,2.4,29,135,21.48,30,162,81.48,5,5,11.1,9.5,1347,9.9,1340,0.914,5,48:39,47.9,"1,149",23.48,776,15.85,362,7.39,280,5.72,9,524
4,Montreal Canadiens*,27.8,48,29,14,5,63,0.656,146,124,3,2,0.46,-0.02,3.04,2.58,42,203,20.69,35,173,79.77,0,2,13.3,14.9,1468,9.9,1293,0.904,4,45:35,52.9,"1,067",21.94,702,14.43,363,7.46,260,5.35,3,580
5,Boston Bruins*,27.8,48,28,14,6,62,0.646,127,106,4,3,0.44,-0.02,2.65,2.21,18,122,14.75,21,163,87.12,5,2,12.2,9.8,1557,8.2,1373,0.923,6,48:15,54.3,"1,200",24.63,650,13.34,386,7.92,278,5.71,7,611
6,St. Louis Blues*,26.3,48,29,17,2,60,0.625,124,114,5,1,0.31,0.02,2.58,2.38,29,149,19.46,23,150,84.67,3,5,11.1,11.3,1336,9.3,1161,0.902,7,47:41,52,"1,120",23.01,677,13.91,208,4.27,292,6,3,539
7,Vancouver Canucks*,28.2,48,26,15,7,59,0.615,122,115,5,6,0.07,-0.06,2.54,2.4,26,165,15.76,27,169,84.02,2,3,12.7,13.1,1350,9,1389,0.917,7,46:42,51.5,"1,020",20.79,566,11.53,323,6.58,324,6.6,6,563
8,Los Angeles Kings*,26.5,48,27,16,5,59,0.615,131,114,2,4,0.29,-0.02,2.73,2.38,33,166,19.88,27,161,83.23,2,1,10,10.6,1431,9.2,1198,0.905,2,47:28,56.3,"1,446",29.74,511,10.51,401,8.25,226,4.65,5,656
9,Washington Capitals*,26.6,48,27,18,3,57,0.594,146,130,3,0,0.31,-0.09,3.04,2.71,44,164,26.83,36,163,77.91,3,4,10.8,11.5,1350,10.8,1551,0.916,4,47:29,48.7,"1,091",22.5,765,15.78,378,7.79,307,6.33,3,553
10,Toronto Maple Leafs*,26,48,26,17,5,57,0.594,145,128,0,5,0.27,0.02,3.02,2.67,31,166,18.67,19,157,87.9,1,4,16.1,15.2,1264,11.5,1549,0.917,6,47:07,44.1,"1,626",33.51,826,17.02,520,10.72,329,6.78,5,547
11,San Jose Sharks*,28.9,48,25,16,7,57,0.594,116,112,8,4,0.17,0.01,2.42,2.33,34,169,20.12,22,147,85.03,3,4,10.9,11.2,1526,7.6,1390,0.919,5,47:50,51.3,"1,031",20.98,800,16.28,467,9.5,343,6.98,2,633
12,Detroit Red Wings*,28.2,48,24,16,8,56,0.583,122,110,2,5,0.2,0.01,2.54,2.29,34,185,18.38,30,164,81.71,3,5,9.8,11.5,1447,8.4,1322,0.917,5,46:46,53.6,865,17.73,560,11.47,350,7.17,285,5.84,4,612
13,New York Rangers*,27.2,48,26,18,4,56,0.583,126,108,4,4,0.38,0,2.63,2.25,24,153,15.69,28,148,81.08,5,4,9.3,10.1,1483,8.5,1353,0.92,2,48:19,52,"1,413",28.96,773,15.84,322,6.6,271,5.55,3,566
14,Ottawa Senators*,27.4,48,25,17,6,56,0.583,112,100,4,4,0.27,0.02,2.33,2.08,25,157,15.92,20,167,88.02,2,1,13.6,13.8,1591,7,1502,0.933,4,47:09,53.7,"1,307",26.76,616,12.61,374,7.65,312,6.39,7,598
15,Minnesota Wild*,27.8,48,26,19,3,55,0.573,118,125,4,2,-0.16,-0.05,2.46,2.6,27,151,17.88,26,135,80.74,1,0,11.4,11.8,1382,8.5,1299,0.904,3,48:08,49.8,956,19.65,614,12.61,284,5.84,261,5.36,3,494
16,Columbus Blue Jackets,26.3,48,24,17,7,55,0.573,115,115,5,4,0.03,0.01,2.4,2.4,22,155,14.19,25,144,82.64,3,2,12.6,12.8,1283,9,1436,0.92,4,47:41,47.1,"1,188",24.16,627,12.75,206,4.19,270,5.49,2,453
17,New York Islanders*,28.7,48,24,17,7,55,0.573,135,136,4,3,0.03,0.03,2.81,2.83,31,156,19.87,28,142,80.28,2,0,9.6,10.3,1485,9.1,1352,0.899,3,48:38,49.9,"1,018",20.87,766,15.7,449,9.2,381,7.81,8,526
18,Winnipeg Jets,26.4,48,24,21,3,51,0.531,126,141,2,3,-0.36,-0.03,2.63,2.94,20,145,13.79,28,138,79.71,1,3,11.1,10.5,1389,9.1,1424,0.901,1,48:48,49.5,"1,411",29.02,713,14.66,357,7.34,289,5.94,5,608
19,Phoenix Coyotes,28.4,48,21,18,9,51,0.531,121,125,4,6,-0.1,0.03,2.52,2.6,25,169,14.79,34,169,79.88,2,2,10.5,10.1,1482,8.2,1467,0.915,6,46:53,50.7,"1,260",25.67,689,14.03,221,4.5,302,6.15,4,602
20,Philadelphia Flyers,27.9,48,23,22,3,49,0.51,132,139,1,2,-0.14,0.03,2.75,2.9,37,171,21.64,26,184,85.87,2,3,15.7,15.6,1394,9.5,1371,0.899,1,45:40,47.6,"1,316",27.22,784,16.21,363,7.51,255,5.27,5,521
21,Buffalo Sabres,27.3,48,21,21,6,48,0.5,118,139,7,4,-0.31,0.07,2.46,2.9,23,163,14.11,37,178,79.21,7,7,13.1,12.4,1339,8.8,1606,0.913,1,46:30,45.1,"1,079",21.97,718,14.62,372,7.57,300,6.11,3,460
22,Dallas Stars,28.2,48,22,22,4,48,0.5,128,141,2,1,-0.21,0.05,2.67,2.94,29,171,16.96,34,179,81.01,2,3,13,13,1261,10.2,1489,0.905,1,46:24,48.9,"1,199",24.75,671,13.85,398,8.22,327,6.75,1,579
23,New Jersey Devils,30.8,48,19,19,10,48,0.5,110,122,2,7,-0.31,0.04,2.29,2.54,28,176,15.91,32,169,81.07,11,6,10.6,11.5,1363,8.1,1110,0.89,3,46:47,55.9,892,18.22,515,10.52,309,6.31,296,6.04,3,558
24,Edmonton Oilers,26.4,48,19,22,7,45,0.469,123,131,2,3,-0.22,-0.03,2.56,2.73,34,169,20.12,29,175,83.43,4,1,10.8,11.4,1285,9.6,1572,0.917,3,46:29,44.6,"1,060",21.75,754,15.47,446,9.15,307,6.3,4,482
25,Calgary Flames,29,48,19,25,4,42,0.438,128,157,0,3,-0.65,0.02,2.67,3.27,31,155,20,28,151,81.46,6,2,10.8,9.9,1293,9.9,1412,0.889,0,48:10,47.4,935,19.34,699,14.45,392,8.1,342,7.07,7,518
26,Carolina Hurricanes,26.9,48,19,25,4,42,0.438,127,159,1,1,-0.65,0.02,2.65,3.31,24,165,14.55,36,161,77.64,3,4,11.2,10.6,1545,8.2,1546,0.897,2,47:22,51.6,"1,100",22.77,667,13.81,315,6.52,425,8.79,8,642
27,Nashville Predators,27.3,48,16,23,9,41,0.427,109,133,2,6,-0.5,0.09,2.27,2.77,24,140,17.14,34,139,75.54,1,4,9.8,10.1,1244,8.8,1335,0.9,5,48:44,46.7,994,20.36,703,14.4,352,7.21,314,6.43,2,464
28,Tampa Bay Lightning,27.7,48,18,26,4,40,0.417,147,147,1,3,-0.11,-0.07,3.06,3.06,31,163,19.02,30,155,80.65,0,4,12,13,1323,11.1,1451,0.899,1,47:14,47.2,"1,105",22.83,680,14.05,376,7.77,316,6.53,4,503
29,Colorado Avalanche,26.7,48,16,25,7,39,0.406,114,150,2,2,-0.73,0.02,2.38,3.13,21,140,15,36,183,80.33,3,3,12.5,9.8,1415,8.1,1508,0.901,3,47:28,48.8,"1,241",25.41,783,16.03,328,6.71,405,8.29,2,508
30,Florida Panthers,27.8,48,15,27,6,36,0.375,109,170,3,1,-1.18,0.05,2.27,3.54,29,142,20.42,39,151,74.17,4,1,11.3,10.2,1400,7.8,1504,0.887,0,48:32,49.2,"1,110",22.85,605,12.45,273,5.62,307,6.32,6,505
