Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,Tampa Bay Lightning*,27.1,82,62,16,4,128,0.78,319,221,6,1,1.21,-0.05,3.89,2.7,74,262,28.24,40,267,85.02,12,3,9.5,9.4,2620,12.2,2633,0.916,6,47:37:00,51.6,"2,115",25.48,"1,125",13.55,674,8.12,571,6.88,16,982
2,Boston Bruins*,28.7,82,49,24,9,107,0.652,257,212,2,3,0.52,-0.01,3.13,2.59,65,251,25.9,49,244,79.92,7,15,9.7,9.9,2680,9.6,2416,0.912,9,48:37:00,53.1,"1,876",22.58,"1,050",12.64,780,9.39,715,8.61,13,"1,054"
3,Calgary Flames*,27.7,82,50,25,7,107,0.652,289,223,0,4,0.7,-0.06,3.52,2.72,53,275,19.27,50,246,79.67,18,7,8.5,9.8,2656,10.9,2302,0.903,3,47:35:00,53.8,"1,232",14.93,"1,033",12.52,"1,053",12.76,840,10.18,20,"1,037"
4,Washington Capitals*,28.8,82,48,26,8,104,0.634,274,248,4,1,0.35,-0.01,3.34,3.02,49,236,20.76,55,261,78.93,5,5,8.9,8.6,2492,11,2584,0.904,4,47:51:00,49,"1,885",22.72,"1,234",14.87,906,10.92,688,8.29,16,"1,074"
5,New York Islanders*,28.4,82,48,27,7,103,0.628,223,191,5,5,0.38,-0.01,2.72,2.33,33,227,14.54,44,219,79.91,6,1,7.9,7.7,2360,9.4,2534,0.925,11,49:10:00,47.9,"2,031",24.45,"1,295",15.59,890,10.71,556,6.69,15,869
6,San Jose Sharks*,29.4,82,46,27,9,101,0.616,289,258,0,3,0.3,-0.04,3.52,3.15,57,241,23.65,45,234,80.77,9,9,9.1,9.4,2708,10.7,2323,0.889,5,48:41:00,54.9,"1,575",19.04,"1,077",13.02,801,9.68,745,9.01,12,"1,107"
7,Toronto Maple Leafs*,27.5,82,46,28,8,100,0.61,286,249,0,2,0.42,-0.01,3.49,3.04,46,211,21.8,41,204,79.9,5,9,6.1,6.7,2736,10.5,2717,0.908,3,49:44:00,51.7,"1,421",17.19,"1,113",13.47,939,11.36,695,8.41,14,"1,238"
8,Pittsburgh Penguins*,28.4,82,44,26,12,100,0.61,271,238,2,3,0.38,-0.01,3.3,2.9,56,228,24.56,45,222,79.73,12,15,8.4,8,2731,9.9,2729,0.913,7,49:05:00,49.7,"2,363",28.46,"1,229",14.8,804,9.68,633,7.62,13,912
9,Nashville Predators*,28.9,82,47,29,6,100,0.61,236,212,4,2,0.31,-0.01,2.88,2.59,33,255,12.94,45,251,82.07,8,8,8.4,9.4,2677,8.8,2460,0.914,7,47:35:00,52.3,"1,492",18.02,"1,079",13.03,793,9.58,628,7.59,20,"1,017"
10,Winnipeg Jets*,26.6,82,47,30,5,99,0.604,270,243,2,1,0.33,-0.02,3.29,2.96,62,250,24.8,52,250,79.2,10,7,9.3,8.7,2557,10.6,2741,0.911,3,48:13:00,49,"1,841",22.24,"1,187",14.34,700,8.45,623,7.52,19,972
11,Carolina Hurricanes*,26.8,82,46,29,7,99,0.604,243,221,2,2,0.26,-0.01,2.96,2.7,44,247,17.81,44,239,81.59,8,8,7.5,8.7,2822,8.6,2343,0.906,6,48:21:00,54.8,"2,073",25.08,"1,044",12.63,865,10.47,889,10.76,20,"1,214"
12,St. Louis Blues*,28,82,45,28,9,99,0.604,244,220,3,3,0.28,-0.01,2.98,2.68,50,237,21.1,43,232,81.47,5,7,7.6,8.2,2604,9.4,2345,0.906,9,48:36:00,51.5,"1,615",19.45,"1,138",13.71,555,6.69,688,8.29,9,927
13,Columbus Blue Jackets*,26.6,82,47,31,4,98,0.598,256,231,2,1,0.31,-0.01,3.12,2.82,34,221,15.38,30,200,85,8,6,6.2,6.8,2592,9.9,2418,0.904,9,49:45:00,50.2,"1,741",21.09,"1,076",13.03,588,7.12,620,7.51,15,974
14,Montreal Canadiens,27.9,82,44,30,8,96,0.585,246,236,3,0,0.16,0,3,2.88,31,234,13.25,46,241,80.91,5,4,8.3,8.3,2796,8.8,2548,0.907,4,48:31:00,54.1,"2,203",26.66,"1,170",14.16,966,11.69,605,7.32,14,"1,036"
15,Vegas Golden Knights*,29.2,82,43,32,7,93,0.567,246,228,3,2,0.19,-0.04,3,2.78,39,232,16.81,44,230,80.87,11,2,7.1,7.2,2814,8.7,2399,0.905,9,48:56:00,54.4,"2,268",27.44,"1,118",13.53,711,8.6,900,10.89,14,"1,069"
16,Dallas Stars*,28.3,82,43,32,7,93,0.567,209,200,1,2,0.09,0,2.55,2.44,45,214,21.03,41,238,82.77,4,2,7.7,7.3,2519,8.3,2591,0.923,10,49:03:00,48.3,"1,820",22,"1,291",15.61,973,11.76,574,6.94,12,855
17,Colorado Avalanche*,27,82,38,30,14,90,0.549,258,244,2,2,0.17,-0.01,3.15,2.98,63,286,22.03,58,272,78.68,9,5,9.4,9.6,2676,9.6,2619,0.907,5,46:52:00,49.9,"1,699",20.5,"1,324",15.97,570,6.88,537,6.48,17,871
18,Arizona Coyotes,27.2,82,39,35,8,86,0.524,209,220,4,3,-0.14,-0.02,2.55,2.68,42,258,16.28,34,226,84.96,16,9,7.1,8.2,2522,8.3,2526,0.913,6,48:14:00,48.9,"2,028",24.43,"1,298",15.63,676,8.14,582,7.01,12,"1,006"
19,Florida Panthers,28,82,36,32,14,86,0.524,264,273,3,7,-0.14,0.02,3.22,3.33,72,269,26.77,43,230,81.3,3,13,8.4,9.2,2705,9.8,2516,0.891,1,48:19:00,49.4,"1,901",22.81,"1,138",13.65,"1,187",14.25,749,8.99,12,956
20,Chicago Blackhawks,28.5,82,36,34,12,84,0.512,267,291,3,1,-0.25,0.02,3.26,3.55,48,238,20.17,63,231,72.73,6,7,7.3,7.1,2669,10,2852,0.898,2,49:06:00,49.3,"1,350",16.26,"1,115",13.44,726,8.75,616,7.42,13,841
21,Minnesota Wild,29.5,82,37,36,9,83,0.506,210,233,1,4,-0.3,0.02,2.56,2.84,49,241,20.33,44,240,81.67,5,4,8,8.5,2567,8.2,2419,0.904,2,48:20:00,50.9,"1,602",19.35,"1,221",14.75,451,5.44,568,6.86,12,963
22,Philadelphia Flyers,26.6,82,37,37,8,82,0.5,241,280,3,1,-0.42,0.03,2.94,3.41,40,234,17.09,51,237,78.48,4,11,8.9,8.3,2583,9.3,2665,0.895,3,48:22:00,48.5,"1,755",21.21,"1,277",15.43,776,9.38,490,5.92,14,969
23,Vancouver Canucks,26.9,82,35,36,11,81,0.494,219,248,6,6,-0.35,0.01,2.67,3.02,43,251,17.13,48,254,81.1,7,8,8.8,8.7,2433,9,2597,0.905,1,48:12:00,47.9,"1,798",21.53,"1,233",14.76,558,6.68,535,6.4,13,962
24,Anaheim Ducks,27.5,82,35,37,10,80,0.488,196,248,3,3,-0.63,0.01,2.39,3.02,36,212,16.98,55,271,79.7,5,10,9,7.2,2271,8.6,2725,0.909,4,48:23:00,47.6,"1,899",22.91,"1,196",14.43,884,10.67,564,6.8,8,"1,006"
25,Edmonton Oilers,27.2,82,35,38,9,79,0.482,229,271,3,3,-0.51,0.01,2.79,3.3,47,222,21.17,62,246,74.8,10,7,9.2,7.7,2392,9.6,2599,0.896,5,49:11:00,48,"2,192",26.47,"1,174",14.18,918,11.08,664,8.02,6,888
26,New York Rangers,27.4,82,32,36,14,78,0.476,221,267,6,5,-0.52,0.03,2.7,3.26,44,227,19.38,58,266,78.2,7,4,10.4,8.5,2393,9.2,2774,0.904,2,48:08:00,46.1,"2,128",25.52,"1,213",14.55,986,11.82,667,8,10,855
27,Buffalo Sabres,26.6,82,33,39,10,76,0.463,221,268,5,3,-0.51,0.04,2.7,3.27,46,236,19.49,41,215,80.93,3,9,7,7.5,2697,8.2,2704,0.901,2,49:06:00,50,"1,565",18.8,"1,003",12.05,729,8.76,503,6.04,7,961
28,Detroit Red Wings,29.3,82,32,40,10,74,0.451,224,272,3,5,-0.57,0.04,2.73,3.32,39,216,18.06,56,245,77.14,7,7,7.9,7.3,2394,9.4,2761,0.901,2,49:05:00,47.1,"1,749",21,"1,103",13.24,991,11.9,473,5.68,9,897
