homeTeam,awayTeam,homeAbbrev,awayAbbrev,GamePK,year,Winner,F_home_assists,F_home_goals,F_home_pim,F_home_shots,F_home_blocked,F_home_pm,D_home_assists,D_home_goals,D_home_pim,D_home_shots,D_home_blocked,D_home_hits,D_home_pm,G_home_GAA,F_away_assists,F_away_goals,F_away_pim,F_away_shots,F_away_blocked,F_away_hits,F_away_pm,D_away_assists,D_away_goals,D_away_pim,D_away_shots,D_away_blocked,D_away_hits,D_away_pm,G_away_GAA,F_home_hits,Rk_H,AvAge_H,GP_H,W_H,L_H,OL_H,PTS_H,PTS%_H,GF_H,GA_H,SOW_H,SOL_H,SRS_H,SOS_H,GF/G_H,GA/G_H,PP_H,PPO_H,PP%_H,PPA_H,PPOA_H,PK%_H,SH_H,SHA_H,PIM/G_H,oPIM/G_H,S_H,S%_H,SA_H,SV%_H,SO_H,Hits_H,Hits/60_H,BkS_H,BkS/60_H,GvA_H,GvA/60_H,TkA_H,TkA/60_H,ENG_H,MsS_H,5v5 TOI/GP_H,SAT%_H,Playoffs%_H,Playoffs_H,WonCup_H,TA/GA_H,Rk_A,AvAge_A,GP_A,W_A,L_A,OL_A,PTS_A,PTS%_A,GF_A,GA_A,SOW_A,SOL_A,SRS_A,SOS_A,GF/G_A,GA/G_A,PP_A,PPO_A,PP%_A,PPA_A,PPOA_A,PK%_A,SH_A,SHA_A,PIM/G_A,oPIM/G_A,S_A,S%_A,SA_A,SV%_A,SO_A,Hits_A,Hits/60_A,BkS_A,BkS/60_A,GvA_A,GvA/60_A,TkA_A,TkA/60_A,ENG_A,MsS_A,5v5 TOI/GP_A,SAT%_A,Playoffs%_A,Playoffs_A,WonCup_A,TA/GA_A
Detroit Red Wings,Anaheim Ducks,DET,ANA,2008030231,2008,0.0,1.332421524,0.967279461,2.012403184,9.203385,1.047282716,0.299904434,0.986381326,0.263009279,1.713699973,4.639097785,2.611756575,3.378487631,0.176766523,3.087073,1.168412417,0.780818661,3.887089174,7.661686055,1.248450596,4.540740713,0.059867801,0.859016439,0.201667166,2.203196321,4.03814674,3.29265437,3.51372925,0.224911673,2.389092,4.285587668,3,31.2,82,0.6219512195121951,0.25609756097560976,10,112,0.683,3.524390243902439,2.926829268292683,6,4,0.62,0.0,3.52,2.93,90,353,25.5,71,327,78.29,6,4,10.0,10.9,36.15853658536585,9.7,27.73170731707317,0.894,8.0,1480,17.79,741,8.91,548,6.58,445,5.35,9,13.024390243902438,49.55,56.59,0.9375,d,0,0.8130699088145896,17,29.2,82,0.5121951219512195,0.4024390243902439,7,91,0.555,2.902439024390244,2.8658536585365852,7,3,0.09,0.0,2.9,2.87,73,309,23.62,78,385,79.74,6,8,17.4,15.4,30.25609756097561,9.6,30.475609756097562,0.906,6.0,1758,21.15,801,9.63,653,7.86,476,5.72,4,12.0,43.6,49.82,0.4375,b,0,0.727735368956743
Boston Bruins,Carolina Hurricanes,BOS,CAR,2008030211,2008,0.0,1.41170673,0.928262781,2.529301738,7.360271175,1.577275744,0.631874597,0.842070619,0.286071561,2.772363381,4.353306943,4.187043113,4.070783302,0.74292892,2.098921,1.006827941,0.704349884,1.760759082,7.291374446,1.81221956,5.136995091,-0.12275537,0.722870934,0.216882135,2.084998241,4.194342633,4.429529833,3.773177858,-0.317435131,2.443961,4.998875012,2,28.4,82,0.6463414634146342,0.23170731707317074,10,116,0.707,3.292682926829268,2.317073170731707,4,6,0.89,-0.06,3.29,2.32,74,313,23.64,54,306,82.35,8,7,12.5,12.8,30.26829268292683,10.9,30.78048780487805,0.925,7.0,1825,21.96,1072,12.9,463,5.57,498,5.99,12,11.170731707317072,47.35,49.58,0.4375,b,0,1.0754039497307002,11,27.9,82,0.5487804878048781,0.36585365853658536,7,97,0.591,2.8780487804878048,2.6951219512195124,3,5,0.11,-0.05,2.88,2.7,70,374,18.72,59,301,80.4,8,9,9.8,12.5,32.6219512195122,8.8,29.5,0.909,6.0,1716,20.65,1194,14.37,468,5.63,665,8.0,7,13.207317073170731,48.85,52.51,0.5,c,0,1.4209591474245116
Washington Capitals,Pittsburgh Penguins,WSH,PIT,2008030221,2008,0.0,1.36765603,0.883353568,2.781243391,8.549327336,1.407100593,0.137849604,0.697071143,0.321894485,2.438049832,3.96543898,4.657484209,4.327905065,0.313503838,2.374068,1.37058174,0.93300583,3.374449224,7.9419491,1.556032365,5.086775609,0.189459989,0.669571688,0.244550978,2.053544464,3.637238287,5.714052866,4.673793128,0.391450196,2.669608,3.940657758,4,27.2,82,0.6097560975609756,0.2926829268292683,8,108,0.659,3.268292682926829,2.926829268292683,4,5,0.27,-0.06,3.27,2.93,85,337,25.22,75,387,80.62,7,11,12.7,11.4,33.5,9.8,29.48780487804878,0.901,2.0,1662,20.0,1111,13.37,947,11.39,766,9.22,16,12.914634146341463,47.95,53.18,0.4375,b,0,0.8094820017559262,8,26.6,82,0.5487804878048781,0.34146341463414637,9,99,0.604,3.1463414634146343,2.841463414634146,6,6,0.28,-0.02,3.15,2.84,62,360,17.22,60,347,82.71,7,13,13.6,14.2,29.036585365853657,10.8,30.29268292682927,0.906,4.0,1939,23.22,1280,15.33,607,7.27,466,5.58,9,11.25609756097561,46.1,48.94,1.0,e,1,0.7675378266850069
Vancouver Canucks,Chicago Blackhawks,VAN,CHI,2008030242,2008,1.0,1.181894411,0.881003404,2.907115934,6.866378911,1.901641137,0.259319049,0.793076336,0.193676792,3.8110849,3.945564203,3.622189763,3.98511661,0.2932638,2.338826,1.025631823,0.810435462,3.349231575,7.336547453,1.119788074,3.996305152,0.36636192,0.885899636,0.266027934,2.369145257,4.52022331,3.184771392,3.867863026,0.545534894,2.807234393,3.22135892,7,27.9,82,0.5487804878048781,0.32926829268292684,10,100,0.61,2.9634146341463414,2.597560975609756,3,7,0.3,-0.02,2.96,2.6,67,357,18.77,69,371,81.4,7,5,16.5,16.3,28.475609756097562,10.4,29.170731707317074,0.911,10.0,1315,15.81,993,11.94,626,7.52,577,6.94,8,11.573170731707316,43.6,49.4,0.375,b,0,0.922872340425532,6,25.9,82,0.5609756097560976,0.2926829268292683,12,104,0.634,3.1707317073170733,2.548780487804878,4,7,0.6,0.01,3.17,2.55,70,363,19.28,64,330,80.61,10,6,14.1,15.2,32.71951219512195,9.7,28.585365853658537,0.911,6.0,1519,18.24,846,10.16,395,4.74,488,5.86,16,10.524390243902438,45.35,53.37,0.5625,c,0,1.2362869198312236
Detroit Red Wings,Anaheim Ducks,DET,ANA,2008030232,2008,1.0,1.332421524,0.967279461,2.012403184,9.203385,1.047282716,0.299904434,0.986381326,0.263009279,1.713699973,4.639097785,2.611756575,3.378487631,0.176766523,3.087073,1.168412417,0.780818661,3.887089174,7.661686055,1.248450596,4.540740713,0.059867801,0.859016439,0.201667166,2.203196321,4.03814674,3.29265437,3.51372925,0.224911673,2.389092,4.285587668,3,31.2,82,0.6219512195121951,0.25609756097560976,10,112,0.683,3.524390243902439,2.926829268292683,6,4,0.62,0.0,3.52,2.93,90,353,25.5,71,327,78.29,6,4,10.0,10.9,36.15853658536585,9.7,27.73170731707317,0.894,8.0,1480,17.79,741,8.91,548,6.58,445,5.35,9,13.024390243902438,49.55,56.59,0.9375,d,0,0.8130699088145896,17,29.2,82,0.5121951219512195,0.4024390243902439,7,91,0.555,2.902439024390244,2.8658536585365852,7,3,0.09,0.0,2.9,2.87,73,309,23.62,78,385,79.74,6,8,17.4,15.4,30.25609756097561,9.6,30.475609756097562,0.906,6.0,1758,21.15,801,9.63,653,7.86,476,5.72,4,12.0,43.6,49.82,0.4375,b,0,0.727735368956743
Boston Bruins,Carolina Hurricanes,BOS,CAR,2008030212,2008,1.0,1.41170673,0.928262781,2.529301738,7.360271175,1.577275744,0.631874597,0.842070619,0.286071561,2.772363381,4.353306943,4.187043113,4.070783302,0.74292892,2.098921,1.006827941,0.704349884,1.760759082,7.291374446,1.81221956,5.136995091,-0.12275537,0.722870934,0.216882135,2.084998241,4.194342633,4.429529833,3.773177858,-0.317435131,2.443961,4.998875012,2,28.4,82,0.6463414634146342,0.23170731707317074,10,116,0.707,3.292682926829268,2.317073170731707,4,6,0.89,-0.06,3.29,2.32,74,313,23.64,54,306,82.35,8,7,12.5,12.8,30.26829268292683,10.9,30.78048780487805,0.925,7.0,1825,21.96,1072,12.9,463,5.57,498,5.99,12,11.170731707317072,47.35,49.58,0.4375,b,0,1.0754039497307002,11,27.9,82,0.5487804878048781,0.36585365853658536,7,97,0.591,2.8780487804878048,2.6951219512195124,3,5,0.11,-0.05,2.88,2.7,70,374,18.72,59,301,80.4,8,9,9.8,12.5,32.6219512195122,8.8,29.5,0.909,6.0,1716,20.65,1194,14.37,468,5.63,665,8.0,7,13.207317073170731,48.85,52.51,0.5,c,0,1.4209591474245116
Washington Capitals,Pittsburgh Penguins,WSH,PIT,2008030222,2008,0.0,1.36765603,0.883353568,2.781243391,8.549327336,1.407100593,0.137849604,0.650601954,0.279002306,2.13474155,3.598068513,4.98287611,4.128462234,0.289532943,2.374068,1.37058174,0.93300583,3.374449224,7.9419491,1.556032365,5.086775609,0.189459989,0.669571688,0.244550978,2.053544464,3.637238287,5.714052866,4.673793128,0.391450196,2.669608,3.940657758,4,27.2,82,0.6097560975609756,0.2926829268292683,8,108,0.659,3.268292682926829,2.926829268292683,4,5,0.27,-0.06,3.27,2.93,85,337,25.22,75,387,80.62,7,11,12.7,11.4,33.5,9.8,29.48780487804878,0.901,2.0,1662,20.0,1111,13.37,947,11.39,766,9.22,16,12.914634146341463,47.95,53.18,0.4375,b,0,0.8094820017559262,8,26.6,82,0.5487804878048781,0.34146341463414637,9,99,0.604,3.1463414634146343,2.841463414634146,6,6,0.28,-0.02,3.15,2.84,62,360,17.22,60,347,82.71,7,13,13.6,14.2,29.036585365853657,10.8,30.29268292682927,0.906,4.0,1939,23.22,1280,15.33,607,7.27,466,5.58,9,11.25609756097561,46.1,48.94,1.0,e,1,0.7675378266850069
Chicago Blackhawks,Vancouver Canucks,CHI,VAN,2008030243,2008,1.0,1.025631823,0.810435462,3.349231575,7.336547453,1.119788074,0.36636192,0.885899636,0.266027934,2.369145257,4.52022331,3.184771392,3.867863026,0.545534894,2.807234393,1.181894411,0.881003404,2.907115934,6.866378911,1.901641137,3.22135892,0.259319049,0.793076336,0.193676792,3.8110849,3.945564203,3.622189763,3.98511661,0.2932638,2.338826,3.996305152,6,25.9,82,0.5609756097560976,0.2926829268292683,12,104,0.634,3.1707317073170733,2.548780487804878,4,7,0.6,0.01,3.17,2.55,70,363,19.28,64,330,80.61,10,6,14.1,15.2,32.71951219512195,9.7,28.585365853658537,0.911,6.0,1519,18.24,846,10.16,395,4.74,488,5.86,16,10.524390243902438,45.35,53.37,0.5625,c,0,1.2362869198312236,7,27.9,82,0.5487804878048781,0.32926829268292684,10,100,0.61,2.9634146341463414,2.597560975609756,3,7,0.3,-0.02,2.96,2.6,67,357,18.77,69,371,81.4,7,5,16.5,16.3,28.475609756097562,10.4,29.170731707317074,0.911,10.0,1315,15.81,993,11.94,626,7.52,577,6.94,8,11.573170731707316,43.6,49.4,0.375,b,0,0.922872340425532
Anaheim Ducks,Detroit Red Wings,ANA,DET,2008030233,2008,0.0,1.168412417,0.780818661,3.887089174,7.661686055,1.248450596,0.059867801,0.859016439,0.201667166,2.203196321,4.03814674,3.29265437,3.51372925,0.224911673,2.389092,1.332421524,0.967279461,2.012403184,9.203385,1.047282716,4.285587668,0.299904434,0.986381326,0.263009279,1.713699973,4.639097785,2.611756575,3.378487631,0.176766523,3.087073,4.540740713,17,29.2,82,0.5121951219512195,0.4024390243902439,7,91,0.555,2.902439024390244,2.8658536585365852,7,3,0.09,0.0,2.9,2.87,73,309,23.62,78,385,79.74,6,8,17.4,15.4,30.25609756097561,9.6,30.475609756097562,0.906,6.0,1758,21.15,801,9.63,653,7.86,476,5.72,4,12.0,43.6,49.82,0.4375,b,0,0.727735368956743,3,31.2,82,0.6219512195121951,0.25609756097560976,10,112,0.683,3.524390243902439,2.926829268292683,6,4,0.62,0.0,3.52,2.93,90,353,25.5,71,327,78.29,6,4,10.0,10.9,36.15853658536585,9.7,27.73170731707317,0.894,8.0,1480,17.79,741,8.91,548,6.58,445,5.35,9,13.024390243902438,49.55,56.59,0.9375,d,0,0.8130699088145896
Pittsburgh Penguins,Washington Capitals,PIT,WSH,2008030223,2008,0.0,1.37058174,0.93300583,3.374449224,7.9419491,1.556032365,0.189459989,0.669571688,0.244550978,2.053544464,3.637238287,5.714052866,4.673793128,0.391450196,2.669608,1.36765603,0.883353568,2.781243391,8.549327336,1.407100593,3.940657758,0.137849604,0.650601954,0.279002306,2.13474155,3.598068513,4.98287611,4.128462234,0.289532943,2.374068,5.086775609,8,26.6,82,0.5487804878048781,0.34146341463414637,9,99,0.604,3.1463414634146343,2.841463414634146,6,6,0.28,-0.02,3.15,2.84,62,360,17.22,60,347,82.71,7,13,13.6,14.2,29.036585365853657,10.8,30.29268292682927,0.906,4.0,1939,23.22,1280,15.33,607,7.27,466,5.58,9,11.25609756097561,46.1,48.94,1.0,e,1,0.7675378266850069,4,27.2,82,0.6097560975609756,0.2926829268292683,8,108,0.659,3.268292682926829,2.926829268292683,4,5,0.27,-0.06,3.27,2.93,85,337,25.22,75,387,80.62,7,11,12.7,11.4,33.5,9.8,29.48780487804878,0.901,2.0,1662,20.0,1111,13.37,947,11.39,766,9.22,16,12.914634146341463,47.95,53.18,0.4375,b,0,0.8094820017559262
Carolina Hurricanes,Boston Bruins,CAR,BOS,2008030213,2008,0.0,1.006827941,0.704349884,1.760759082,7.291374446,1.81221956,-0.12275537,0.722870934,0.216882135,2.084998241,4.194342633,4.429529833,3.773177858,-0.317435131,2.443961,1.41170673,0.928262781,2.529301738,7.360271175,1.577275744,4.998875012,0.631874597,0.842070619,0.286071561,2.772363381,4.353306943,4.187043113,4.070783302,0.74292892,2.098921,5.136995091,11,27.9,82,0.5487804878048781,0.36585365853658536,7,97,0.591,2.8780487804878048,2.6951219512195124,3,5,0.11,-0.05,2.88,2.7,70,374,18.72,59,301,80.4,8,9,9.8,12.5,32.6219512195122,8.8,29.5,0.909,6.0,1716,20.65,1194,14.37,468,5.63,665,8.0,7,13.207317073170731,48.85,52.51,0.5,c,0,1.4209591474245116,2,28.4,82,0.6463414634146342,0.23170731707317074,10,116,0.707,3.292682926829268,2.317073170731707,4,6,0.89,-0.06,3.29,2.32,74,313,23.64,54,306,82.35,8,7,12.5,12.8,30.26829268292683,10.9,30.78048780487805,0.925,7.0,1825,21.96,1072,12.9,463,5.57,498,5.99,12,11.170731707317072,47.35,49.58,0.4375,b,0,1.0754039497307002
Chicago Blackhawks,Vancouver Canucks,CHI,VAN,2008030244,2008,0.0,1.025631823,0.810435462,3.349231575,7.336547453,1.119788074,0.36636192,0.885899636,0.266027934,2.369145257,4.52022331,3.184771392,3.867863026,0.545534894,2.807234393,1.181894411,0.881003404,2.907115934,6.866378911,1.901641137,3.22135892,0.259319049,0.793076336,0.193676792,3.8110849,3.945564203,3.622189763,3.98511661,0.2932638,2.338826,3.996305152,6,25.9,82,0.5609756097560976,0.2926829268292683,12,104,0.634,3.1707317073170733,2.548780487804878,4,7,0.6,0.01,3.17,2.55,70,363,19.28,64,330,80.61,10,6,14.1,15.2,32.71951219512195,9.7,28.585365853658537,0.911,6.0,1519,18.24,846,10.16,395,4.74,488,5.86,16,10.524390243902438,45.35,53.37,0.5625,c,0,1.2362869198312236,7,27.9,82,0.5487804878048781,0.32926829268292684,10,100,0.61,2.9634146341463414,2.597560975609756,3,7,0.3,-0.02,2.96,2.6,67,357,18.77,69,371,81.4,7,5,16.5,16.3,28.475609756097562,10.4,29.170731707317074,0.911,10.0,1315,15.81,993,11.94,626,7.52,577,6.94,8,11.573170731707316,43.6,49.4,0.375,b,0,0.922872340425532
Anaheim Ducks,Detroit Red Wings,ANA,DET,2008030234,2008,1.0,1.168412417,0.780818661,3.887089174,7.661686055,1.248450596,0.059867801,0.859016439,0.201667166,2.203196321,4.03814674,3.29265437,3.51372925,0.224911673,2.742484274,1.332421524,0.967279461,2.012403184,9.203385,1.047282716,4.285587668,0.299904434,0.986381326,0.263009279,1.713699973,4.639097785,2.611756575,3.378487631,0.176766523,3.087073,4.540740713,17,29.2,82,0.5121951219512195,0.4024390243902439,7,91,0.555,2.902439024390244,2.8658536585365852,7,3,0.09,0.0,2.9,2.87,73,309,23.62,78,385,79.74,6,8,17.4,15.4,30.25609756097561,9.6,30.475609756097562,0.906,6.0,1758,21.15,801,9.63,653,7.86,476,5.72,4,12.0,43.6,49.82,0.4375,b,0,0.727735368956743,3,31.2,82,0.6219512195121951,0.25609756097560976,10,112,0.683,3.524390243902439,2.926829268292683,6,4,0.62,0.0,3.52,2.93,90,353,25.5,71,327,78.29,6,4,10.0,10.9,36.15853658536585,9.7,27.73170731707317,0.894,8.0,1480,17.79,741,8.91,548,6.58,445,5.35,9,13.024390243902438,49.55,56.59,0.9375,d,0,0.8130699088145896
Pittsburgh Penguins,Washington Capitals,PIT,WSH,2008030224,2008,0.0,1.37058174,0.93300583,3.374449224,7.9419491,1.556032365,0.189459989,0.669571688,0.244550978,2.053544464,3.637238287,5.714052866,4.673793128,0.391450196,2.669608,1.319793317,0.852439583,2.868100875,8.710609511,1.357857472,4.263225683,-0.143260098,0.681336335,0.301672066,2.383165487,3.65025968,4.908316336,4.355095224,0.340090774,2.374068,5.086775609,8,26.6,82,0.5487804878048781,0.34146341463414637,9,99,0.604,3.1463414634146343,2.841463414634146,6,6,0.28,-0.02,3.15,2.84,62,360,17.22,60,347,82.71,7,13,13.6,14.2,29.036585365853657,10.8,30.29268292682927,0.906,4.0,1939,23.22,1280,15.33,607,7.27,466,5.58,9,11.25609756097561,46.1,48.94,1.0,e,1,0.7675378266850069,4,27.2,82,0.6097560975609756,0.2926829268292683,8,108,0.659,3.268292682926829,2.926829268292683,4,5,0.27,-0.06,3.27,2.93,85,337,25.22,75,387,80.62,7,11,12.7,11.4,33.5,9.8,29.48780487804878,0.901,2.0,1662,20.0,1111,13.37,947,11.39,766,9.22,16,12.914634146341463,47.95,53.18,0.4375,b,0,0.8094820017559262
Carolina Hurricanes,Boston Bruins,CAR,BOS,2008030214,2008,0.0,1.006827941,0.704349884,1.760759082,7.291374446,1.81221956,-0.12275537,0.722870934,0.216882135,2.084998241,4.194342633,4.429529833,3.773177858,-0.317435131,2.443961,1.41170673,0.928262781,2.529301738,7.360271175,1.577275744,4.998875012,0.631874597,0.842070619,0.286071561,2.772363381,4.353306943,4.187043113,4.070783302,0.74292892,2.098921,5.136995091,11,27.9,82,0.5487804878048781,0.36585365853658536,7,97,0.591,2.8780487804878048,2.6951219512195124,3,5,0.11,-0.05,2.88,2.7,70,374,18.72,59,301,80.4,8,9,9.8,12.5,32.6219512195122,8.8,29.5,0.909,6.0,1716,20.65,1194,14.37,468,5.63,665,8.0,7,13.207317073170731,48.85,52.51,0.5,c,0,1.4209591474245116,2,28.4,82,0.6463414634146342,0.23170731707317074,10,116,0.707,3.292682926829268,2.317073170731707,4,6,0.89,-0.06,3.29,2.32,74,313,23.64,54,306,82.35,8,7,12.5,12.8,30.26829268292683,10.9,30.78048780487805,0.925,7.0,1825,21.96,1072,12.9,463,5.57,498,5.99,12,11.170731707317072,47.35,49.58,0.4375,b,0,1.0754039497307002
Washington Capitals,Pittsburgh Penguins,WSH,PIT,2008030225,2008,1.0,1.319793317,0.852439583,2.868100875,8.710609511,1.357857472,-0.143260098,0.681336335,0.301672066,2.383165487,3.65025968,4.908316336,4.355095224,0.340090774,2.374068,1.37058174,0.93300583,3.374449224,7.9419491,1.556032365,5.086775609,0.189459989,0.709645913,0.266581155,1.951838365,3.72943229,5.468403787,4.388819928,0.388322945,2.669608,4.263225683,4,27.2,82,0.6097560975609756,0.2926829268292683,8,108,0.659,3.268292682926829,2.926829268292683,4,5,0.27,-0.06,3.27,2.93,85,337,25.22,75,387,80.62,7,11,12.7,11.4,33.5,9.8,29.48780487804878,0.901,2.0,1662,20.0,1111,13.37,947,11.39,766,9.22,16,12.914634146341463,47.95,53.18,0.4375,b,0,0.8094820017559262,8,26.6,82,0.5487804878048781,0.34146341463414637,9,99,0.604,3.1463414634146343,2.841463414634146,6,6,0.28,-0.02,3.15,2.84,62,360,17.22,60,347,82.71,7,13,13.6,14.2,29.036585365853657,10.8,30.29268292682927,0.906,4.0,1939,23.22,1280,15.33,607,7.27,466,5.58,9,11.25609756097561,46.1,48.94,1.0,e,1,0.7675378266850069
Vancouver Canucks,Chicago Blackhawks,VAN,CHI,2008030245,2008,1.0,1.181894411,0.881003404,2.907115934,6.866378911,1.901641137,0.259319049,0.793076336,0.193676792,3.8110849,3.945564203,3.622189763,3.98511661,0.2932638,2.338826,1.025631823,0.810435462,3.349231575,7.336547453,1.119788074,3.996305152,0.36636192,0.885899636,0.266027934,2.369145257,4.52022331,3.184771392,3.867863026,0.545534894,2.807234393,3.22135892,7,27.9,82,0.5487804878048781,0.32926829268292684,10,100,0.61,2.9634146341463414,2.597560975609756,3,7,0.3,-0.02,2.96,2.6,67,357,18.77,69,371,81.4,7,5,16.5,16.3,28.475609756097562,10.4,29.170731707317074,0.911,10.0,1315,15.81,993,11.94,626,7.52,577,6.94,8,11.573170731707316,43.6,49.4,0.375,b,0,0.922872340425532,6,25.9,82,0.5609756097560976,0.2926829268292683,12,104,0.634,3.1707317073170733,2.548780487804878,4,7,0.6,0.01,3.17,2.55,70,363,19.28,64,330,80.61,10,6,14.1,15.2,32.71951219512195,9.7,28.585365853658537,0.911,6.0,1519,18.24,846,10.16,395,4.74,488,5.86,16,10.524390243902438,45.35,53.37,0.5625,c,0,1.2362869198312236
Detroit Red Wings,Anaheim Ducks,DET,ANA,2008030235,2008,0.0,1.3199235,1.019875839,2.360764548,8.836881581,1.007526374,0.366673536,0.986381326,0.263009279,1.713699973,4.639097785,2.611756575,3.378487631,0.176766523,3.59442038,1.168412417,0.780818661,3.887089174,7.661686055,1.248450596,4.540740713,0.059867801,0.859016439,0.201667166,2.203196321,4.03814674,3.29265437,3.51372925,0.224911673,2.389092,4.966124463,3,31.2,82,0.6219512195121951,0.25609756097560976,10,112,0.683,3.524390243902439,2.926829268292683,6,4,0.62,0.0,3.52,2.93,90,353,25.5,71,327,78.29,6,4,10.0,10.9,36.15853658536585,9.7,27.73170731707317,0.894,8.0,1480,17.79,741,8.91,548,6.58,445,5.35,9,13.024390243902438,49.55,56.59,0.9375,d,0,0.8130699088145896,17,29.2,82,0.5121951219512195,0.4024390243902439,7,91,0.555,2.902439024390244,2.8658536585365852,7,3,0.09,0.0,2.9,2.87,73,309,23.62,78,385,79.74,6,8,17.4,15.4,30.25609756097561,9.6,30.475609756097562,0.906,6.0,1758,21.15,801,9.63,653,7.86,476,5.72,4,12.0,43.6,49.82,0.4375,b,0,0.727735368956743
Boston Bruins,Carolina Hurricanes,BOS,CAR,2008030215,2008,0.0,1.41170673,0.928262781,2.529301738,7.360271175,1.577275744,0.631874597,0.842070619,0.286071561,2.772363381,4.353306943,4.187043113,4.070783302,0.74292892,2.098921,1.006827941,0.704349884,1.760759082,7.291374446,1.81221956,5.136995091,-0.12275537,0.722870934,0.216882135,2.084998241,4.194342633,4.429529833,3.773177858,-0.317435131,2.443961,4.998875012,2,28.4,82,0.6463414634146342,0.23170731707317074,10,116,0.707,3.292682926829268,2.317073170731707,4,6,0.89,-0.06,3.29,2.32,74,313,23.64,54,306,82.35,8,7,12.5,12.8,30.26829268292683,10.9,30.78048780487805,0.925,7.0,1825,21.96,1072,12.9,463,5.57,498,5.99,12,11.170731707317072,47.35,49.58,0.4375,b,0,1.0754039497307002,11,27.9,82,0.5487804878048781,0.36585365853658536,7,97,0.591,2.8780487804878048,2.6951219512195124,3,5,0.11,-0.05,2.88,2.7,70,374,18.72,59,301,80.4,8,9,9.8,12.5,32.6219512195122,8.8,29.5,0.909,6.0,1716,20.65,1194,14.37,468,5.63,665,8.0,7,13.207317073170731,48.85,52.51,0.5,c,0,1.4209591474245116
Pittsburgh Penguins,Washington Capitals,PIT,WSH,2008030226,2008,1.0,1.37058174,0.93300583,3.374449224,7.9419491,1.556032365,0.189459989,0.709645913,0.266581155,1.951838365,3.72943229,5.468403787,4.388819928,0.388322945,2.669608,1.319793317,0.852439583,2.868100875,8.710609511,1.357857472,4.263225683,-0.143260098,0.681336335,0.301672066,2.383165487,3.65025968,4.908316336,4.355095224,0.340090774,2.374068,5.086775609,8,26.6,82,0.5487804878048781,0.34146341463414637,9,99,0.604,3.1463414634146343,2.841463414634146,6,6,0.28,-0.02,3.15,2.84,62,360,17.22,60,347,82.71,7,13,13.6,14.2,29.036585365853657,10.8,30.29268292682927,0.906,4.0,1939,23.22,1280,15.33,607,7.27,466,5.58,9,11.25609756097561,46.1,48.94,1.0,e,1,0.7675378266850069,4,27.2,82,0.6097560975609756,0.2926829268292683,8,108,0.659,3.268292682926829,2.926829268292683,4,5,0.27,-0.06,3.27,2.93,85,337,25.22,75,387,80.62,7,11,12.7,11.4,33.5,9.8,29.48780487804878,0.901,2.0,1662,20.0,1111,13.37,947,11.39,766,9.22,16,12.914634146341463,47.95,53.18,0.4375,b,0,0.8094820017559262
Chicago Blackhawks,Vancouver Canucks,CHI,VAN,2008030246,2008,0.0,1.025631823,0.810435462,3.349231575,7.336547453,1.119788074,0.36636192,0.885899636,0.266027934,2.369145257,4.52022331,3.184771392,3.867863026,0.545534894,2.807234393,1.181894411,0.881003404,2.907115934,6.866378911,1.901641137,3.22135892,0.259319049,0.793076336,0.193676792,3.8110849,3.945564203,3.622189763,3.98511661,0.2932638,2.338826,3.996305152,6,25.9,82,0.5609756097560976,0.2926829268292683,12,104,0.634,3.1707317073170733,2.548780487804878,4,7,0.6,0.01,3.17,2.55,70,363,19.28,64,330,80.61,10,6,14.1,15.2,32.71951219512195,9.7,28.585365853658537,0.911,6.0,1519,18.24,846,10.16,395,4.74,488,5.86,16,10.524390243902438,45.35,53.37,0.5625,c,0,1.2362869198312236,7,27.9,82,0.5487804878048781,0.32926829268292684,10,100,0.61,2.9634146341463414,2.597560975609756,3,7,0.3,-0.02,2.96,2.6,67,357,18.77,69,371,81.4,7,5,16.5,16.3,28.475609756097562,10.4,29.170731707317074,0.911,10.0,1315,15.81,993,11.94,626,7.52,577,6.94,8,11.573170731707316,43.6,49.4,0.375,b,0,0.922872340425532
Carolina Hurricanes,Boston Bruins,CAR,BOS,2008030216,2008,1.0,1.006827941,0.704349884,1.760759082,7.291374446,1.81221956,-0.12275537,0.722870934,0.216882135,2.084998241,4.194342633,4.429529833,3.773177858,-0.317435131,2.443961,1.41170673,0.928262781,2.529301738,7.360271175,1.577275744,4.998875012,0.631874597,0.842070619,0.286071561,2.772363381,4.353306943,4.187043113,4.070783302,0.74292892,2.098921,5.136995091,11,27.9,82,0.5487804878048781,0.36585365853658536,7,97,0.591,2.8780487804878048,2.6951219512195124,3,5,0.11,-0.05,2.88,2.7,70,374,18.72,59,301,80.4,8,9,9.8,12.5,32.6219512195122,8.8,29.5,0.909,6.0,1716,20.65,1194,14.37,468,5.63,665,8.0,7,13.207317073170731,48.85,52.51,0.5,c,0,1.4209591474245116,2,28.4,82,0.6463414634146342,0.23170731707317074,10,116,0.707,3.292682926829268,2.317073170731707,4,6,0.89,-0.06,3.29,2.32,74,313,23.64,54,306,82.35,8,7,12.5,12.8,30.26829268292683,10.9,30.78048780487805,0.925,7.0,1825,21.96,1072,12.9,463,5.57,498,5.99,12,11.170731707317072,47.35,49.58,0.4375,b,0,1.0754039497307002
