Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
21,Florida Panthers,27.6,82,37,34,11,85,0.518,236,252,4,5,-0.28,-0.07,2.88,3.07,63,411,15.33,91,514,82.3,5,12,15.3,13,2724,8.7,2853,0.912,4,"1,131",13.55,857,10.27,690,8.27,488,5.85,9,"1,026"
22,Minnesota Wild,27.7,82,38,36,8,84,0.512,226,212,5,3,0.28,0.08,2.76,2.59,77,454,16.96,55,436,87.39,11,7,14.5,15.4,2194,10.3,2460,0.914,3,846,10.2,"1,020",12.3,696,8.39,520,6.27,10,944
23,Phoenix Coyotes,28.4,82,38,39,5,81,0.494,242,268,4,3,-0.19,0.12,2.95,3.27,96,541,17.74,98,513,80.9,9,11,18.2,18,2318,10.4,2479,0.892,4,"1,422",17.15,"1,043",12.57,648,7.81,493,5.94,6,993
24,New York Islanders,27.7,82,36,40,6,78,0.476,221,275,9,3,-0.62,-0.04,2.7,3.35,76,450,16.89,99,476,79.2,5,15,15.2,14,2481,8.9,2549,0.892,1,"1,523",18.27,"1,161",13.93,713,8.55,739,8.86,5,"1,023"
25,Boston Bruins,28,82,29,37,16,74,0.451,228,258,2,8,-0.36,0.08,2.78,3.15,62,418,14.83,78,479,83.72,9,10,14.2,12.8,2511,9.1,2633,0.902,2,"1,170",14.05,"1,065",12.78,506,6.07,502,6.03,5,897
26,Columbus Blue Jackets,27.4,82,35,43,4,74,0.451,215,276,8,3,-0.66,0.02,2.62,3.37,64,451,14.19,95,523,81.84,10,8,17,15.4,2250,9.6,2762,0.9,1,"1,147",13.77,"1,024",12.29,499,5.99,553,6.64,3,856
27,Washington Capitals,27.6,82,29,41,12,70,0.427,230,300,7,6,-0.86,-0.02,2.8,3.66,72,490,14.69,116,550,78.91,15,18,18,16.3,2445,9.4,2880,0.896,1,"1,541",18.47,"1,101",13.19,887,10.63,673,8.06,2,922
28,Chicago Blackhawks,26.8,82,26,43,13,65,0.396,209,279,2,6,-0.86,0.04,2.55,3.4,51,417,12.23,88,547,83.91,6,12,18.5,15.2,2480,8.4,2417,0.885,2,"1,351",16.22,893,10.72,463,5.56,446,5.35,2,758
29,Pittsburgh Penguins,26.8,82,22,46,14,58,0.354,243,310,1,6,-0.89,-0.01,2.96,3.78,94,495,18.99,113,533,78.8,13,16,18.8,16.7,2297,10.6,2723,0.886,2,"1,321",15.9,"1,219",14.67,608,7.32,402,4.84,0,849
30,St. Louis Blues,29,82,21,46,15,57,0.348,193,284,4,8,-1.09,0.07,2.35,3.46,75,512,14.65,82,461,82.21,6,8,16.5,17.5,2335,8.3,2510,0.887,3,"1,175",14.09,"1,226",14.71,940,11.28,421,5.05,3,"1,049"
