Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
1,Nashville Predators*,28.4,82,53,18,11,117,0.713,261,204,6,7,0.71,0.03,3.18,2.49,58,274,21.17,54,299,81.94,10,5,11.3,9.6,2641,9.9,2659,0.923,11,46:49:00,51.5,"1,656",19.84,"1,204",14.43,751,9,648,7.77,10,"1,059"
2,Winnipeg Jets*,26.8,82,52,20,10,114,0.695,273,216,4,2,0.74,0.02,3.33,2.63,64,274,23.36,50,274,81.75,9,7,8.5,8.6,2643,10.3,2613,0.917,7,47:29:00,51.5,"1,831",22.05,"1,240",14.93,780,9.39,589,7.09,13,"1,006"
3,Tampa Bay Lightning*,27.5,82,54,23,5,113,0.689,290,234,6,2,0.66,-0.07,3.54,2.85,66,276,23.91,64,267,76.03,9,3,9.2,9.5,2680,10.8,2683,0.913,8,47:26:00,51.7,"1,728",20.82,"1,127",13.58,652,7.86,575,6.93,9,"1,086"
4,Boston Bruins*,28.6,82,50,20,12,112,0.683,267,211,3,3,0.62,-0.07,3.26,2.57,61,258,23.64,40,245,83.67,9,10,9.5,9.6,2703,9.9,2399,0.912,4,48:07:00,53.7,"1,914",23.05,"1,072",12.91,732,8.81,682,8.21,18,"1,031"
5,Vegas Golden Knights*,28,82,51,24,7,109,0.665,268,225,4,3,0.52,-0.01,3.27,2.74,53,248,21.37,44,237,81.43,8,5,6.8,7.5,2686,10,2521,0.911,5,48:47:00,50.8,"1,765",21.24,"1,179",14.19,742,8.93,855,10.29,16,"1,047"
6,Washington Capitals*,28.4,82,49,26,7,105,0.64,256,238,3,1,0.21,-0.04,3.12,2.9,55,244,22.54,53,269,80.3,4,8,9.8,9.2,2379,10.8,2613,0.909,3,48:06:00,48,"1,784",21.51,"1,220",14.71,848,10.22,592,7.14,16,"1,004"
7,Toronto Maple Leafs*,28.3,82,49,26,7,105,0.64,270,230,7,2,0.49,-0.06,3.29,2.8,56,224,25,43,231,81.39,4,5,7,6.9,2640,10.2,2776,0.917,8,49:19:00,49.8,"1,632",19.63,"1,104",13.28,953,11.46,690,8.3,12,"1,071"
8,Minnesota Wild*,29.5,82,45,26,11,101,0.616,250,229,3,3,0.29,0.04,3.05,2.79,49,240,20.42,51,272,81.25,7,6,8.3,7.6,2476,10.1,2569,0.911,6,48:13:00,47.2,"1,367",16.47,"1,295",15.6,470,5.66,480,5.78,23,865
9,Anaheim Ducks*,28.7,82,44,25,13,101,0.616,231,209,4,7,0.24,0.01,2.82,2.55,38,214,17.76,46,274,83.21,10,4,10,8.6,2475,9.3,2716,0.923,9,47:56:00,48.6,"1,949",23.37,"1,233",14.79,793,9.51,480,5.76,9,"1,046"
10,San Jose Sharks*,28.8,82,45,27,10,100,0.61,247,226,5,3,0.28,0,3.01,2.76,53,257,20.62,34,224,84.82,8,3,7.7,8,2702,9.1,2488,0.909,6,48:53:00,50.9,"1,380",16.61,"1,381",16.62,795,9.57,710,8.54,14,"1,098"
