Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,5v5 TOI/GP,SAT%,Hits,Hits/60,BkS,BkS/60,GvA,GvA/60,TkA,TkA/60,ENG,MsS
11,Pittsburgh Penguins*,27.7,82,47,29,6,100,0.61,270,248,2,2,0.23,-0.04,3.29,3.02,68,260,26.15,53,265,80,6,3,9.5,9.1,2823,9.6,2553,0.903,4,47:56:00,52.3,"1,951",23.57,"1,184",14.3,706,8.53,582,7.03,11,972
12,Los Angeles Kings*,29.1,82,45,29,8,98,0.598,237,202,2,1,0.44,0,2.89,2.46,49,240,20.42,39,260,85,5,4,9,8.3,2544,9.3,2537,0.92,8,48:07:00,50,"2,115",25.47,"1,198",14.43,770,9.27,396,4.77,14,"1,011"
13,Philadelphia Flyers*,27.4,82,42,26,14,98,0.598,249,236,2,7,0.07,-0.03,3.04,2.88,54,261,20.69,54,223,75.78,3,10,8.3,9,2631,9.5,2448,0.904,3,48:35:00,49.7,"1,670",20.05,"1,230",14.77,723,8.68,478,5.74,15,965
14,Columbus Blue Jackets*,26.4,82,45,30,7,97,0.591,236,226,6,4,0.11,-0.04,2.88,2.76,39,227,17.18,51,214,76.17,4,7,6.9,7.3,2761,8.5,2567,0.912,5,49:30:00,51.5,"1,745",20.96,"1,218",14.63,501,6.02,617,7.41,10,"1,042"
15,New Jersey Devils*,27.7,82,44,29,9,97,0.591,243,240,5,4,0.02,-0.03,2.96,2.93,54,252,21.43,47,258,81.78,12,6,8.5,8.4,2599,9.3,2616,0.908,2,47:50:00,48.6,"1,816",21.83,"1,176",14.14,611,7.34,677,8.14,5,962
16,Florida Panthers,27.8,82,44,30,8,96,0.585,245,243,3,3,-0.01,-0.04,2.99,2.96,47,249,18.88,45,227,80.18,10,5,11,11.7,2822,8.7,2838,0.914,7,48:20:00,49.2,"1,653",19.94,"1,172",14.14,"1,039",12.54,746,9,11,"1,030"
17,Colorado Avalanche*,26.4,82,43,30,9,95,0.579,255,236,2,1,0.28,0.04,3.11,2.88,65,296,21.96,45,269,83.27,7,13,8.9,9.8,2432,10.5,2731,0.914,5,46:37:00,47.6,"1,633",19.74,"1,299",15.7,485,5.86,523,6.32,20,889
18,St. Louis Blues,28.5,82,44,32,6,94,0.573,223,222,3,0,0.1,0.05,2.72,2.71,38,246,15.45,47,231,79.65,5,9,7.7,8.2,2677,8.3,2438,0.909,4,48:35:00,51.7,"1,893",22.87,"1,278",15.44,450,5.43,613,7.4,12,987
19,Dallas Stars,28.5,82,42,32,8,92,0.561,231,222,4,3,0.17,0.04,2.82,2.71,47,244,19.26,54,281,80.78,7,10,10.1,9.6,2560,9,2447,0.909,6,47:44:00,51,"1,861",22.41,"1,272",15.32,664,8,459,5.53,12,960
20,Calgary Flames,28.4,82,37,35,10,84,0.512,216,243,2,5,-0.33,0.03,2.63,2.96,43,269,15.99,49,269,81.78,7,7,11.1,11.2,2759,7.8,2554,0.905,3,47:28:00,53.5,"1,638",19.74,"1,100",13.25,769,9.26,677,8.15,5,"1,232"
21,Carolina Hurricanes,27,82,36,35,11,83,0.506,225,253,3,3,-0.35,-0.01,2.74,3.09,44,239,18.41,43,191,77.49,3,6,6.2,7.1,2780,8.1,2367,0.893,2,49:49:00,54.5,"1,597",19.23,"1,006",12.11,771,9.28,887,10.68,9,"1,148"
22,New York Islanders,28.4,82,35,37,10,80,0.488,261,293,3,3,-0.4,-0.01,3.18,3.57,58,250,23.2,63,235,73.19,5,11,7.8,8.1,2572,10.1,2918,0.9,2,48:52:00,47.5,"1,816",21.86,"1,263",15.2,865,10.41,541,6.51,8,893
23,Edmonton Oilers,26.8,82,36,40,6,78,0.476,229,262,5,1,-0.32,0.03,2.79,3.2,31,210,14.76,57,245,76.73,11,5,9.2,7.6,2740,8.4,2634,0.901,1,49:28:00,50.6,"2,134",25.73,"1,275",15.37,979,11.8,676,8.15,11,"1,046"
24,New York Rangers,28.7,82,34,39,9,77,0.47,228,263,3,5,-0.46,-0.01,2.78,3.21,51,241,21.16,46,247,81.38,5,5,8,8,2538,9,2898,0.909,3,48:38:00,45.9,"1,714",20.65,"1,228",14.8,991,11.94,713,8.59,13,919
25,Chicago Blackhawks,28,82,33,39,10,76,0.463,228,254,1,2,-0.26,0.07,2.78,3.1,43,269,15.99,49,236,79.24,5,7,7.5,8.9,2793,8.2,2697,0.906,2,47:59:00,52.3,"1,376",16.62,"1,199",14.48,653,7.89,586,7.08,11,947
26,Vancouver Canucks,28.2,82,31,40,11,73,0.445,218,259,0,5,-0.51,0.05,2.66,3.16,53,247,21.46,60,276,78.26,7,10,8.7,8,2464,8.8,2641,0.902,4,48:16:00,47.7,"1,745",21.05,"1,152",13.9,628,7.57,499,6.02,7,905
27,Detroit Red Wings,30.2,82,30,39,13,73,0.445,212,254,5,1,-0.48,-0.01,2.59,3.1,41,234,17.52,58,259,77.61,9,5,8.9,8.3,2490,8.5,2613,0.903,4,48:37:00,48.8,"1,606",19.33,"1,168",14.06,824,9.92,503,6.06,5,980
28,Montreal Canadiens,27.8,82,29,40,13,71,0.433,207,258,2,6,-0.68,0,2.52,3.15,52,244,21.31,68,263,74.14,7,6,8.6,8.8,2687,7.7,2650,0.903,4,48:26:00,50.5,"2,169",26.13,"1,350",16.26,936,11.28,579,6.97,9,954
29,Arizona Coyotes,26.5,82,29,41,12,70,0.427,206,251,2,5,-0.53,0.05,2.51,3.06,41,243,16.87,46,224,79.46,2,10,7.8,8.3,2450,8.4,2642,0.905,5,49:04:00,48.1,"1,998",23.98,"1,186",14.23,583,6.99,449,5.39,8,"1,026"
30,Ottawa Senators,29.3,82,28,43,11,67,0.409,219,284,2,7,-0.85,0,2.67,3.46,41,248,16.53,56,235,76.17,4,6,8.1,8.4,2515,8.7,2712,0.895,2,48:27:00,47.2,"1,966",23.66,"1,337",16.09,755,9.09,558,6.71,4,949
31,Buffalo Sabres,27.1,82,25,45,12,62,0.378,198,278,1,2,-0.98,0.01,2.41,3.39,49,257,19.07,52,235,77.87,9,10,8.2,8.8,2557,7.7,2681,0.896,3,48:03:00,47.6,"1,767",21.31,"1,082",13.05,582,7.02,445,5.37,11,917
